condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
WT,0,191664963,180.0,-0.005967626242211015,0.0009349990679054763,5000.0,30.0,0,0
WT,1,1662057957,180.0,-7.514201794743478e-05,0.00045444828353971854,5000.0,30.0,0,0
WT,2,1405681631,180.0,-0.006855165916854672,-0.010550129121125842,5000.0,30.0,0,0
WT,3,942484272,180.0,0.01363388701320372,-0.001631796811183525,5000.0,30.0,0,0
WT,4,929893137,180.0,0.012261014705601557,-0.004978085048099287,5000.0,30.0,0,0
WT,5,1843824992,180.0,-0.02097484519732507,0.00045859357710024376,5000.0,30.0,0,0
WT,6,184566854,180.0,0.023999899492793245,0.0009720238948013668,5000.0,30.0,0,0
WT,7,1497586438,180.0,0.00028505883945776495,0.0024352851984737467,5000.0,30.0,0,0
WT,8,432652533,180.0,0.02797475423138879,-0.000912942578724072,5000.0,30.0,0,0
WT,9,202244314,180.0,-0.001266234036239327,-0.002006165931273633,5000.0,30.0,0,0
WT,10,1130604997,180.0,-0.028318857411051113,0.0012316481830880568,5000.0,30.0,0,0
WT,11,2095133045,180.0,0.020158178143321784,-0.003561739375472388,5000.0,30.0,0,0
WT,12,1580016183,180.0,0.0007759966906076931,0.0027342258259441046,5000.0,30.0,0,0
WT,13,1634535062,180.0,-0.029780814119309208,-0.007003744085020077,5000.0,30.0,0,0
WT,14,1540770719,180.0,-0.0389512713383549,-0.0037429644896019064,5000.0,30.0,0,0
WT,15,1688060240,180.0,0.025330208899923254,-0.0021430356348448552,5000.0,30.0,0,0
WT,16,1102145672,180.0,-0.005832341322357349,-0.002193818266112636,5000.0,30.0,0,0
WT,17,275121930,180.0,-0.02988075099182466,5.362290153639343e-05,5000.0,30.0,0,0
WT,18,1803345590,180.0,-0.016178702892119246,-0.0010311130752525923,5000.0,30.0,0,0
WT,19,967196436,180.0,-0.019339711756152053,-0.002547227419055558,5000.0,30.0,0,0
WT,20,1074497555,180.0,0.0033623116665900915,-0.0010540932421168494,5000.0,30.0,0,0
WT,21,796282693,180.0,-0.0010293922221231422,-0.008327400508699841,5000.0,30.0,0,0
WT,22,392022359,180.0,0.0014693465449903212,-0.003452268272345266,5000.0,30.0,0,0
WT,23,1990212658,180.0,-0.01060020426737249,-0.006654878562091985,5000.0,30.0,0,0
WT,24,1678403330,180.0,-0.01793637513114482,-0.0032174888286315134,5000.0,30.0,0,0
WT,25,1382689815,180.0,-0.026533080025575008,0.0017316628599514433,5000.0,30.0,0,0
WT,26,864178266,180.0,-0.004192834777742846,-0.0016329863285241184,5000.0,30.0,0,0
WT,27,1766867109,180.0,-0.008943290765714063,-0.00437059152260175,5000.0,30.0,0,0
WT,28,1171300112,180.0,0.022431277637234383,-0.001082386046750798,5000.0,30.0,0,0
WT,29,952224740,180.0,-0.0038400495330807942,-0.0018056284222555926,5000.0,30.0,0,0
WT,30,967354524,180.0,0.007750232588455942,0.0031867800906611476,5000.0,30.0,0,0
WT,31,487991438,180.0,-0.007387685860685322,-0.006010363743285371,5000.0,30.0,0,0
WT,32,197860368,180.0,-0.020172463315444245,-0.004673667176928485,5000.0,30.0,0,0
WT,33,1190961760,180.0,-0.028929348147480747,-0.00953005613527404,5000.0,30.0,0,0
WT,34,1906728918,180.0,0.00029351041975620633,-0.0045744839207071,5000.0,30.0,0,0
WT,35,137046513,180.0,-0.04123324993061787,-0.0006949115257514944,5000.0,30.0,0,0
WT,36,1843166518,180.0,-0.011131167894602088,-0.004873638486359033,5000.0,30.0,0,0
WT,37,1777324407,180.0,-0.00768213859894527,0.006298600963441044,5000.0,30.0,0,0
WT,38,594336917,180.0,-0.01115729562314426,-0.002766723638615301,5000.0,30.0,0,0
WT,39,1356488967,180.0,-0.021034119365950555,0.006520826782301079,5000.0,30.0,0,0
WT,40,354826746,180.0,-0.0426252523356953,-0.0050272769313910665,5000.0,30.0,0,0
WT,41,1627981024,180.0,0.011188663830570275,-0.002749270829010325,5000.0,30.0,0,0
WT,42,1504361614,180.0,-0.03227759582689129,-0.013458006458848088,5000.0,30.0,0,0
WT,43,761338718,180.0,0.0015053678355426506,-0.009555712400180173,5000.0,30.0,0,0
