condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std
WT,0,191664963,181.40625,0.0057238981075876565,0.02377776656684345,0.0027365075276293382,5000.0,45.0,0,1,1,0.026904496090855885,0.03603925171362976
WT,1,1662057957,181.40625,0.004203027342956789,0.036508098098785295,0.002063068862105014,5000.0,45.0,0,1,1,0.02982011890514794,0.03945389732659542
WT,2,1405681631,181.40625,0.003669950027391291,0.014955720461750739,-0.0033289512598870074,5000.0,45.0,0,1,1,0.031189383540443868,0.04262193325528262
WT,3,942484272,181.40625,0.03573176025721401,0.09628967670091938,-0.0008801293106675213,5000.0,45.0,0,1,1,0.028189146274489818,0.03825404715914433
WT,4,929893137,181.40625,0.025721258868745427,0.03330096470788908,0.0008144188736222542,5000.0,45.0,0,1,1,0.032388674268630284,0.04529056411273384
WT,5,1843824992,181.40625,-0.009087341867104063,0.03837254049722236,0.003043992769822853,5000.0,45.0,0,1,1,0.02776887550029286,0.0380688612871799
WT,6,184566854,181.40625,0.060211999503628814,0.07138026378107873,-0.0020931376388319974,5000.0,45.0,0,1,1,0.03539831668212157,0.048586327448959715
WT,7,1497586438,181.40625,0.015604207628398974,-0.0832405181699977,0.0016642582773918565,5000.0,45.0,0,1,1,0.02997322719966647,0.03950790286832355
WT,8,432652533,181.40625,0.055472974581575706,0.17538301601666945,-0.0033193138265860092,5000.0,45.0,0,1,1,0.03568992103676763,0.052507391571135875
WT,9,202244314,181.40625,-0.0004391455392546143,-0.04046806635006214,0.0011506087022544022,5000.0,45.0,0,1,1,0.03046342588147276,0.04043650461771205
WT,10,1130604997,181.40625,-0.026523978877424827,-0.10409480776803938,0.0005756788965252704,5000.0,45.0,0,1,1,0.032844688667335455,0.04582861015288181
WT,11,2095133045,181.40625,0.02933653553077014,0.007972196438052777,0.0007096695466943113,5000.0,45.0,0,1,1,0.03511709531320991,0.04614981696167333
WT,12,1580016183,181.40625,0.005279022720267437,-0.025901442914098117,0.006991388255882255,5000.0,45.0,0,1,1,0.03648633957603656,0.047760763387334926
WT,13,1634535062,181.40625,-0.03679488725226604,-0.028666332498411624,0.004827223711645473,5000.0,45.0,0,1,1,0.04894539614576016,0.06681179182187065
WT,14,1540770719,181.40625,-0.04598807031900385,-0.10587762313420815,-0.0016600813471207279,5000.0,45.0,0,1,1,0.029868754722653715,0.039423895461634634
WT,15,1688060240,181.40625,0.03256392678086635,0.03462938866231245,-0.0038488383838346566,5000.0,45.0,0,1,1,0.028432330875944576,0.036956529221564206
WT,16,1102145672,181.40625,0.0014880441606587652,0.004248955199300627,-0.001993794063983199,5000.0,45.0,0,1,1,0.041156093609137974,0.05580486944001108
WT,17,275121930,181.40625,-0.02584972580208109,-0.01819291627042991,0.004017762486155565,5000.0,45.0,0,1,1,0.03490253159228837,0.0501959681683101
WT,18,1803345590,181.40625,-0.01915344065565721,-0.11212547175630166,0.003307058713288342,5000.0,45.0,0,1,1,0.028798338199285345,0.04014961860332104
WT,19,967196436,181.40625,-0.012656271452006299,0.008561788434319888,-1.8778071180281543e-06,5000.0,45.0,0,1,1,0.03267043291698311,0.04254453998870512
WT,20,1074497555,181.40625,0.021039853486672484,0.03925838244252346,0.00353126159932572,5000.0,45.0,0,1,1,0.03242986359687801,0.04320022010631691
WT,21,796282693,181.40625,0.004275851792929641,-0.03751947232933128,-0.003927194614790056,5000.0,45.0,0,1,1,0.03308314381315768,0.04540319905302502
WT,22,392022359,181.40625,0.020869219209822026,-0.03944264785086917,0.0001083501125906963,5000.0,45.0,0,1,1,0.02852139086028029,0.03960111905942829
WT,23,1990212658,181.40625,-0.006986540757872316,-0.02960682864911258,-0.0037893581702453517,5000.0,45.0,0,1,1,0.033530396740457234,0.04593034333122021
WT,24,1678403330,181.40625,-0.013852245459940595,0.02652773109527626,-0.0009609044516433887,5000.0,45.0,0,1,1,0.029154243138298567,0.037963528004530386
WT,25,1382689815,181.40625,-0.04044979266911198,-0.006455294751670221,0.002185357823759999,5000.0,45.0,0,1,1,0.026832737334627252,0.03579776964198263
WT,26,864178266,181.40625,0.010894945407387448,0.12164988504701475,-0.0038964603161682054,5000.0,45.0,0,1,1,0.03577793644609654,0.04638075654096788
WT,27,1766867109,181.40625,-0.0074109434391564566,0.05167313551842187,-0.003869952269115655,5000.0,45.0,0,1,1,0.03451204197100427,0.04927001416017604
WT,28,1171300112,181.40625,0.04786967769780688,0.06265500089047542,-0.003108931497771452,5000.0,45.0,0,1,1,0.03941448105507938,0.054627299908279546
WT,29,952224740,181.40625,0.002052604397368347,-0.00488102496447325,-0.0019910002680187016,5000.0,45.0,0,1,1,0.033176976129955384,0.04533967812181338
WT,30,967354524,181.40625,0.041473489042555906,0.1321699703686889,-4.2739806702002506e-05,5000.0,45.0,0,1,1,0.03287703238546999,0.043850371194234856
WT,31,487991438,181.40625,-0.005050089140698948,-0.11347745324832842,-0.0018477048649206576,5000.0,45.0,0,1,1,0.03443313478644195,0.046806690834759065
WT,32,197860368,181.40625,-0.010954337445574659,0.03813629384751503,0.0019242305619516249,5000.0,45.0,0,1,1,0.03585058970388394,0.046789586692940845
WT,33,1190961760,181.40625,-0.012034696523038473,-0.021987093877034694,-0.0068457860080316825,5000.0,45.0,0,1,1,0.03512302829512441,0.04685751316758326
WT,34,1906728918,181.40625,0.008913202408340357,0.12529611815774028,-0.001711376691753632,5000.0,45.0,0,1,1,0.027130987021408284,0.036235241645610705
WT,35,137046513,181.40625,-0.03260869848288431,-0.020071260003284245,0.002195602695835292,5000.0,45.0,0,1,1,0.023345968758447515,0.03149097875409812
WT,36,1843166518,181.40625,0.00024127360833566281,-0.013180016667126815,-0.0032662767264036528,5000.0,45.0,0,1,1,0.02536747133736232,0.03212498404012291
WT,37,1777324407,181.40625,0.005618060452276287,-0.051930995522266675,0.004402534204012486,5000.0,45.0,0,1,1,0.027947757480830497,0.03823881840849892
WT,38,594336917,181.40625,-0.009391119691372513,0.07023623345194809,0.004026649907817105,5000.0,45.0,0,1,1,0.038726470916254516,0.0578155589853781
WT,39,1356488967,181.40625,-0.005791981024981445,0.021462061291762338,0.011140909750380122,5000.0,45.0,0,1,1,0.03700694540245503,0.04780329066502837
WT,40,354826746,181.40625,-0.04647414848229064,-0.03786630787436248,-0.0007723981700788741,5000.0,45.0,0,1,1,0.029142617169983287,0.041619020919235014
WT,41,1627981024,181.40625,0.02964210655457878,-0.0025700800299307213,0.0014188763738091446,5000.0,45.0,0,1,1,0.026721505700933443,0.03493420732409034
WT,42,1504361614,181.40625,-0.0373406587032387,-0.03710150761613708,-0.0056718238346007595,5000.0,45.0,0,1,1,0.030035269934255687,0.038177643309570325
WT,43,761338718,181.40625,0.010824817722221143,-0.022655004060576602,-0.0006234824823309152,5000.0,45.0,0,1,1,0.02896885664274704,0.037402555539415884
WT,44,145857092,181.40625,-0.04124401291212953,0.006201522617746365,-0.0024758292890168215,5000.0,45.0,0,1,1,0.0326447838416778,0.044780288964782256
WT,45,2084558133,181.40625,-0.02658573223394232,-0.09120960235812123,0.005575892985639301,5000.0,45.0,0,1,1,0.0390599095206644,0.05341662799884968
WT,46,957106589,181.40625,0.04209865333339944,-0.0032251251386928733,-0.0020761151095164,5000.0,45.0,0,1,1,0.03716427166911007,0.04998769557635627
WT,47,1917963002,181.40625,0.007389935990646627,0.05519252059184223,0.004561063430870973,5000.0,45.0,0,1,1,0.023404588634338853,0.030780542468045496
WT,48,1455819991,181.40625,0.024106243722731253,-0.016937106844343776,-0.003212366157778766,5000.0,45.0,0,1,1,0.04100458791925356,0.05462755842252108
WT,49,1671565830,181.40625,-0.006051113642506152,-0.07113660891188006,-0.0026744304422928362,5000.0,45.0,0,1,1,0.024730246135838324,0.032166399974084124
WT_APP,0,191664963,181.40625,0.019180970142013004,-0.01121405490627173,0.0040890929216802424,5000.0,45.0,0,1,1,0.0308427447089293,0.04037802839982227
WT_APP,1,1662057957,181.40625,0.001213235404299698,0.03657023706751524,3.876302456945195e-05,5000.0,45.0,0,1,1,0.04796472085970321,0.06750128819319287
WT_APP,2,1405681631,181.40625,0.012652446480087398,0.02149953495865247,-0.008015180783286962,5000.0,45.0,0,1,1,0.06801721468323792,0.08763080220287382
WT_APP,3,942484272,181.40625,0.046166989719045974,0.11248408304408988,-0.001461278198575225,5000.0,45.0,0,1,1,0.06376419947879836,0.08272755363348683
WT_APP,4,929893137,181.40625,0.016827185180462268,0.053820877524893236,0.0032207140021419667,5000.0,45.0,0,1,1,0.06018367781391972,0.08617917494054395
WT_APP,5,1843824992,181.40625,0.0009448626146758094,0.029993181541804956,0.003239409526417243,5000.0,45.0,0,1,1,0.044764455816877755,0.058488914317715184
WT_APP,6,184566854,181.40625,0.06140644980707602,0.05568723073950342,0.00953419464211045,5000.0,45.0,0,1,1,0.060384303527064066,0.08153243342549582
WT_APP,7,1497586438,181.40625,0.014216878883018648,-0.03844113427196469,0.008057692317443774,5000.0,45.0,0,1,1,0.06840331956628193,0.09335104616475329
WT_APP,8,432652533,181.40625,0.04525159126490601,0.13863520238965363,-0.004509285009307116,5000.0,45.0,0,1,1,0.04967941522221073,0.07634590615117454
WT_APP,9,202244314,181.40625,-0.012386953145782875,-0.018096615575334735,-0.0022392104852461633,5000.0,45.0,0,1,1,0.05768648310790747,0.0843332771223611
WT_APP,10,1130604997,181.40625,-0.020148779916566387,-0.07542062663597736,0.00331432180567823,5000.0,45.0,0,1,1,0.07700319498176371,0.09956214718765778
WT_APP,11,2095133045,181.40625,0.03934607912515935,-0.0036191347369527197,-0.0013824398178525865,5000.0,45.0,0,1,1,0.04177395610511211,0.053866488180733606
WT_APP,12,1580016183,181.40625,-0.011414651439625733,-0.02211171201157394,-0.001272299760245764,5000.0,45.0,0,1,1,0.08582050613041087,0.11158597557919916
WT_APP,13,1634535062,181.40625,-0.046602690636764296,-0.04388794788447406,-0.0059385773482382815,5000.0,45.0,0,1,1,0.07923545977004877,0.09762992832379207
WT_APP,14,1540770719,181.40625,-0.05483731249201854,-0.10518520287414773,-0.008031147031827654,5000.0,45.0,0,1,1,0.08045773163226823,0.10624936926520266
WT_APP,15,1688060240,181.40625,0.028187346952849867,0.019035378539971788,-0.004751081402413836,5000.0,45.0,0,1,1,0.06395997265592442,0.07928193312847098
WT_APP,16,1102145672,181.40625,4.669182568249073e-05,0.016643310034484382,0.0157520566128577,5000.0,45.0,0,1,1,0.0935614942739539,0.12613906746014686
WT_APP,17,275121930,181.40625,-0.014797706655069718,0.04733548988998898,0.002853867312988264,5000.0,45.0,0,1,1,0.04372585794114402,0.06224534544491114
WT_APP,18,1803345590,181.40625,-0.006766234877473612,-0.0654412150277142,0.008373085028689895,5000.0,45.0,0,1,1,0.0572245277476711,0.08833787557957096
WT_APP,19,967196436,181.40625,0.0008297196125249431,0.015831606505713563,0.003678789426514611,5000.0,45.0,0,1,1,0.07350578078013445,0.09498328402157959
WT_APP,20,1074497555,181.40625,0.013150389246429965,0.05096114277765021,-0.004067004252183466,5000.0,45.0,0,1,1,0.0700928176231218,0.09334669794325039
WT_APP,21,796282693,181.40625,0.008605230091548777,-0.011038617401714891,-0.012236039292581737,5000.0,45.0,0,1,1,0.08442234875503749,0.10967192234729503
WT_APP,22,392022359,181.40625,0.022295757477346974,-0.02657910599926316,0.009890911425640508,5000.0,45.0,0,1,1,0.10130561607023424,0.12554791667743154
WT_APP,23,1990212658,181.40625,-0.00766437463955735,-0.03978006554027089,-0.01121061401163843,5000.0,45.0,0,1,1,0.09347459216805451,0.12565349385658958
WT_APP,24,1678403330,181.40625,-0.009795244091119837,0.024782080332852195,-0.002186410396320351,5000.0,45.0,0,1,1,0.04101746153027191,0.0536394699319112
WT_APP,25,1382689815,181.40625,-0.02477458960068051,0.04418473388300831,0.018878752780489116,5000.0,45.0,0,1,1,0.0891429616050443,0.11207564281525964
WT_APP,26,864178266,181.40625,0.030981580171561086,0.10454435449521285,0.011842842461461096,5000.0,45.0,0,1,1,0.08944718989739939,0.1138259502449896
WT_APP,27,1766867109,181.40625,-0.007902875290889018,0.04043212277900439,-0.0016203438458743135,5000.0,45.0,0,1,1,0.04230207324025609,0.054340050090215815
WT_APP,28,1171300112,181.40625,0.03719120457757952,0.09415663167709548,0.0019739521302608626,5000.0,45.0,0,1,1,0.037659610945875305,0.05554265538895389
WT_APP,29,952224740,181.40625,0.0014979393746651164,-0.0160758749908589,-0.005924017697611722,5000.0,45.0,0,1,1,0.06286863413441131,0.08096127749812222
WT_APP,30,967354524,181.40625,0.006889988446791905,0.09067876902259507,0.007576743440175606,5000.0,45.0,0,1,1,0.058111887398124853,0.0789623735365898
WT_APP,31,487991438,181.40625,0.00014783543532134112,-0.090617432782803,-0.008121752650706695,5000.0,45.0,0,1,1,0.08446541343090225,0.10326917279961546
WT_APP,32,197860368,181.40625,-0.01590986472483148,0.012601075112522942,0.0004100684423459211,5000.0,45.0,0,1,1,0.049013477418763586,0.06859743944998231
WT_APP,33,1190961760,181.40625,-0.0008787599653005942,-0.022093688349017128,-0.002792308109746896,5000.0,45.0,0,1,1,0.028097230324867023,0.03871416291808406
WT_APP,34,1906728918,181.40625,0.01981763680508753,0.05070550467669496,-0.004979885905263233,5000.0,45.0,0,1,1,0.07584774162130213,0.09713671884472096
WT_APP,35,137046513,181.40625,-0.02991849130997003,-0.04436774652456827,-0.002087348202579557,5000.0,45.0,0,1,1,0.05128477982666598,0.06844636847204645
WT_APP,36,1843166518,181.40625,0.003978556782437179,-0.03885070941111722,0.0009157688575816584,5000.0,45.0,0,1,1,0.06568665946097667,0.08524906391043528
WT_APP,37,1777324407,181.40625,0.005857617791192407,-0.04200922666347269,-0.002909246008090232,5000.0,45.0,0,1,1,0.09033595986109998,0.11111146193040403
WT_APP,38,594336917,181.40625,-0.007222268381221862,0.030057266625548147,-0.01447616424038761,5000.0,45.0,0,1,1,0.10799024731002721,0.13314289008987376
WT_APP,39,1356488967,181.40625,-0.015933298216754554,0.004968787049776774,-0.007957569559461333,5000.0,45.0,0,1,1,0.07346569032762407,0.09945316215897573
WT_APP,40,354826746,181.40625,-0.041859468366838036,-0.023159508592704322,-0.006553824946189322,5000.0,45.0,0,1,1,0.040181139515068576,0.05412527924050405
WT_APP,41,1627981024,181.40625,0.017790260316851558,-0.0071433821846483446,-0.002152332771743442,5000.0,45.0,0,1,1,0.037108832091313666,0.050805844255103844
WT_APP,42,1504361614,181.40625,-0.021670415702931156,-0.03208438311449847,-0.006695492085865458,5000.0,45.0,0,1,1,0.044053923622624405,0.05617692235893619
WT_APP,43,761338718,181.40625,-0.0017791901828721204,-0.02204249027786718,-0.006431134239150636,5000.0,45.0,0,1,1,0.06705732166962845,0.08794571724265546
WT_APP,44,145857092,181.40625,-0.030021692761366077,-0.008286071994422627,-0.00033500227977715635,5000.0,45.0,0,1,1,0.07939058371269196,0.10436759783415565
WT_APP,45,2084558133,181.40625,-0.028714098079010538,-0.05242311055058821,-0.003420712457819742,5000.0,45.0,0,1,1,0.062498224991735615,0.08380585691518687
WT_APP,46,957106589,181.40625,0.027914430545768507,-0.014375786779055684,-0.00337992525516251,5000.0,45.0,0,1,1,0.04779755442211447,0.06473987794654779
WT_APP,47,1917963002,181.40625,0.022022933803448167,0.060087085694639386,0.002441500488220037,5000.0,45.0,0,1,1,0.03845590564931562,0.051607234957241566
WT_APP,48,1455819991,181.40625,0.011374110944856198,-0.02402190770935853,0.008917820620843925,5000.0,45.0,0,1,1,0.08637028817383202,0.1093949581720063
WT_APP,49,1671565830,181.40625,0.002419948949109355,-0.05914880233864034,0.001278549582027065,5000.0,45.0,0,1,1,0.032701675768555004,0.04373254017752268
a7_KO_APP,0,191664963,181.40625,0.04291915776614798,-0.07412783464415207,-0.05593712426964796,5000.0,45.0,0,1,1,0.17193045780468627,0.2262178589846135
a7_KO_APP,1,1662057957,181.40625,0.012750163889019202,0.0007002523412527513,0.041936402375595885,5000.0,45.0,0,1,1,0.15263790729452,0.20528412412882574
a7_KO_APP,2,1405681631,181.40625,0.033119808096350276,-0.0031911415229102197,0.038278237787795565,5000.0,45.0,0,1,1,0.1557748681084737,0.2106865971360967
a7_KO_APP,3,942484272,181.40625,0.05567875557726695,0.08247580205928669,0.004012339938542488,5000.0,45.0,0,1,1,0.16454067543057496,0.22703751087268764
a7_KO_APP,4,929893137,181.40625,-0.02620864557495441,0.03959803974912861,-0.012797199086945005,5000.0,45.0,0,1,1,0.1570971776141531,0.2200530295764178
a7_KO_APP,5,1843824992,181.40625,-0.026693805589740143,0.012079246018922279,0.04178377313424017,5000.0,45.0,0,1,1,0.1579176730907517,0.2189922016528068
a7_KO_APP,6,184566854,181.40625,0.0028392153875578,-0.01423554611767779,0.02264330301556575,5000.0,45.0,0,1,1,0.18452236949311113,0.23975872161670803
a7_KO_APP,7,1497586438,181.40625,0.0005488823313028833,0.008386097654264563,0.003421282794785631,5000.0,45.0,0,1,1,0.1516540793886709,0.2134418575237291
a7_KO_APP,8,432652533,181.40625,-0.0012097556832631853,0.021030177766596585,-0.01669549926869739,5000.0,45.0,0,1,1,0.14773116663036603,0.2145254744322693
a7_KO_APP,9,202244314,181.40625,-0.027767442414351348,-0.041696518897495684,-0.011397256820198933,5000.0,45.0,0,1,1,0.1358444231825497,0.20409013733591133
a7_KO_APP,10,1130604997,181.40625,-0.03443824146033749,-0.01593798434157384,-0.05503176239659017,5000.0,45.0,0,1,1,0.15113588216457674,0.20749883321741236
a7_KO_APP,11,2095133045,181.40625,0.052487279441473716,0.11734395130867772,0.04382098677568645,5000.0,45.0,0,1,1,0.1575033911170573,0.21728893026439894
a7_KO_APP,12,1580016183,181.40625,-0.028858742792815875,0.008158426837338906,-0.023147083164365007,5000.0,45.0,0,1,1,0.17197864237912677,0.22906871246027655
a7_KO_APP,13,1634535062,181.40625,-0.04204260568771759,-0.0031413146362515797,-0.044525327198979996,5000.0,45.0,0,1,1,0.18460716740881444,0.23338196458293195
a7_KO_APP,14,1540770719,181.40625,0.00019859380008958692,0.041300643876705706,-0.025864680162193912,5000.0,45.0,0,1,1,0.17546682805130293,0.2337226477029059
a7_KO_APP,15,1688060240,181.40625,0.07889084072575936,0.1404595253728366,0.04067944883683734,5000.0,45.0,0,1,1,0.1432623587802849,0.2080881582142098
a7_KO_APP,16,1102145672,181.40625,0.01787240528412063,0.009576340525487694,0.007740322304953208,5000.0,45.0,0,1,1,0.1713729717999597,0.2283040280265583
a7_KO_APP,17,275121930,181.40625,0.03335562308514825,-0.004435243094132758,-0.024187929626272857,5000.0,45.0,0,1,1,0.19112097397298994,0.24558066903701825
a7_KO_APP,18,1803345590,181.40625,-0.020447401740971073,-0.08273833605792305,-0.034818849638114616,5000.0,45.0,0,1,1,0.14714562809910997,0.21046053403007567
a7_KO_APP,19,967196436,181.40625,0.06945352066779244,0.10551168407729485,0.04316257943842052,5000.0,45.0,0,1,1,0.15024067888141068,0.2107628881931522
a7_KO_APP,20,1074497555,181.40625,0.022149831439899258,0.03554969369503232,-0.0008670369707000767,5000.0,45.0,0,1,1,0.17905719918299012,0.23586844463210838
a7_KO_APP,21,796282693,181.40625,-0.025119997145101835,-0.008393747314304142,0.017520286605480266,5000.0,45.0,0,1,1,0.14801079781625412,0.21573862274306507
a7_KO_APP,22,392022359,181.40625,-0.012158204771403707,-0.046982816194628074,0.010985843658369902,5000.0,45.0,0,1,1,0.14061309157061042,0.20413409142796685
a7_KO_APP,23,1990212658,181.40625,0.034812063195561044,0.07989142098511617,0.05875178710004953,5000.0,45.0,0,1,1,0.14895295781379714,0.2089689850231482
a7_KO_APP,24,1678403330,181.40625,0.015959113251184414,0.08881549308557941,0.05230719372420519,5000.0,45.0,0,1,1,0.1390361851510281,0.19633108442768898
a7_KO_APP,25,1382689815,181.40625,0.07107460625486209,-0.09759039066979432,-0.01947049480086185,5000.0,45.0,0,1,1,0.15733435406348636,0.22063848120152252
a7_KO_APP,26,864178266,181.40625,-0.03237260477663875,-0.0813576846080142,-0.027678344345129283,5000.0,45.0,0,1,1,0.15589853665285194,0.2125141213277899
a7_KO_APP,27,1766867109,181.40625,0.06332191349356205,0.14430393770345382,-0.005789052929844664,5000.0,45.0,0,1,1,0.1533731834792246,0.21687726500583102
a7_KO_APP,28,1171300112,181.40625,-0.010235523287420766,0.05479389137325498,-0.05692356457281221,5000.0,45.0,0,1,1,0.15976153234091958,0.21493483711558545
a7_KO_APP,29,952224740,181.40625,0.059207848404336114,0.12349960719049638,0.02369843988667308,5000.0,45.0,0,1,1,0.13961314743959635,0.20641913642814158
a7_KO_APP,30,967354524,181.40625,0.00439308121212974,0.03486580348253785,-0.016853848084046975,5000.0,45.0,0,1,1,0.1275956228231937,0.20252256578906142
a7_KO_APP,31,487991438,181.40625,-0.06806313363448097,-0.13733266920326112,0.0032526578486738976,5000.0,45.0,0,1,1,0.15735956343892904,0.22354840380639007
a7_KO_APP,32,197860368,181.40625,-0.007896215313056624,-0.008804721473786489,-0.026651977701208678,5000.0,45.0,0,1,1,0.1914457939288947,0.24195124510558652
a7_KO_APP,33,1190961760,181.40625,-0.03083451526987777,-0.0399552431816941,-0.05734083746277256,5000.0,45.0,0,1,1,0.1567338995280775,0.2090631096991728
a7_KO_APP,34,1906728918,181.40625,0.040304245470420094,-0.015472187764389548,0.03040672258794014,5000.0,45.0,0,1,1,0.15501976816805751,0.21067179319453963
a7_KO_APP,35,137046513,181.40625,-0.03166774648674805,-0.13389936586731077,0.018693890702441204,5000.0,45.0,0,1,1,0.16459305184094672,0.22312619351288165
a7_KO_APP,36,1843166518,181.40625,0.028827041369421852,0.02068122886409454,-0.045723155927000915,5000.0,45.0,0,1,1,0.1651774594231623,0.22282845147638802
a7_KO_APP,37,1777324407,181.40625,0.00858196679284925,0.09571330847872636,-0.06033697763005093,5000.0,45.0,0,1,1,0.15217208368176205,0.20588529601971453
a7_KO_APP,38,594336917,181.40625,-0.0009017235492261412,0.06878815609190736,0.06040153034471371,5000.0,45.0,0,1,1,0.15587632749530927,0.21267742915763754
a7_KO_APP,39,1356488967,181.40625,0.04982089652183751,0.07622237888769487,-0.0039514749308869265,5000.0,45.0,0,1,1,0.12961944198755448,0.20127667197852697
