Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     6.5141     0.0000     1.6645     2.2824     0.0000     1.82    67.65     0.00     8.52    11.59    BISTABLE
   2     6.5334     0.0000     0.6563     1.5221     0.0000     1.80    64.79     0.00    45.16    23.25    BISTABLE
   3     6.5534     0.0000     0.7661     1.4493     0.0000     1.80    65.91     0.00    30.75    24.02    BISTABLE
   4     6.5545     0.0000     1.6694     2.3008     0.0000     1.79    67.37     0.00     8.51    10.80    BISTABLE
   5     7.2618     0.0000     2.3501     2.3227     0.0000     1.85    67.77     0.00     7.58    11.64    BISTABLE
   6     7.4420     0.0000     1.0172     1.7910     0.0000     1.82    69.56     0.00    13.24    26.59    BISTABLE
   7     7.5774     0.0000     1.9059     2.4835     0.0000     2.13    60.86     0.00     2.89    13.73    BISTABLE
   8     7.6061     0.0000     2.2421     2.6242     0.0000     1.85    68.64     0.00     1.39    11.98    BISTABLE
   9     7.6788     0.0000     1.9298     2.4857     0.0000     1.97    60.65     0.01     2.89    13.63    BISTABLE
  10     7.7387     0.0000     1.9695     2.4504     0.0000     1.82    60.80     0.01     2.73    15.53    BISTABLE
