condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,2.0,0,191664963,0.07388363292102708,3.1514820977187523,213.5576392409308,33.5576392409308
WT,5.0,2.0,3,942484272,0.01368695768733708,3.5381401038496754,214.2160318564052,34.21603185640521
WT,5.0,2.0,2,1405681631,0.05142850053597624,2.9762709815109383,219.0337578631277,39.033757863127704
WT,5.0,2.0,1,1662057957,0.0278957599498036,3.043517770000121,112.2760702393058,67.7239297606942
WT,5.0,2.0,4,929893137,0.011239592856661961,3.126004139312916,165.5605457875632,14.4394542124368
WT,5.0,2.0,7,1497586438,0.020226018939687396,3.18303560063769,205.50763125706212,25.507631257062116
WT,5.0,2.0,6,184566854,0.012433060496303397,3.2219181240971486,109.05718026173334,70.94281973826666
WT,5.0,2.0,5,1843824992,0.04155024117266928,3.2798009584189005,190.06694279277613,10.066942792776132
WT,5.0,2.0,9,202244314,0.027409796350473793,3.1664018146537094,185.24846561126802,5.248465611268017
WT,5.0,2.0,8,432652533,0.025303163394763562,3.366878176938936,153.5471041239983,26.45289587600169
WT,5.0,2.0,10,1130604997,0.0577211008816189,3.0362998783974193,143.5115702257225,36.488429774277506
WT,5.0,2.0,11,2095133045,0.008587123995070455,3.020966341073078,278.33611039055745,98.33611039055745
WT,5.0,2.0,12,1580016183,0.047294643321131584,2.9778126887899963,252.3667973057045,72.3667973057045
WT,5.0,2.0,14,1540770719,0.011003259205545242,3.06380419888979,77.61252449088124,102.38747550911876
WT,5.0,2.0,13,1634535062,0.05362212358929246,3.209413397186946,149.62990683323673,30.37009316676327
WT,5.0,2.0,15,1688060240,0.03053094682714057,3.0000515982704057,329.3284411174321,149.32844111743208
WT,5.0,2.0,16,1102145672,0.02789485425129666,3.071736585179818,169.5115376894803,10.488462310519708
WT,5.0,2.0,19,967196436,0.01733312710685763,3.6426682035226574,271.1909106527495,91.1909106527495
WT,5.0,2.0,18,1803345590,0.05767420252493267,2.984410694828081,185.13338583367113,5.133385833671127
WT,5.0,2.0,17,275121930,0.030171984131312973,3.3425915643364306,251.47244911152345,71.47244911152345
WT,5.0,2.0,20,1074497555,0.0355349041829647,3.3198612885898995,264.6601138717929,84.66011387179287
WT,5.0,2.0,22,392022359,0.019464629363499554,3.156849741590437,127.37847399972235,52.621526000277655
WT,5.0,2.0,21,796282693,0.037194926408747005,3.2992617343955297,165.3605618887241,14.639438111275894
WT,5.0,2.0,23,1990212658,0.024115573830128585,3.3103544552893087,202.39322642736954,22.39322642736954
WT,5.0,2.0,24,1678403330,0.04122834084710976,3.0014943241400016,108.64362525887785,71.35637474112215
WT,5.0,2.0,25,1382689815,0.04284148385191944,3.4966892739762248,235.27987074070424,55.27987074070424
WT,5.0,2.0,27,1766867109,0.038022393790598394,3.0471852527871564,346.93180055079057,166.93180055079057
WT,5.0,2.0,26,864178266,0.025064190622169778,3.066890677445242,103.38239301418687,76.61760698581313
WT,5.0,2.0,28,1171300112,0.01708768008801439,3.1638742554799957,54.65184012858176,125.34815987141823
WT,5.0,2.0,29,952224740,0.01799535795426167,3.403605946153717,197.3017544239152,17.301754423915213
WT,5.0,2.0,30,967354524,0.010520109788431955,3.03593308397734,183.06350427391666,3.0635042739166636
WT,5.0,2.0,31,487991438,0.03214712422922286,3.0385751560978425,116.48639188782526,63.51360811217474
WT,5.0,2.0,32,197860368,0.03519746913738219,3.2301015563984055,141.38245783054822,38.61754216945178
WT,5.0,2.0,34,1906728918,0.006122754300013811,3.088114916159339,180.33643257385793,0.3364325738579339
WT,5.0,2.0,33,1190961760,0.043599964308665556,3.162254314699598,214.02541845143276,34.025418451432756
WT,5.0,2.0,35,137046513,0.023048021622836094,3.1458753615274686,224.2126708611756,44.21267086117561
WT,5.0,2.0,37,1777324407,0.01616594332740276,3.156077100688365,195.07279791017257,15.072797910172568
WT,5.0,2.0,36,1843166518,0.023761826440670403,3.475054829261608,210.19603389341793,30.196033893417933
WT,5.0,2.0,38,594336917,0.03957381654752622,3.48204854233418,124.95488909269025,55.04511090730975
WT,5.0,2.0,39,1356488967,0.02097981692810139,3.035114831760092,62.68307283583185,117.31692716416815
WT,5.0,2.0,40,354826746,0.025589967953486996,3.1045002636241215,347.40847179623114,167.40847179623114
WT,5.0,2.0,41,1627981024,0.0639498403004289,3.026423394814968,192.32727170112062,12.327271701120623
WT,5.0,2.0,43,761338718,0.012533135007968812,3.1945870029183108,3.2358932004626184,176.7641067995374
WT,5.0,2.0,42,1504361614,0.029544582676108704,3.2269614984662485,344.5925425686472,164.59254256864722
WT,5.0,2.0,45,2084558133,0.04607296775365483,3.13387731882733,224.99388933843682,44.993889338436816
WT,5.0,2.0,47,1917963002,0.01866963424728544,3.163571862197314,169.28386113276775,10.716138867232246
WT,5.0,2.0,46,957106589,0.027190913111003093,3.181510586523177,136.5292318182223,43.470768181777686
WT,5.0,2.0,44,145857092,0.013655961768164986,3.4198348373021608,332.6485430254181,152.64854302541812
WT,5.0,2.0,49,1671565830,0.019887349111050355,2.8699336613091755,218.94749398616133,38.947493986161334
WT,5.0,2.0,48,1455819991,0.04609524241659855,3.1165636703914625,144.10244142210323,35.897558577896774
WT,5.0,2.0,50,1631871623,0.032842407955513214,3.0333268411337153,80.15875230885747,99.84124769114253
WT,5.0,2.0,51,417983441,0.027789984920599704,3.3751294006859136,294.53752255599204,114.53752255599204
WT,5.0,2.0,53,1002275723,0.0710772861069417,3.09051161304213,188.44992595028816,8.449925950288161
WT,5.0,2.0,54,1068999196,0.011599758734512376,3.4415518815601405,217.64674964346668,37.64674964346668
WT,5.0,2.0,52,781482251,0.020312508887818357,3.1448191725280474,211.22105578333662,31.221055783336624
WT,5.0,2.0,55,94067870,0.0358722208165709,3.21520354534024,201.53850320180194,21.538503201801944
WT,5.0,2.0,56,1173749071,0.012574551556080713,3.2374321311925986,36.656311690654825,143.34368830934517
WT,5.0,2.0,57,331334160,0.04769699442297149,3.3823842709127034,111.79328922267788,68.20671077732212
WT,5.0,2.0,58,1596387604,0.03539807797887537,3.1149804568128356,69.87572459972564,110.12427540027436
WT,5.0,2.0,59,1466836456,0.021239798293483686,3.065101099920149,168.10318057268302,11.896819427316984
WT,5.0,2.0,60,1981113449,0.015125708327688595,3.132649886,210.25850312991346,30.258503129913464
WT,5.0,2.0,61,1599364550,0.036991270905892236,3.2657956184355523,194.81507191820927,14.81507191820927
WT,5.0,2.0,62,787359109,0.002410851987075503,3.1700682577649935,241.75448313564604,61.75448313564604
WT,5.0,2.0,63,2077711328,0.0012810226687883543,2.8686365443498834,239.53717648389164,59.53717648389164
WT,5.0,2.0,66,1944623248,0.016316739680115475,3.1712115805640586,114.70149040251785,65.29850959748215
WT,5.0,2.0,64,882294416,0.009400501600727727,3.4590345147728088,108.00363616344713,71.99636383655287
WT,5.0,2.0,65,699704628,0.028391961495292602,3.3161726736680373,180.72607813177189,0.7260781317718852
WT,5.0,2.0,67,795556160,0.04768073232718528,3.2261916744028656,187.59771811389848,7.59771811389848
WT,5.0,2.0,69,1008363426,0.040278017622333656,3.0799572532738186,200.69687513742554,20.696875137425536
WT,5.0,2.0,71,406886644,0.05137723097355313,3.24579452984038,188.14427613136286,8.144276131362858
WT,5.0,2.0,68,163945743,0.016592958825392492,3.0102910940172114,268.27949210288875,88.27949210288875
WT,5.0,2.0,70,1708709735,0.033661962677452854,3.087866324542986,142.55487535884882,37.44512464115118
WT,5.0,2.0,74,1474200731,0.04096174400697509,2.9631690445148284,173.2824455821376,6.717554417862402
WT,5.0,2.0,72,994157306,0.01704511409397615,3.066045951288448,255.75366194114903,75.75366194114903
WT,5.0,2.0,73,279004307,0.040557181413500724,3.240936419270676,95.2909161503678,84.7090838496322
WT,5.0,2.0,75,1021568549,0.032898837312056554,2.959601224732158,278.95488422498363,98.95488422498363
WT,5.0,2.0,77,487284116,0.02237151066149376,3.113312956071687,302.9650910029119,122.96509100291189
WT,5.0,2.0,78,1212254290,0.01687169849430114,3.014888564623138,196.83853306532836,16.838533065328363
WT,5.0,2.0,76,709091226,0.017074562966535953,3.096485972423299,68.89408768036888,111.10591231963112
WT,5.0,2.0,79,1438414599,0.05886311185467779,2.951696264852769,124.75544788358671,55.24455211641329
WT,5.0,2.0,81,938776596,0.04482085622206749,2.924350413965103,170.1602666581465,9.839733341853503
WT,5.0,2.0,80,2019291964,0.0407842560848839,3.0316996722399137,189.2415415113526,9.241541511352608
