condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials
WT,5.0,2.0,0.11,0.029761726590893506,3.1709985015763458,58.1507470038209,0.049704758622079646,100
WT,5.0,3.0,0.3,0.036589963140843985,3.881482672311798,35.337581320816454,0.04670219421826556,100
WT,5.0,4,0.87,0.06596299736748269,5.325590862049731,13.309741353141852,0.044796330100405325,100
WT,5.0,5.0,0.18,0.10747832077113376,9.346207195883492,51.52373965415376,0.1606633328395974,100
WT,5.0,6.0,0.03,0.13724481010096493,33.53123453199609,70.98651846379606,0.25563513699967527,100
WT,10.0,2.0,0.34,0.045209383562845214,4.678617667718754,27.132497063190147,0.049704758622079646,100
WT,10.0,3.0,0.95,0.07644969221620328,6.003250872330258,11.683786255748958,0.04670219421826556,100
WT,10.0,4,1.0,0.146538004794669,7.974258814064288,5.210517061882115,0.044796330100405325,100
WT,10.0,5.0,0.47,0.15883166560105763,12.688050300451371,27.126156867563893,0.1606633328395974,100
WT,10.0,6.0,0.09,0.14755481226421538,37.755594369092904,60.262927617219674,0.25563513699967527,100
WT,15.0,2.0,0.87,0.07275689117914,6.27464037053234,13.204830909124315,0.049704758622079646,100
WT,15.0,3.0,1.0,0.13077484315837662,8.182947901529374,6.248767919657768,0.04670219421826556,100
WT,15.0,4,1.0,0.23267260828521194,10.642476361100696,2.9658264123859226,0.044796330100405325,100
WT,15.0,5.0,0.81,0.22384052055858433,16.062469127281947,12.242724120881043,0.1606633328395974,100
WT,15.0,6.0,0.07,0.15613297538667026,41.89555033109751,47.625278885885706,0.25563513699967527,100
WT,20.0,2.0,1.0,0.10559168129740851,7.887198748690367,8.466948358025085,0.049704758622079646,100
WT,20.0,3.0,1.0,0.18858490716799192,10.372208712092059,4.064602122739959,0.04670219421826556,100
WT,20.0,4,1.0,0.3086210558687833,13.25883048993738,2.10116522176932,0.044796330100405325,100
WT,20.0,5.0,0.89,0.26334241028815375,19.396740145836024,9.2303230005341,0.1606633328395974,100
WT,20.0,6.0,0.22,0.17630495906845692,46.704895968968,37.25137165123703,0.25563513699967527,100
WT,25.0,2.0,1.0,0.14092743434106972,9.458634458111705,6.053305172296107,0.049704758622079646,100
WT,25.0,3.0,1.0,0.24592685005150147,12.501350972304419,2.933809407586596,0.04670219421826556,100
WT,25.0,4,1.0,0.37265086053221635,15.817931450532798,1.6854016942129535,0.044796330100405325,100
WT,25.0,5.0,0.97,0.31572282867020585,22.773397497104664,7.874580857600005,0.1606633328395974,100
WT,25.0,6.0,0.26,0.20077247130283993,50.629883538671045,29.75232326663143,0.25563513699967527,100
WT,30.0,2.0,1.0,0.17721104882894204,11.096245927453408,4.616935896392583,0.049704758622079646,100
WT,30.0,3.0,1.0,0.30074303221780235,14.591484598160372,2.255240331681188,0.04670219421826556,100
WT,30.0,4,1.0,0.42769677839253345,18.37615797279067,1.3934530191092929,0.044796330100405325,100
WT,30.0,5.0,0.98,0.3730275173912898,26.140731366837603,5.569568481396479,0.1606633328395974,100
WT,30.0,6.0,0.37,0.2254439679584911,55.12412755281391,27.203572885748464,0.25563513699967527,100
