condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
b2_KO,10.0,4.0,0,191664963,0.08274565801990239,0.123531 0.234656 0.177240 0.201776 0.178241 0.129280 0.147331 0.094869 0.127541 0.072845 0.098252 0.099764 0.093427 0.032734 0.082746,2.3867155026331135,195.14864221271856,15.148642212718556
b2_KO,10.0,4.0,1,1662057957,0.09761922944725789,0.094995 0.195089 0.220591 0.162521 0.113772 0.154891 0.144667 0.062535 0.125391 0.138936 0.054069 0.059385 0.045240 0.031205 0.097619,2.259979613294149,118.03976976176311,61.96023023823689
b2_KO,10.0,4.0,2,1405681631,0.05044928987185364,0.159378 0.224822 0.243304 0.218790 0.199733 0.155445 0.076659 0.092914 0.052503 0.084157 0.106382 0.073351 0.089615 0.081589 0.050449,2.562860808767138,200.4584956836292,20.458495683629195
b2_KO,10.0,4.0,3,942484272,0.024629816702061106,0.139680 0.217431 0.152801 0.166397 0.146112 0.126128 0.133702 0.115667 0.085034 0.082561 0.086101 0.121170 0.061230 0.043577 0.024630,2.379794019330092,211.94603228971718,31.94603228971718
b2_KO,10.0,4.0,4,929893137,0.017896440454126087,0.152955 0.146236 0.204900 0.136033 0.132345 0.146497 0.132545 0.154441 0.081244 0.080868 0.116835 0.035242 0.088877 0.064392 0.017896,2.6288913196763795,164.7451716075469,15.254828392453106
b2_KO,10.0,4.0,5,1843824992,0.058881846991289725,0.158481 0.187620 0.233834 0.203928 0.171009 0.128672 0.116533 0.158520 0.123480 0.095392 0.129770 0.056250 0.066620 0.075440 0.058882,2.1652629860522823,232.07727927668637,52.07727927668637
b2_KO,10.0,4.0,6,184566854,0.042274093870502585,0.153902 0.160604 0.208566 0.132193 0.215574 0.224240 0.140243 0.078119 0.076872 0.107719 0.105298 0.065064 0.070726 0.088154 0.042274,2.3619865445168573,203.7427361017003,23.742736101700302
b2_KO,10.0,4.0,7,1497586438,0.01724323160516553,0.124885 0.137190 0.243757 0.200677 0.216638 0.246846 0.092377 0.147852 0.065565 0.146008 0.038129 0.051231 0.031463 0.023075 0.017243,2.623483247742536,117.18255763586039,62.81744236413961
b2_KO,10.0,4.0,8,432652533,0.1018445082319058,0.111994 0.183535 0.198090 0.167651 0.223685 0.207065 0.211303 0.099641 0.086693 0.105900 0.092317 0.121656 0.029674 0.033213 0.101845,2.5208129652289064,138.72272235070704,41.277277649292955
b2_KO,10.0,4.0,9,202244314,0.046272955444720064,0.126940 0.182947 0.239303 0.143001 0.233878 0.140424 0.183228 0.122687 0.124211 0.115159 0.162591 0.044194 0.031298 0.055849 0.046273,2.546250917451784,124.97887093620555,55.02112906379445
b2_KO,10.0,4.0,10,1130604997,0.016872171749712964,0.170076 0.234807 0.167282 0.149096 0.123628 0.199861 0.146538 0.112522 0.122243 0.068080 0.079963 0.067031 0.048926 0.040166 0.016872,2.4739673078580195,118.23796929208486,61.762030707915144
b2_KO,10.0,4.0,11,2095133045,0.05984857393055706,0.113663 0.205760 0.212222 0.205422 0.222054 0.115783 0.143083 0.098328 0.075568 0.049288 0.113418 0.042806 0.023265 0.077323 0.059849,2.747899597699308,54.74446588367965,125.25553411632035
b2_KO,10.0,4.0,12,1580016183,0.04112246488623736,0.077061 0.195324 0.246829 0.224255 0.188669 0.038637 0.210375 0.106748 0.176796 0.055180 0.109230 0.109907 0.018035 0.022127 0.041122,2.581843817014974,228.00247947266732,48.00247947266732
b2_KO,10.0,4.0,13,1634535062,0.03312617049567981,0.221963 0.183672 0.217929 0.147674 0.186694 0.169824 0.155600 0.144636 0.066285 0.105267 0.079832 0.053001 0.116154 0.108971 0.033126,2.557147230943352,253.47594928732738,73.47594928732738
b2_KO,10.0,4.0,14,1540770719,0.0479570827738298,0.159148 0.197014 0.215188 0.155863 0.077470 0.153104 0.172418 0.090653 0.140126 0.080389 0.025362 0.094941 0.064444 0.079900 0.047957,2.5918178790332984,341.26686666571834,161.26686666571834
