condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials
b2_KO_APP,10.0,4.0,0.4,0.06373163423206273,3.1199652776534883,26.376516439682135,0.06909228964789657,50
b2_KO_APP,10.0,5.0,0.98,0.13431426090603538,4.927816715861181,9.83633298419496,0.07117352182022552,50
b2_KO_APP,10.0,6.0,1.0,0.40922797378336584,7.028782843305253,3.0043786092696076,0.08236887135101956,50
b2_KO_APP,10.0,7.0,0.7,0.49408223723349287,14.420714878738181,12.39234742706391,0.4382715740213274,50
b2_KO_APP,10.0,8.0,0.36,0.5651773152747043,25.86871874677081,39.34920999900559,0.6214209180974267,50
b2_KO_APP,10.0,9.0,0.08,0.5488682891782278,51.32845339016019,87.53864024875865,0.6393953249671541,50
b2_KO_APP,10.0,10.0,0.0,0.5959102619653514,200.0,31.039802366168384,0.6654490990009441,50
b2_KO_APP,15.0,4.0,0.86,0.0989950628388373,3.720024433477271,14.272810400156002,0.06909228964789657,50
b2_KO_APP,15.0,5.0,1.0,0.2294017385384814,6.729390119727981,5.2170002709730845,0.07117352182022552,50
b2_KO_APP,15.0,6.0,1.0,0.5233110272279581,9.382876923067242,1.9751985098430946,0.08236887135101956,50
b2_KO_APP,15.0,7.0,0.82,0.5604178593951977,16.74799738665651,9.737025740315222,0.4382715740213274,50
b2_KO_APP,15.0,8.0,0.46,0.592707771202699,28.964822821905457,36.6707192727743,0.6214209180974267,50
b2_KO_APP,15.0,9.0,0.1,0.5345366168898279,55.063454424433324,74.83582512538902,0.6393953249671541,50
b2_KO_APP,15.0,10.0,0.0,0.5927103747769039,200.0,34.636014169282916,0.6654490990009441,50
b2_KO_APP,20.0,4.0,0.98,0.13899368513011676,4.289802677826309,8.942405103047081,0.06909228964789657,50
b2_KO_APP,20.0,5.0,1.0,0.32778240132575087,8.597559412490794,3.446242314983587,0.07117352182022552,50
b2_KO_APP,20.0,6.0,1.0,0.581690082602994,11.798324001809679,1.6173224493985539,0.08236887135101956,50
b2_KO_APP,20.0,7.0,0.78,0.578450306900824,18.972900490661992,10.306844434543686,0.4382715740213274,50
b2_KO_APP,20.0,8.0,0.56,0.6179781326485919,32.129307502986975,30.751839808256644,0.6214209180974267,50
b2_KO_APP,20.0,9.0,0.16,0.545366556578029,60.92143232420398,74.69653362325528,0.6393953249671541,50
b2_KO_APP,20.0,10.0,0.0,0.589671400643256,200.0,38.10270681048858,0.6654490990009441,50
b2_KO_APP,25.0,4.0,1.0,0.17972820796336297,4.913933656178294,6.545919862024537,0.06909228964789657,50
b2_KO_APP,25.0,5.0,1.0,0.4186582469711635,10.413420560178576,2.5446974437281678,0.07117352182022552,50
b2_KO_APP,25.0,6.0,1.0,0.6095818777463904,14.006061839398848,1.6228714166015425,0.08236887135101956,50
b2_KO_APP,25.0,7.0,0.8,0.5971543058432542,21.31292088975083,10.046626788327972,0.4382715740213274,50
b2_KO_APP,25.0,8.0,0.58,0.6210976598784974,35.23954148674369,27.55117246303847,0.6214209180974267,50
b2_KO_APP,25.0,9.0,0.22,0.5406412061894038,71.03437160378564,70.64648651193242,0.6393953249671541,50
b2_KO_APP,25.0,10.0,0.0,0.5863432005095349,200.0,41.95736769148552,0.6654490990009441,50
b2_KO_APP,30.0,4.0,1.0,0.21992917290132355,5.674932589965135,5.146903798133357,0.06909228964789657,50
b2_KO_APP,30.0,5.0,1.0,0.4957299548627707,12.19624919255661,2.0075911062578133,0.07117352182022552,50
b2_KO_APP,30.0,6.0,1.0,0.6260070676968893,16.067583447520136,1.8498586302957574,0.08236887135101956,50
b2_KO_APP,30.0,7.0,0.92,0.633440727181962,23.554646169967363,11.989258972876325,0.4382715740213274,50
b2_KO_APP,30.0,8.0,0.56,0.5935098862596099,37.53508281420374,33.70133279919928,0.6214209180974267,50
b2_KO_APP,30.0,9.0,0.26,0.5308636614544244,76.89287652600075,64.8695312371541,0.6393953249671541,50
b2_KO_APP,30.0,10.0,0.0,0.5796603476860824,200.0,50.23747729576267,0.6654490990009441,50
b2_KO_APP,35.0,4.0,1.0,0.25938983509056074,6.625230414153558,4.226277790463201,0.06909228964789657,50
b2_KO_APP,35.0,5.0,1.0,0.558584667408248,13.905249352912447,1.6374878202501804,0.07117352182022552,50
b2_KO_APP,35.0,6.0,1.0,0.6294840456523428,18.08482618037246,1.7913073940902065,0.08236887135101956,50
b2_KO_APP,35.0,7.0,0.94,0.6626885594894716,25.760137046446843,10.966307200985634,0.4382715740213274,50
b2_KO_APP,35.0,8.0,0.66,0.6260539556297904,39.42374604130219,28.003169460449406,0.6214209180974267,50
b2_KO_APP,35.0,9.0,0.24,0.5380056461875699,78.91159597443044,54.41197185700892,0.6393953249671541,50
b2_KO_APP,35.0,10.0,0.0,0.5697388925464455,200.0,64.19538537881361,0.6654490990009441,50
b2_KO_APP,40.0,4.0,1.0,0.2983843588739118,7.788249927600031,3.5655423911152333,0.06909228964789657,50
b2_KO_APP,40.0,5.0,1.0,0.6092883769681968,15.595294077048514,1.3675128305875308,0.07117352182022552,50
b2_KO_APP,40.0,6.0,1.0,0.6377931059447457,19.99723191922433,1.9207687113906298,0.08236887135101956,50
b2_KO_APP,40.0,7.0,0.88,0.649896217652141,27.889812079736565,11.880742072649705,0.4382715740213274,50
b2_KO_APP,40.0,8.0,0.64,0.6211995484328496,42.742942177091145,31.151674716611236,0.6214209180974267,50
b2_KO_APP,40.0,9.0,0.24,0.5637007672665966,85.0432446478352,58.0313576843563,0.6393953249671541,50
b2_KO_APP,40.0,10.0,0.0,0.5227702595690136,200.0,150.46020281466087,0.6654490990009441,50
b2_KO_APP,45.0,4.0,1.0,0.33731074580526893,9.133040373925517,3.060447021136521,0.06909228964789657,50
b2_KO_APP,45.0,5.0,1.0,0.6498072579658433,17.26169200010213,1.17876922771362,0.07117352182022552,50
b2_KO_APP,45.0,6.0,1.0,0.643100484577022,21.92043334637966,1.8394942047966611,0.08236887135101956,50
b2_KO_APP,45.0,7.0,0.88,0.6512614323400534,30.02391722409694,9.360613997750463,0.4382715740213274,50
b2_KO_APP,45.0,8.0,0.68,0.630947488117994,45.207683743507914,27.515180315678545,0.6214209180974267,50
b2_KO_APP,45.0,9.0,0.3,0.5658955584208601,86.1122640552509,57.34327239832055,0.6393953249671541,50
b2_KO_APP,45.0,10.0,0.0,0.5212163699785516,200.0,35.736523172996996,0.6654490990009441,50
