condition_key,w_inter,a_hat_value
WT,5.0,0.07283744329927797
WT,5.0,0.03716856014409671
WT,5.0,0.011004170874396256
WT,5.0,0.03957405574407817
WT,5.0,0.09447827371596178
WT,5.0,0.012113266987754966
WT,5.0,0.0191402787974026
WT,5.0,0.024473431317005592
WT,5.0,0.08562806558466134
WT,5.0,0.03358406711067699
WT,5.0,0.06534588608079499
WT,5.0,0.043226939271138555
WT,5.0,0.026726094872341743
WT,5.0,0.07976752402474135
WT,5.0,0.08723585690762754
WT,5.0,0.07283744329927797
WT,5.0,0.09814097994010201
WT,5.0,0.037257015704459016
WT,5.0,0.013664545719161357
WT,5.0,0.05174085012164086
WT,5.0,0.042253992572930554
WT,5.0,0.04670129367383596
WT,5.0,0.012269957514468764
WT,5.0,0.037656958339178516
WT,5.0,0.06408698027181026
WT,5.0,0.029196209051106134
WT,5.0,0.06988981897751932
WT,5.0,0.04127175736476504
WT,5.0,0.025244916385501845
WT,5.0,0.06016784294820574
WT,5.0,0.016074887985531975
WT,5.0,0.09814097994010201
WT,5.0,0.02485931360553144
WT,5.0,0.06606261893497035
WT,5.0,0.08500970352947794
WT,5.0,0.05460161972918928
WT,5.0,0.03254701022195509
WT,5.0,0.07663927943253507
WT,5.0,0.037677083299063045
WT,5.0,0.07108435909884973
WT,5.0,0.05602252769338365
WT,5.0,0.07018462479092745
WT,5.0,0.022726903816289827
WT,5.0,0.02736701681348789
WT,5.0,0.10246063122080722
WT,5.0,0.029619166169561867
WT,5.0,0.09462002701545963
WT,5.0,0.02485931360553144
WT,5.0,0.0290778859219144
WT,5.0,0.0640990734997834
WT,5.0,0.04275725905781843
WT,5.0,0.04662270204312027
WT,5.0,0.012911197978521364
WT,5.0,0.09750823290093288
WT,5.0,0.052375543507638435
WT,5.0,0.06338052447928937
WT,5.0,0.07293224146102792
WT,5.0,0.022942797624630102
WT,5.0,0.02917968951726993
WT,5.0,0.05375138781872892
WT,5.0,0.09982120239207523
WT,5.0,0.052053315945616144
WT,5.0,0.05319690092950174
WT,5.0,0.0290778859219144
WT,5.0,0.030605477532822153
WT,5.0,0.025337655876363205
WT,5.0,0.012234917903268274
WT,5.0,0.047027341624138894
WT,5.0,0.10996179977627575
WT,5.0,0.12073682124720587
WT,5.0,0.02445197754904071
WT,5.0,0.03668401528387926
WT,5.0,0.028845007551213202
WT,5.0,0.03475657293886199
WT,5.0,0.07505563114827118
WT,5.0,0.0432577455771248
WT,5.0,0.035377061245221816
WT,5.0,0.060142684138287536
WT,5.0,0.06033516223499664
WT,5.0,0.030605477532822153
WT,5.0,0.08893425461716853
WT,5.0,0.08018859500852984
WT,5.0,0.028621069024541423
WT,5.0,0.03741070388006389
WT,5.0,0.05038655387033942
WT,5.0,0.04245365574507777
WT,5.0,0.039939226954951786
WT,5.0,0.059818252459193935
WT,5.0,0.060259395415455774
WT,5.0,0.013955324521061317
WT,5.0,0.02706589917203397
WT,5.0,0.07311369039871568
WT,5.0,0.01913821082166153
WT,5.0,0.06869842962301072
WT,5.0,0.05564685001685457
WT,5.0,0.08893425461716853
WT,5.0,0.032581976644999004
WT,5.0,0.051341006350591745
WT,5.0,0.01384460484531108
WT,5.0,0.030918106327282237
WT,5.0,0.03087843861237197
WT,5.0,0.07134669981802491
WT,5.0,0.09676514846749525
WT,5.0,0.08985215105115504
WT,5.0,0.11682854527879671
WT,5.0,0.07930085711604452
WT,5.0,0.07090205604401685
WT,5.0,0.027552206068773323
WT,5.0,0.03562203464217317
WT,5.0,0.05566000858279347
WT,5.0,0.051648892897749626
WT,5.0,0.032581976644999004
WT,5.0,0.020495916385518547
WT,5.0,0.024917923135753754
WT,5.0,0.05224873848452382
WT,5.0,0.0712894784478038
WT,5.0,0.02297482332704862
WT,5.0,0.09279220701544555
WT,5.0,0.09882635389336458
WT,5.0,0.08613614126195646
WT,5.0,0.07794257652846454
WT,5.0,0.04627635443617335
WT,5.0,0.08671056058572979
WT,5.0,0.04312315108239226
WT,5.0,0.1050963010858833
WT,5.0,0.07646466295084
WT,5.0,0.036783416915482384
WT,5.0,0.020495916385518547
WT,5.0,0.056818721531448325
WT,5.0,0.026636206088421845
WT,5.0,0.06352480534945573
WT,5.0,0.058626974595410615
WT,5.0,0.06537526886018688
WT,5.0,0.07353009152894514
WT,5.0,0.08418360394272481
WT,5.0,0.13171538492463525
WT,5.0,0.03128753752881816
WT,5.0,0.029040758915075605
WT,5.0,0.006957342957873729
WT,5.0,0.07724804029499649
WT,5.0,0.04553269810547006
WT,5.0,0.03821881276997727
WT,5.0,0.019941943735488018
WT,5.0,0.056818721531448325
WT,5.0,0.05228365202715427
WT,5.0,0.06817932894750622
WT,5.0,0.041787626897482236
WT,5.0,0.083926717571498
WT,5.0,0.09556300988835155
WT,5.0,0.05789288456826011
WT,5.0,0.06403548667922128
WT,5.0,0.030692538694704834
WT,5.0,0.060212238891051935
WT,5.0,0.03125548586838661
WT,5.0,0.08141673068442284
WT,5.0,0.0975525214249045
WT,5.0,0.04615533840126018
WT,5.0,0.04033625529036827
WT,5.0,0.06339256649548275
WT,5.0,0.05228365202715427
WT,5.0,0.07385235954343082
WT,5.0,0.06319866680861237
WT,5.0,0.036946022222698445
WT,5.0,0.04903240173302316
WT,5.0,0.07647819116725385
WT,5.0,0.014461758226325895
WT,5.0,0.08208935829209942
WT,5.0,0.05655329578318681
WT,5.0,0.04460901244255249
WT,5.0,0.039758907103910515
WT,5.0,0.06535214271884912
WT,5.0,0.00950274641995633
WT,5.0,0.1159773325735341
WT,5.0,0.07406544025991006
WT,5.0,0.021405198810862627
WT,5.0,0.07385235954343082
WT,5.0,0.11635876645338847
WT,5.0,0.02083346806079475
WT,5.0,0.024117299159923746
WT,5.0,0.05746698260249945
WT,5.0,0.038969249961432494
WT,5.0,0.060323636156971734
WT,5.0,0.05832301098793878
WT,5.0,0.07864062088878397
WT,5.0,0.04509942435193697
WT,5.0,0.08384340597951392
WT,5.0,0.04635895634439737
WT,5.0,0.06361928887194851
WT,5.0,0.014161217631187202
WT,5.0,0.05589942593053132
WT,5.0,0.08853575778392889
WT,5.0,0.11635876645338847
WT,5.0,0.06353632549280054
WT,5.0,0.07887988430825661
WT,5.0,0.07752452286762199
WT,5.0,0.06602610952062747
WT,5.0,0.011030353990054238
WT,5.0,0.032556486976920984
WT,5.0,0.16798638420482312
WT,5.0,0.0636506514152701
WT,5.0,0.04911274945164613
WT,5.0,0.04099401323918203
WT,5.0,0.06506045360933496
WT,5.0,0.04673972758885941
WT,5.0,0.06505920402843283
WT,5.0,0.08489885042215665
WT,5.0,0.05844287303717447
WT,5.0,0.06353632549280054
WT,5.0,0.015865748516332757
WT,5.0,0.06241065285940965
WT,5.0,0.03395016146157119
WT,5.0,0.004093105861322561
WT,5.0,0.07864559333759458
WT,5.0,0.08147393392757131
WT,5.0,0.06104654286601606
WT,5.0,0.07940758357076741
WT,5.0,0.024123638782276254
WT,5.0,0.06963252957569398
WT,5.0,0.0931809125628707
WT,5.0,0.033704980421054805
