condition_key,w_inter,trial_idx,seed,a_hat_value
WT,4.0,,,0.08718003551756687
WT,4.0,,,0.03447344074666558
WT,4.0,,,0.0033067019420040416
WT,4.0,,,0.05287811739084063
WT,4.0,,,0.08838779148278612
WT,4.0,,,0.03132634878323569
WT,4.0,,,0.008138901545375896
WT,4.0,,,0.02509201796553922
WT,4.0,,,0.08747737871691985
WT,4.0,,,0.04961649931596391
WT,4.0,,,0.07589799504968862
WT,4.0,,,0.04221022803833071
WT,4.0,,,0.01876791761301567
WT,4.0,,,0.07754219983923215
WT,4.0,,,0.08777924882096766
WT,4.0,,,0.08718003551756687
WT,4.0,,,0.09896025103432093
WT,4.0,,,0.0219090516231125
WT,4.0,,,0.0033756552722632185
WT,4.0,,,0.05955725815184424
WT,4.0,,,0.04352930851509932
WT,4.0,,,0.04156945100640958
WT,4.0,,,0.011006618384280123
WT,4.0,,,0.046640645528839356
WT,4.0,,,0.06956933947178659
WT,4.0,,,0.03460659084525153
WT,4.0,,,0.0829380513040718
WT,4.0,,,0.03134615982154449
WT,4.0,,,0.03532087369450788
WT,4.0,,,0.06149445561987616
WT,4.0,,,0.011611475315706886
WT,4.0,,,0.09896025103432093
WT,4.0,,,0.03589343585574768
WT,4.0,,,0.06421810551198254
WT,4.0,,,0.09433423182407583
WT,4.0,,,0.04134333869181763
WT,4.0,,,0.024422697055945512
WT,4.0,,,0.07065070085502312
WT,4.0,,,0.033091173385173867
WT,4.0,,,0.06381482988667866
WT,4.0,,,0.05445021482290319
WT,4.0,,,0.07719242638219269
WT,4.0,,,0.018231149845470526
WT,4.0,,,0.03278029267028882
WT,4.0,,,0.12154413153038066
WT,4.0,,,0.030956405531838406
WT,4.0,,,0.09778863189304916
WT,4.0,,,0.03589343585574768
WT,4.0,,,0.03225805907180111
WT,4.0,,,0.07951290325531879
WT,4.0,,,0.051763619957708465
WT,4.0,,,0.07103926353788173
WT,4.0,,,0.01031821424352417
WT,4.0,,,0.09142125995853134
WT,4.0,,,0.06464379795101277
WT,4.0,,,0.0814893290289915
WT,4.0,,,0.08542039695215942
WT,4.0,,,0.040449258116044474
WT,4.0,,,0.03682200203106253
WT,4.0,,,0.06904041801401013
WT,4.0,,,0.09937248690392637
WT,4.0,,,0.06426014460197557
WT,4.0,,,0.05906943556481845
WT,4.0,,,0.03225805907180111
WT,4.0,,,0.026519997159120946
WT,4.0,,,0.052051083289788046
WT,4.0,,,0.016586124297064513
WT,4.0,,,0.06802038527109591
WT,4.0,,,0.12982558954401574
WT,4.0,,,0.1336646226660883
WT,4.0,,,0.006268513792360199
WT,4.0,,,0.02449890903037687
WT,4.0,,,0.040168235213859316
WT,4.0,,,0.03208342467852185
WT,4.0,,,0.06699249999085473
WT,4.0,,,0.02947795494846993
WT,4.0,,,0.03031392490521536
WT,4.0,,,0.05644263242993536
WT,4.0,,,0.06690642421165523
WT,4.0,,,0.026519997159120946
WT,4.0,,,0.10610719262898073
WT,4.0,,,0.08651495793964571
WT,4.0,,,0.03172011129769528
WT,4.0,,,0.04071410013413849
WT,4.0,,,0.0580447500897765
WT,4.0,,,0.037678799332379415
WT,4.0,,,0.02453952130438617
WT,4.0,,,0.06894229383196203
WT,4.0,,,0.07288055152672038
WT,4.0,,,0.015184822051915485
WT,4.0,,,0.03586906265087224
WT,4.0,,,0.07985798675452288
WT,4.0,,,0.02164238461720736
WT,4.0,,,0.06781350052546611
WT,4.0,,,0.04856817739921274
