condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,2.0,0,191664963,0.04451995979836263,0.143885 0.119338 0.114202 0.089878 0.085749 0.021433 0.053326 0.026330 0.024784 0.004191 0.060801 0.043128 0.057364 0.050516 0.044520,2.2096664882686974,179.94274645096547,0.057253549034527396
WT,5.0,2.0,1,1662057957,0.06217279567109913,0.124372 0.093045 0.095311 0.044504 0.018877 0.069402 0.060778 0.013157 0.019102 0.046951 0.011163 0.020351 0.022883 0.013832 0.062173,2.246572196978715,112.76601686871018,67.23398313128982
WT,5.0,2.0,2,1405681631,0.013874786237650184,0.134751 0.107935 0.125624 0.067532 0.068861 0.081859 0.032685 0.019777 0.002451 0.032081 0.027496 0.060067 0.048345 0.053144 0.013875,2.172943812016669,238.40837419799539,58.408374197995386
WT,5.0,2.0,3,942484272,0.003672103064786447,0.138105 0.134364 0.071864 0.072543 0.066972 0.048310 0.025609 0.043844 0.019087 0.034454 0.040657 0.062377 0.025208 0.028953 0.003672,2.5895670197886664,329.52930191050126,149.52930191050126
WT,5.0,2.0,4,929893137,0.010189156054618322,0.097776 0.096861 0.085170 0.032496 0.047035 0.026690 0.026161 0.045541 0.027471 0.028738 0.057067 0.025516 0.040673 0.028897 0.010189,2.251443909495616,2.9010235076476247,177.09897649235236
WT,5.0,2.0,5,1843824992,0.025575407965570743,0.150704 0.087294 0.127175 0.102868 0.068454 0.018729 0.039295 0.070049 0.043338 0.018332 0.064081 0.022199 0.047162 0.045354 0.025575,2.334318898573304,251.7013817718013,71.7013817718013
WT,5.0,2.0,6,184566854,0.015228625829796097,0.131387 0.102405 0.107359 0.045665 0.091101 0.107370 0.060198 0.037208 0.043018 0.042437 0.031380 0.026259 0.018901 0.041642 0.015229,2.2248383088075894,174.61864873497734,5.3813512650226585
WT,5.0,2.0,7,1497586438,0.028108357281270452,0.130044 0.054126 0.110878 0.089561 0.111168 0.114200 0.038069 0.067602 0.010995 0.077757 0.009411 0.014161 0.044491 0.020481 0.028108,2.3190123745277793,54.572739372644335,125.42726062735566
WT,5.0,2.0,8,432652533,0.0713256324877937,0.115514 0.091691 0.051787 0.053886 0.083234 0.085490 0.107775 0.037044 0.025615 0.010551 0.042220 0.069685 0.017332 0.009532 0.071326,2.2356489326723947,132.20911573679032,47.790884263209676
WT,5.0,2.0,9,202244314,0.02916388996831758,0.136131 0.082099 0.148654 0.026283 0.079017 0.063677 0.073733 0.032137 0.045715 0.041039 0.079709 0.005384 0.021885 0.047108 0.029164,2.1636262082824875,67.0640591086782,112.9359408913218
WT,5.0,2.0,10,1130604997,0.03995304641647843,0.136618 0.097783 0.061888 0.042479 0.056480 0.100746 0.050862 0.026825 0.053532 0.020613 0.013028 0.042247 0.029559 0.011318 0.039953,2.1944737960581757,44.833286072118355,135.16671392788163
WT,5.0,2.0,11,2095133045,0.06393133901677724,0.114696 0.087761 0.104579 0.065636 0.088218 0.034922 0.051342 0.053018 0.012339 0.022402 0.055144 0.014610 0.052904 0.045322 0.063931,2.097756442816742,39.79290406600596,140.20709593399403
WT,5.0,2.0,12,1580016183,0.03915539744200854,0.120936 0.088179 0.115195 0.075079 0.080427 0.017177 0.076093 0.052758 0.080722 0.020578 0.056565 0.053654 0.018847 0.018889 0.039155,2.0768943408064295,267.11737904056275,87.11737904056275
WT,5.0,2.0,13,1634535062,0.020222153751702557,0.153675 0.081105 0.090654 0.053065 0.085951 0.064169 0.056745 0.053971 0.034527 0.045303 0.039542 0.020988 0.057410 0.050844 0.020222,2.2915744800363558,271.4042939630313,91.40429396303131
WT,5.0,2.0,14,1540770719,0.05122995714818636,0.131965 0.084568 0.085274 0.044770 0.022397 0.046592 0.080420 0.035313 0.070439 0.031133 0.030207 0.072755 0.017366 0.039982 0.051230,2.4012249665066334,346.9336720784841,166.9336720784841
WT,5.0,2.0,15,1688060240,0.056767245273927604,0.091146 0.115876 0.100399 0.091775 0.102355 0.110547 0.051676 0.046502 0.052562 0.006601 0.074563 0.048539 0.013569 0.036799 0.056767,2.3306667756276562,34.014543546581535,145.98545645341846
WT,5.0,2.0,16,1102145672,0.048660418038465936,0.125288 0.077488 0.105305 0.073900 0.086492 0.074089 0.063760 0.037973 0.056386 0.052116 0.024565 0.021668 0.023194 0.018881 0.048660,2.243055716353699,231.6492249392995,51.6492249392995
WT,5.0,2.0,17,275121930,0.044734069063108034,0.115356 0.107801 0.145815 0.060976 0.047684 0.050485 0.044128 0.100145 0.004745 0.041338 0.026691 0.057616 0.025438 0.048399 0.044734,2.19523112452346,106.03874495059452,73.96125504940548
WT,5.0,2.0,18,1803345590,0.0481680149930034,0.128472 0.124134 0.096877 0.073873 0.092303 0.059388 0.047767 0.074978 0.040568 0.087893 0.038874 0.044813 0.010517 0.052439 0.048168,2.286701332903553,229.39336626485914,49.39336626485914
WT,5.0,2.0,19,967196436,0.030199023484920616,0.153938 0.100807 0.068274 0.083546 0.085550 0.068196 0.050088 0.051279 0.065033 0.062788 0.028613 0.037825 0.040527 0.034122 0.030199,2.2030794012309425,43.73046461933152,136.2695353806685
WT,5.0,2.0,20,1074497555,0.013304266257083674,0.113575 0.114652 0.119820 0.061274 0.023646 0.065541 0.058826 0.029973 0.008906 0.050799 0.027914 0.045547 0.052244 0.038429 0.013304,2.373667672812452,159.04684187959225,20.95315812040775
WT,5.0,2.0,21,796282693,0.06308328599204055,0.101385 0.087309 0.093669 0.090311 0.035039 0.057348 0.031662 0.052469 0.027670 0.037812 0.056144 0.006275 0.017736 0.025065 0.063083,2.109677987941439,34.81794372295262,145.18205627704737
WT,5.0,2.0,22,392022359,0.03633768322952021,0.081578 0.120195 0.095748 0.073473 0.085747 0.075444 0.057201 0.032646 0.053790 0.023563 0.016331 0.020783 0.017487 0.023781 0.036338,2.269529152396362,113.22311674106768,66.77688325893232
WT,5.0,2.0,23,1990212658,0.03004823862472175,0.089355 0.092031 0.089762 0.088627 0.051654 0.045085 0.061135 0.023577 0.065913 0.067236 0.039074 0.024273 0.013044 0.025155 0.030048,2.401881129689947,173.7523610479918,6.247638952008202
WT,5.0,2.0,24,1678403330,0.010980732350973582,0.095392 0.098037 0.072507 0.074731 0.049170 0.045701 0.060075 0.044918 0.040621 0.065804 0.025165 0.023180 0.037217 0.013279 0.010981,2.1704029115667804,131.01077058413537,48.98922941586463
WT,5.0,2.0,25,1382689815,0.04676551193056746,0.105600 0.097133 0.120818 0.060639 0.073662 0.061481 0.049497 0.071359 0.034268 0.033071 0.021171 0.044308 0.051603 0.036446 0.046766,2.358298613179412,314.41453386355886,134.41453386355886
WT,5.0,2.0,26,864178266,0.035209813831415346,0.113697 0.097870 0.088307 0.081367 0.029398 0.047877 0.070595 0.016711 0.062553 0.043472 0.035719 0.047140 0.028513 0.025240 0.035210,2.29411417818597,99.1537160342387,80.8462839657613
WT,5.0,2.0,27,1766867109,0.010016009295169869,0.125017 0.077953 0.073851 0.099643 0.057297 0.131417 0.053803 0.060186 0.046275 0.069996 0.031048 0.015653 0.060289 0.009661 0.010016,2.2826934242386967,359.5920537486817,179.59205374868168
WT,5.0,2.0,28,1171300112,0.03771462206012643,0.101954 0.085780 0.084544 0.045211 0.094777 0.073886 0.020678 0.049775 0.020512 0.032237 0.059555 0.059805 0.059976 0.045078 0.037715,2.4521162963421417,276.69878448864904,96.69878448864904
WT,5.0,2.0,29,952224740,0.010069087168318565,0.142379 0.106859 0.070411 0.086055 0.035164 0.051610 0.069880 0.067558 0.048174 0.037314 0.068944 0.057442 0.022887 0.025783 0.010069,2.2752859427274768,211.60269054804357,31.60269054804357
WT,5.0,2.0,30,967354524,0.024245455768346535,0.092641 0.136536 0.086784 0.094416 0.085163 0.058899 0.056129 0.079526 0.059013 0.027217 0.027726 0.035890 0.095894 0.039754 0.024245,2.1564104524403,184.33760366584175,4.337603665841755
WT,5.0,2.0,31,487991438,0.05623052886980126,0.126385 0.113973 0.109711 0.052156 0.078986 0.043876 0.076941 0.057025 0.044880 0.027976 0.061952 0.029661 0.035798 0.031785 0.056231,2.4176093073658853,131.009816670608,48.99018332939201
WT,5.0,2.0,32,197860368,0.04374877575296825,0.065738 0.080724 0.076875 0.053290 0.073850 0.041416 0.026519 0.027271 0.023571 0.032119 0.014366 0.047103 0.073694 0.025312 0.043749,2.403909173576082,223.4976213471563,43.4976213471563
WT,5.0,2.0,33,1190961760,0.010012879935069269,0.085945 0.134698 0.056640 0.070780 0.091979 0.032853 0.040422 0.032197 0.030891 0.057445 0.035217 0.030681 0.017059 0.029610 0.010013,2.366212409192126,328.10484562739344,148.10484562739344
WT,5.0,2.0,34,1906728918,0.038532873509790136,0.108595 0.105134 0.115155 0.088012 0.098829 0.114398 0.076688 0.040099 0.035070 0.040934 0.010416 0.010701 0.061575 0.051776 0.038533,2.282395815993664,74.31353335563625,105.68646664436375
