condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials
WT,5.0,2.0,0.06,0.03427500667809605,2.2679784476647207,74.44510679464938,0.06244475610273967,50
WT,5.0,3.0,0.04,0.035107023219911875,2.5836564586696,62.76107300147655,0.06045253816925946,50
WT,5.0,4,0.22,0.04174882978506413,3.0985171514080365,41.60965027825477,0.056842288763431004,50
WT,5.0,5.0,0.82,0.07432653680175429,4.093028611664194,15.994738268781347,0.05206689879057249,50
WT,5.0,6.0,0.18,0.1640552674961694,9.151588887950075,44.44699070497735,0.235900954700402,50
WT,10.0,2.0,0.06,0.04030782589294755,3.174432660130553,47.08058531750014,0.06244475610273967,50
WT,10.0,3.0,0.36,0.050299883194423606,3.7123779080335613,33.11369623755829,0.06045253816925946,50
WT,10.0,4,0.84,0.08062156252167654,4.460115086243962,16.089331745414675,0.056842288763431004,50
WT,10.0,5.0,1.0,0.16467163452007294,5.755196461752412,6.254150534752293,0.05206689879057249,50
WT,10.0,6.0,0.24,0.19721233630437085,11.264571317076083,44.09482270894987,0.235900954700402,50
WT,15.0,2.0,0.38,0.0546297058163888,4.108774183225136,30.89444010591948,0.06244475610273967,50
WT,15.0,3.0,0.78,0.07864253077823881,4.970749785987793,17.35737571957349,0.06045253816925946,50
WT,15.0,4,1.0,0.13779380659061222,6.0025322030252335,8.235418095637204,0.056842288763431004,50
WT,15.0,5.0,1.0,0.26318111843249165,7.669387078805663,3.744905247335337,0.05206689879057249,50
WT,15.0,6.0,0.32,0.2051744547093314,13.395245816924263,37.06664808475652,0.235900954700402,50
WT,20.0,2.0,0.7,0.0762974090730588,4.869690638247308,18.740973064657645,0.06244475610273967,50
WT,20.0,3.0,0.98,0.11562081799783779,6.285747461953447,10.478186224284151,0.06045253816925946,50
WT,20.0,4,1.0,0.2013432770044979,7.619397625548674,5.266977453493898,0.056842288763431004,50
WT,20.0,5.0,1.0,0.3551794539310565,9.762927000182298,2.60490329130259,0.05206689879057249,50
WT,20.0,6.0,0.62,0.2568185951415913,15.605800437437845,27.501394001426537,0.235900954700402,50
WT,25.0,2.0,0.94,0.10369841222282729,5.3267709641888485,12.275310898196821,0.06244475610273967,50
WT,25.0,3.0,1.0,0.15669364889031967,7.626456446240509,7.257589579704663,0.06045253816925946,50
WT,25.0,4,1.0,0.26555214370050123,9.267551180202444,3.783247716787595,0.056842288763431004,50
WT,25.0,5.0,1.0,0.4321387960069174,11.87948984138731,2.0080924366330755,0.05206689879057249,50
WT,25.0,6.0,0.78,0.30010230364084495,17.840056946230522,17.17644102522091,0.235900954700402,50
WT,30.0,2.0,1.0,0.134367676342088,5.607725978732919,8.856779096144093,0.06244475610273967,50
WT,30.0,3.0,1.0,0.19942056392392885,8.98487331100755,5.444605738140872,0.06045253816925946,50
WT,30.0,4,1.0,0.3269692199547371,10.93410024455972,2.9165857575107514,0.056842288763431004,50
WT,30.0,5.0,1.0,0.49199618636613907,13.963075073054824,1.6373044308485243,0.05206689879057249,50
WT,30.0,6.0,0.84,0.32691161200659397,20.089024323624695,14.943162842480977,0.235900954700402,50
WT,35.0,2.0,1.0,0.16676147007017506,5.807814302346827,6.80241088272569,0.06244475610273967,50
WT,35.0,3.0,1.0,0.24219674216762097,10.407872638059752,4.301473779978291,0.06045253816925946,50
WT,35.0,4,1.0,0.38366671450440093,12.606759913788341,2.3537050612985984,0.056842288763431004,50
WT,35.0,5.0,1.0,0.5347079866784084,16.00338734857302,1.4167726375396217,0.05206689879057249,50
WT,35.0,6.0,0.84,0.3581088324534801,22.17619998445431,18.394519097503906,0.235900954700402,50
WT,40.0,2.0,1.0,0.199701721028598,5.961932981111633,5.4532278417352,0.06244475610273967,50
WT,40.0,3.0,1.0,0.28392678925448644,11.874446705615737,3.526846811358692,0.06045253816925946,50
WT,40.0,4,1.0,0.43488579629895663,14.28107978484376,1.9689041989455183,0.056842288763431004,50
WT,40.0,5.0,1.0,0.5600746996202597,17.982620044754245,1.3389837460121827,0.05206689879057249,50
WT,40.0,6.0,0.94,0.40495952820476006,24.36680694125259,14.402615904939685,0.235900954700402,50
WT,45.0,2.0,1.0,0.23226612451276119,6.086864623459523,4.5141966531208375,0.06244475610273967,50
WT,45.0,3.0,1.0,0.32394134508136574,13.261840665861904,2.973903665889588,0.06045253816925946,50
WT,45.0,4,1.0,0.4805733122971936,15.955785193731668,1.6800420824038382,0.056842288763431004,50
WT,45.0,5.0,1.0,0.5712268794089677,19.95410371317679,1.3249380418367793,0.05206689879057249,50
WT,45.0,6.0,0.9,0.4062700484392223,26.542094784061288,13.114307773518915,0.235900954700402,50
WT,50.0,2.0,1.0,0.2637198309819543,6.189427138048693,3.8338573659616566,0.06244475610273967,50
WT,50.0,3.0,1.0,0.3618255834600594,14.520816916783856,2.561795118517166,0.06045253816925946,50
WT,50.0,4,1.0,0.5210054029851405,17.627975057361578,1.454572168895199,0.056842288763431004,50
WT,50.0,5.0,1.0,0.5826248807172272,21.869445066623594,1.4339134085068161,0.05206689879057249,50
WT,50.0,6.0,0.96,0.4482000939030638,28.77302403092618,13.88300564335618,0.235900954700402,50
