condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,0.0,0.7617604236437222,0.0019137816619117967,1.0,
WT,0.001,0.7605665913436375,0.0019416333514999824,1.0,
WT,0.002,0.7589864214227923,0.001974703154762749,1.0,
WT,0.003,0.7575664548214115,0.0020053801376659795,1.0,
WT,0.004,0.7556313812898073,0.0020493352343836056,1.0,
WT,0.005,0.7539115985879388,0.0020992387846338594,1.0,
WT,0.006,0.7516941955315096,0.002179910812049775,1.0,
WT,0.007,0.7495043944393441,0.002249123148785218,1.0,
WT,0.008,0.7474589933433615,0.0023086349160617975,1.0,
WT,0.009,0.7452240118356798,0.002392525680234762,1.0,
WT,0.01,0.7427177978443671,0.002455090003820331,1.0,
WT,0.011,0.740346682198632,0.0024968794757620734,1.0,
WT,0.012,0.7373770005090065,0.00256341901079097,1.0,
WT,0.013,0.734697858201256,0.0026392219317847147,1.0,
WT,0.014,0.7317242702970824,0.00270771271264681,1.0,
WT,0.015,0.72886280832495,0.0027696140709139623,1.0,
WT,0.016,0.7257700768158869,0.0028342173450321144,1.0,
WT,0.017,0.7223267945456369,0.0029029063928737815,1.0,
WT,0.018,0.7189844051964355,0.0029545661364063763,1.0,
WT,0.019,0.7155803292032917,0.00301626848689234,1.0,
WT,0.02,0.7120315345992919,0.0030789226583170203,1.0,
WT,0.021,0.7079734038475998,0.003138908540633721,1.0,
WT,0.022,0.7046298492858175,0.0031916014360074967,1.0,
WT,0.023,0.7006340697827643,0.0032421662904422942,1.0,
WT,0.024,0.6970816259730397,0.0032904679100286597,1.0,
WT,0.025,0.6931727544455438,0.003339894221063813,1.0,
WT,0.026,0.6888726165581751,0.0034116349270281498,1.0,
WT,0.027,0.6848950739658822,0.0034676419376527042,1.0,
WT,0.028,0.6808193278031304,0.003498640043692592,1.0,
WT,0.029,0.6764544838381328,0.003555573290945506,1.0,
WT,0.03,0.6723080958457508,0.003582232478726417,1.0,
WT,0.031,0.6677795355767954,0.003633006457234873,1.0,
WT,0.032,0.6635311662889218,0.0036546715491576217,1.0,
WT,0.033,0.6592033307535374,0.003696868630109367,1.0,
WT,0.034,0.6546937829320101,0.0037341562086758294,1.0,
WT,0.035,0.6501692512326803,0.0037673849369807234,1.0,
WT,0.036,0.6458210845598374,0.0037912181851490635,1.0,
WT,0.037,0.64140043963585,0.0038209670651028335,1.0,
WT,0.038,0.6368422885976256,0.003851381204991739,1.0,
WT,0.039,0.6323318672870599,0.0038706625636321847,1.0,
WT,0.04,0.6276460752906091,0.003902061643064767,1.0,
WT,0.041,0.6230879392804873,0.0039055866401784107,1.0,
WT,0.042,0.6184286920860926,0.0039139309181998325,1.0,
WT,0.043,0.6139280118801783,0.0039219816660547545,1.0,
WT,0.044,0.6094526446110943,0.003895230353578015,1.0,
WT,0.045,0.6048903995839218,0.0038884847397641087,1.0,
WT,0.046,0.6004084851347019,0.0038726631572695027,1.0,
WT,0.047,0.5963074352339037,0.003877111436828628,1.0,
WT,0.048,0.5920499029691622,0.0038949878143801323,1.0,
WT,0.049,0.5881888786320172,0.0038656283842553795,1.0,
WT,0.05,0.5839160190503715,0.003844720529850739,1.0,
WT,0.051,0.5796185315146903,0.0038213771448518154,1.0,
WT,0.052,0.5756974283088443,0.00379371031826724,1.0,
WT,0.053,0.5718442602829386,0.0037831638986898625,1.0,
WT,0.054,0.567884063007953,0.0037551141723604063,1.0,
WT,0.055,0.5638448800052951,0.003725774178467219,1.0,
WT,0.056,0.5604032822933838,0.0036888526119476807,1.0,
WT,0.057,0.5568031044115038,0.0036223451023181673,1.0,
WT,0.058,0.5534559136894611,0.0035433202580848824,1.0,
WT,0.059,0.5498109647399726,0.0034873777127038437,1.0,
WT,0.06,0.5461213069076475,0.003451726992430808,1.0,
WT,0.061,0.5426454928848397,0.003394712447033748,1.0,
WT,0.062,0.5397958197947785,0.0033389835616722003,1.0,
WT,0.063,0.537324184354948,0.0032963574712582483,1.0,
WT,0.064,0.5343230093651455,0.0032590754145473016,1.0,
WT,0.065,0.5317189856079383,0.0032307650511040325,1.0,
WT,0.066,0.5293380960681128,0.0032056689342909255,1.0,
WT,0.067,0.527176846946578,0.003176159422540549,1.0,
WT,0.068,0.5252083215240932,0.0031659770840167254,1.0,
WT,0.069,0.522998640658892,0.003133693849221382,1.0,
WT,0.07,0.5210948508802816,0.0031310222003167014,1.0,
WT,0.071,0.519587312985113,0.003110912364285919,1.0,
