condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,0.0,0.757881633306323,0.004160677811741521,1.0,
WT,0.001,0.7627409671899185,0.004049331641348715,1.0,
WT,0.002,0.7675089254833272,0.003932892086610833,1.0,
WT,0.003,0.772120826846167,0.0037912387419307635,1.0,
WT,0.004,0.7763529224494735,0.0036503696379000276,1.0,
WT,0.005,0.7805120690674093,0.003519790905553046,1.0,
WT,0.006,0.7842873209502645,0.003382405948595403,1.0,
WT,0.007,0.7879366332338379,0.0032285281812031844,1.0,
WT,0.008,0.7915462307377079,0.0030759967718560237,1.0,
WT,0.009,0.7947608910482902,0.0029389970333358567,1.0,
WT,0.01,0.7977567429592232,0.002809480363493989,1.0,
WT,0.011,0.8004319272918666,0.002663695658750682,1.0,
WT,0.012,0.8030942368969346,0.0025302689898110747,1.0,
WT,0.013,0.8055800354854311,0.0023845880315611213,1.0,
WT,0.014,0.8078682556162791,0.0022514626114196598,1.0,
WT,0.015,0.8096027987283069,0.0021321344365504433,1.0,
WT,0.016,0.811389097850059,0.0020148039656825664,1.0,
WT,0.017,0.8127976175751552,0.001909338074259783,1.0,
WT,0.018,0.814131166560938,0.0017986731253354688,1.0,
WT,0.019,0.8151038251070882,0.0017000604792448881,1.0,
WT,0.02,0.8159514769758045,0.0016063063123027122,1.0,
WT,0.021,0.8165906921355929,0.0015328147477886441,1.0,
WT,0.022,0.8170276828536592,0.001467702939499254,1.0,
WT,0.023,0.8172033181338739,0.0014005753424155352,1.0,
WT,0.024,0.8171564667942004,0.001362178264645753,1.0,
WT,0.025,0.8169011397698,0.0013331308872770392,1.0,
WT,0.026,0.8165050275406441,0.0013161709999066715,1.0,
WT,0.027,0.8158836118486367,0.001320406566266768,1.0,
WT,0.028,0.8152921000417366,0.0013218524075193376,1.0,
WT,0.029,0.8145854653441718,0.0013414654163526629,1.0,
WT,0.03,0.813661988701241,0.0013695377153108482,1.0,
WT,0.031,0.8125829805030104,0.001403328135155739,1.0,
WT,0.032,0.8114200616636628,0.0014331083017839297,1.0,
WT,0.033,0.8102863118973049,0.0014576470037895436,1.0,
WT,0.034,0.8088403505369951,0.0015073688635520817,1.0,
WT,0.035,0.8074612946629991,0.001546537762906055,1.0,
WT,0.036,0.8058419515902352,0.0015913691584271412,1.0,
WT,0.037,0.8039079009164797,0.0016604116382866344,1.0,
WT,0.038,0.8020001059446928,0.0017070373178164542,1.0,
WT,0.039,0.7999905796822778,0.00176692152242841,1.0,
WT,0.04,0.7979922440097506,0.0018301910761543772,1.0,
WT,0.041,0.795867392594013,0.0018752800581374866,1.0,
WT,0.042,0.7937142843420791,0.0019349657760787482,1.0,
WT,0.043,0.7913618566289001,0.001981618351279868,1.0,
WT,0.044,0.7889884580966268,0.0020347414493864296,1.0,
WT,0.045,0.7865696643690236,0.0020720685932787116,1.0,
WT,0.046,0.7839776293804852,0.0021269834104829435,1.0,
WT,0.047,0.7813666028076973,0.002167697191912034,1.0,
WT,0.048,0.7785182456129774,0.0022402596350654573,1.0,
WT,0.049,0.7756614664936781,0.0023035245356087114,1.0,
WT,0.05,0.7729697914698163,0.002354931381436964,1.0,
WT,0.051,0.7702420725227974,0.0024033700673593335,1.0,
WT,0.052,0.7672473415262667,0.002463561975820235,1.0,
WT,0.053,0.7642988945580893,0.002511077800471746,1.0,
WT,0.054,0.760964477270806,0.002574540623744756,1.0,
WT,0.055,0.7574128557867331,0.0026377867220449456,1.0,
WT,0.056,0.7542281709527344,0.002680503742313596,1.0,
WT,0.057,0.7508216684382746,0.0027439372829274893,1.0,
WT,0.058,0.7472384218997443,0.0027823392290490575,1.0,
WT,0.059,0.743398895902865,0.002860123940179031,1.0,
WT,0.06,0.7396233440959799,0.002895796726533125,1.0,
WT,0.061,0.7357416371073239,0.0029466850941662665,1.0,
WT,0.062,0.7316644586871294,0.0029955686248674266,1.0,
WT,0.063,0.7277677562839223,0.0030363500473991343,1.0,
WT,0.064,0.7240859438124434,0.0030677174324605584,1.0,
WT,0.065,0.7196317568850207,0.003111835902286703,1.0,
WT,0.066,0.7153754681074452,0.003170378335834721,1.0,
WT,0.067,0.711384856102325,0.003211355412534571,1.0,
WT,0.068,0.7074987066222967,0.0032500758846589007,1.0,
WT,0.069,0.7035625676264111,0.003288822738746739,1.0,
WT,0.07,0.699270107595683,0.0033410602532990548,1.0,
WT,0.071,0.6949818427850802,0.0033647394018167997,1.0,
WT,0.072,0.6905061989420412,0.003388954533626816,1.0,
WT,0.073,0.6861692843713215,0.0034032681294378793,1.0,
WT,0.074,0.6815154809865107,0.003438193824036503,1.0,
WT,0.075,0.6767116408407978,0.0034548637553478445,1.0,
WT,0.076,0.6722998892791023,0.003460290434363015,1.0,
WT,0.077,0.6679647039408618,0.0034984508872666917,1.0,
WT,0.078,0.6635595632458584,0.0035380881286380694,1.0,
WT,0.079,0.658804271017231,0.0035575671974146,1.0,
