condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,0.0,1,1662057957,-0.10076405285613488,0.23879696312934323,0.16420740515928053
WT,0.0,2,1405681631,0.0065166931291731345,0.28608093941517243,0.1788165823192936
WT,0.0,0,191664963,0.03833575276203982,0.26631861378210003,0.22839041379339312
WT,0.0,3,942484272,-0.20202964079249197,0.30140524896940957,0.1717076914403314
WT,0.0,4,929893137,-0.03238359465614726,0.30635626291622675,0.17963527463423967
WT,0.0,5,1843824992,-0.12924494122473051,0.28722792806146613,0.17991166215699417
WT,0.0,7,1497586438,0.14426110401506342,0.27157146146840216,0.14295201315037706
WT,0.0,6,184566854,-0.09049112039256935,0.2751084283119421,0.18985306643475847
WT,0.0,8,432652533,0.14874611282381078,0.2819902935747795,0.16646077135020626
WT,0.0,9,202244314,-0.03723466766087569,0.2993378716378092,0.14481079658263116
WT,0.0,10,1130604997,-0.18546407313208624,0.24238972768175487,0.175562828834956
WT,0.0,11,2095133045,-0.038888665771715125,0.27762785625423386,0.2092229257895291
WT,0.0,12,1580016183,0.12281001551967297,0.28137797986750157,0.13793991338925315
WT,0.0,13,1634535062,-0.06042313179207781,0.2711128415304091,0.20425353240582586
WT,0.0,14,1540770719,-0.11929068678284827,0.254739431051053,0.1811933993899792
WT,0.0,15,1688060240,0.003072284786976187,0.29178397526954364,0.1366730236790415
WT,0.0,16,1102145672,-0.1453786346615562,0.27990087888155285,0.1675269888102394
WT,0.0,17,275121930,0.03090057496076959,0.2882133059344484,0.12958829634114516
WT,0.0,18,1803345590,-0.13000329171662495,0.28657206391041734,0.1887823452252732
WT,0.0,19,967196436,-0.008003194193722862,0.26969135292789354,0.20551119199676318
WT,0.0,20,1074497555,-0.06371329440303652,0.28305618594401616,0.12759741717206197
WT,0.0,21,796282693,-0.0799467359818391,0.2942934465771388,0.1571253052413016
WT,0.0,22,392022359,0.06458360208691172,0.2503966268938257,0.18012547627606218
WT,0.0,23,1990212658,0.054006707348921434,0.26365332229444255,0.23708926517635678
WT,0.0,24,1678403330,-0.19479062217763676,0.2819994289334609,0.17221484669179535
WT,0.0,25,1382689815,0.043501833909508125,0.2996309795889796,0.22117346431906834
WT,0.0,26,864178266,0.22255493822426553,0.24271523988017768,0.1885949809395001
WT,0.0,27,1766867109,0.12026683984299114,0.3021363199781875,0.19843222660700513
WT,0.0,28,1171300112,-0.08787576963701715,0.25366484615973994,0.18266503287390387
WT,0.0,29,952224740,-0.12552464438226574,0.2846868197878826,0.19280659636596117
WT,0.0,30,967354524,-0.07231544695760483,0.27148150216128225,0.16398868912608355
WT,0.0,31,487991438,0.1146428538396913,0.30528249424064274,0.19122798360730156
WT,0.0,32,197860368,-0.014128357326366192,0.30456008165201287,0.1675109253571884
WT,0.0,33,1190961760,0.04578773394636704,0.26112351866774297,0.18154310027150347
WT,0.0,34,1906728918,-0.009807988073270657,0.2594654829178585,0.20373121830236274
WT,0.0,35,137046513,0.13719722195072803,0.2848762036912776,0.17428800820488582
WT,0.0,36,1843166518,-0.05675769175610057,0.23005503058387708,0.2091746891301842
