condition_key,offset_deg,A_hat_rad_per_s,A_hat_sem,A_hat_sd,n_trials,distractor_amplitude_factor,distractor_duration_ms,distractor_onset_ms
WT,0.0,-0.007414566450235016,0.019400155602164435,0.13717981582364663,50,15.0,200.0,1500.0
WT,10.0,0.36345562610197096,0.019237550846912126,0.13603002657272575,50,15.0,200.0,1500.0
WT,20.0,0.7308150716964821,0.019397946584773323,0.13716419571187646,50,15.0,200.0,1500.0
WT,30.0,1.0923160304331712,0.01995631646329625,0.14111246698701516,50,15.0,200.0,1500.0
WT,40.0,1.445735889587459,0.020606969652136313,0.14571327980730978,50,15.0,200.0,1500.0
WT,50.0,1.7882678577394389,0.021234391741653178,0.15014982394894585,50,15.0,200.0,1500.0
WT,60.0,2.1155023837964504,0.02190765487223204,0.1549105132004978,50,15.0,200.0,1500.0
WT,70.0,2.4233286293789678,0.023051410549040842,0.16299808715141897,50,15.0,200.0,1500.0
WT,80.0,2.7080185512095087,0.02482987573842794,0.1755737351066173,50,15.0,200.0,1500.0
WT,90.0,2.9636667290838425,0.027269020722757362,0.19282109469378222,50,15.0,200.0,1500.0
WT,100.0,3.1850674565715322,0.03051563458114589,0.21577812144538971,50,15.0,200.0,1500.0
WT,110.0,3.367088264590388,0.03455237660698842,0.24432219804912947,50,15.0,200.0,1500.0
WT,120.0,3.5003180688780513,0.03919351834908261,0.2771400260319569,50,15.0,200.0,1500.0
WT,130.0,3.5587474477286576,0.04515942043600544,0.31932532424753807,50,15.0,200.0,1500.0
WT,140.0,3.4950850635763286,0.05244223823988549,0.3708226228002351,50,15.0,200.0,1500.0
WT,150.0,3.226161949009839,0.05965522146597999,0.4218261163177975,50,15.0,200.0,1500.0
WT,160.0,2.6230301510347425,0.06394905002715749,0.45218806924640836,50,15.0,200.0,1500.0
WT,170.0,1.5274448902474962,0.06392926374191057,0.45204815908168255,50,15.0,200.0,1500.0
WT,180.0,-0.02177122354609011,0.07139796490993676,0.5048598515073546,50,15.0,200.0,1500.0
WT_APP,0.0,-0.013428748181319962,0.022999539465987373,0.16263130320567298,50,15.0,200.0,1500.0
WT_APP,10.0,0.3157555021752356,0.02310772302861276,0.1633962765131263,50,15.0,200.0,1500.0
WT_APP,20.0,0.6429244743036681,0.023214761614030438,0.16415315360910085,50,15.0,200.0,1500.0
WT_APP,30.0,0.9668576183566796,0.023091103013358417,0.16327875525822858,50,15.0,200.0,1500.0
WT_APP,40.0,1.285115900202326,0.02315012000949203,0.16369606843994194,50,15.0,200.0,1500.0
WT_APP,50.0,1.5926479947928285,0.023451474224360388,0.1658269645286676,50,15.0,200.0,1500.0
WT_APP,60.0,1.8895085183143512,0.023848736441653393,0.1686360326062385,50,15.0,200.0,1500.0
WT_APP,70.0,2.176278964763187,0.024444815564456,0.172850948504813,50,15.0,200.0,1500.0
WT_APP,80.0,2.4483282268404993,0.025598426638737497,0.18100821063957648,50,15.0,200.0,1500.0
WT_APP,90.0,2.6908487285334273,0.02740369740772681,0.19377340266587842,50,15.0,200.0,1500.0
WT_APP,100.0,2.8826125201423274,0.030032142688834598,0.2123593174883694,50,15.0,200.0,1500.0
WT_APP,110.0,3.009806993077028,0.03379103748844474,0.23893871751408122,50,15.0,200.0,1500.0
WT_APP,120.0,3.0673654235059256,0.038736366455986,0.27390747399554816,50,15.0,200.0,1500.0
WT_APP,130.0,3.039864214845021,0.04460901906360861,0.3154333988195762,50,15.0,200.0,1500.0
WT_APP,140.0,2.8906709500189725,0.05104574330179974,0.36094791239410384,50,15.0,200.0,1500.0
WT_APP,150.0,2.5567157807740792,0.056088897150921656,0.39660839524691527,50,15.0,200.0,1500.0
WT_APP,160.0,1.969342098420516,0.05834349042908383,0.4125507772049761,50,15.0,200.0,1500.0
WT_APP,170.0,1.0891779894347926,0.058966007220114386,0.41695263564837803,50,15.0,200.0,1500.0
WT_APP,180.0,-0.008836501559547337,0.06227923762168524,0.44038071249421984,50,15.0,200.0,1500.0
