condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,nan,nan,-0.043522680395528424,5000.0,35.0,0,1,1,0.21370584537240928,0.25256801761498904,nan,nan
WT,1,1662057957,181.40625,nan,nan,0.042662127215980755,5000.0,35.0,0,1,1,0.21040594889690056,0.2531951580855033,nan,nan
WT,2,1405681631,181.40625,nan,nan,-0.029160807777932517,5000.0,35.0,0,1,1,0.19156184203885393,0.23853268741314287,nan,nan
WT,3,942484272,181.40625,nan,nan,-0.005805879187075565,5000.0,35.0,0,1,1,0.12344160757870941,0.17813942628167595,nan,nan
WT,4,929893137,181.40625,nan,nan,-0.05518026636353408,5000.0,35.0,0,1,1,0.20404571727911505,0.23894458749185862,nan,nan
WT,5,1843824992,181.40625,nan,nan,-0.033732346608000556,5000.0,35.0,0,1,1,0.18331694212252253,0.22565344072646368,nan,nan
WT,6,184566854,181.40625,nan,nan,-0.04075910020452307,5000.0,35.0,0,1,1,0.1871730153730901,0.22881907960473868,nan,nan
WT,7,1497586438,181.40625,nan,nan,-0.03269966638091324,5000.0,35.0,0,1,1,0.19569010229671985,0.2423351462124543,nan,nan
WT,8,432652533,181.40625,nan,nan,-0.032530375648174716,5000.0,35.0,0,1,1,0.17362553249623347,0.22202966607770366,nan,nan
WT,9,202244314,181.40625,nan,nan,-0.05715017894008853,5000.0,35.0,0,1,1,0.2362044960798256,0.2685231030969038,nan,nan
WT,10,1130604997,181.40625,nan,nan,-0.03179381596544899,5000.0,35.0,0,1,1,0.18963783020855213,0.2318794015135282,nan,nan
WT,11,2095133045,181.40625,nan,nan,0.023843235829112006,5000.0,35.0,0,1,1,0.1627316305551822,0.2127649672919059,nan,nan
WT,12,1580016183,181.40625,nan,nan,-0.03775504571016229,5000.0,35.0,0,1,1,0.179607258013971,0.224003281941495,nan,nan
WT,13,1634535062,181.40625,nan,nan,-0.01838132247869285,5000.0,35.0,0,1,1,0.1850501837553087,0.22973365884025548,nan,nan
WT,14,1540770719,181.40625,nan,nan,0.01940517522765476,5000.0,35.0,0,1,1,0.14801847991885808,0.1999283769263431,nan,nan
WT,15,1688060240,181.40625,nan,nan,-0.01666861172224579,5000.0,35.0,0,1,1,0.18116944942687022,0.2269902946982655,nan,nan
WT,16,1102145672,181.40625,nan,nan,-0.04359560684947381,5000.0,35.0,0,1,1,0.18653990894370145,0.22644063220625452,nan,nan
WT,17,275121930,181.40625,nan,nan,0.0349042613713115,5000.0,35.0,0,1,1,0.20284529263340262,0.24950719996192636,nan,nan
WT,18,1803345590,181.40625,nan,nan,0.05216284400660621,5000.0,35.0,0,1,1,0.22749244855514217,0.26219313718759274,nan,nan
WT,19,967196436,181.40625,nan,nan,0.05213058316550774,5000.0,35.0,0,1,1,0.22467419776596215,0.26000542874557675,nan,nan
WT,20,1074497555,181.40625,nan,nan,-0.022408804444290317,5000.0,35.0,0,1,1,0.10669508281899465,0.15846900236887487,nan,nan
WT,21,796282693,181.40625,nan,nan,-0.0616459655613717,5000.0,35.0,0,1,1,0.23433533378060772,0.2654850356177694,nan,nan
WT,22,392022359,181.40625,nan,nan,-0.04736860708720748,5000.0,35.0,0,1,1,0.2205105411614498,0.2558396635989828,nan,nan
WT,23,1990212658,181.40625,nan,nan,-0.04956600445430008,5000.0,35.0,0,1,1,0.2489504121203999,0.28050303713317576,nan,nan
WT,24,1678403330,181.40625,nan,nan,-0.038639209484246456,5000.0,35.0,0,1,1,0.19753257400839638,0.23991331898908938,nan,nan
WT,25,1382689815,181.40625,nan,nan,0.03942985811389515,5000.0,35.0,0,1,1,0.19996518605844188,0.24075314092777045,nan,nan
WT,26,864178266,181.40625,nan,nan,0.05086280281377717,5000.0,35.0,0,1,1,0.22325230339678706,0.2589041892676319,nan,nan
WT,27,1766867109,181.40625,nan,nan,-0.03909700496167759,5000.0,35.0,0,1,1,0.20284899444221213,0.247734359139058,nan,nan
WT,28,1171300112,181.40625,nan,nan,-0.008465782409134835,5000.0,35.0,0,1,1,0.11074104750982541,0.16122050684754158,nan,nan
WT,29,952224740,181.40625,nan,nan,0.037088818549355654,5000.0,35.0,0,1,1,0.19299094189998978,0.23689661938524684,nan,nan
WT,30,967354524,181.40625,nan,nan,-0.03548191789758061,5000.0,35.0,0,1,1,0.1857661496206966,0.22970552616120532,nan,nan
WT,31,487991438,181.40625,nan,nan,0.014300367568894226,5000.0,35.0,0,1,1,0.14988062551139963,0.20005172410284178,nan,nan
WT,32,197860368,181.40625,nan,nan,0.06475813653555217,5000.0,35.0,0,1,1,0.24593086094743422,0.27606679285793795,nan,nan
WT,33,1190961760,181.40625,nan,nan,0.020093173483298046,5000.0,35.0,0,1,1,0.18069965145608183,0.2304522997089883,nan,nan
WT,34,1906728918,181.40625,nan,nan,0.034220563222710144,5000.0,35.0,0,1,1,0.1841787136599902,0.2290498620736866,nan,nan
WT,35,137046513,181.40625,nan,nan,-0.016953010126932917,5000.0,35.0,0,1,1,0.17193280134715042,0.21678707921867849,nan,nan
WT,36,1843166518,181.40625,nan,nan,0.0015019710457958599,5000.0,35.0,0,1,1,0.13248374791450002,0.19441267246088675,nan,nan
WT,37,1777324407,181.40625,nan,nan,0.05915862648144481,5000.0,35.0,0,1,1,0.2219634710279263,0.2544025439172664,nan,nan
WT,38,594336917,181.40625,nan,nan,0.03385632485399858,5000.0,35.0,0,1,1,0.1998521468261707,0.24212901152870156,nan,nan
WT,39,1356488967,181.40625,nan,nan,0.021922032294481808,5000.0,35.0,0,1,1,0.14426978827917167,0.19775053799669792,nan,nan
WT,40,354826746,181.40625,nan,nan,-0.020204464994613636,5000.0,35.0,0,1,1,0.19318021940436636,0.24621624651887225,nan,nan
WT,41,1627981024,181.40625,nan,nan,0.03652227589437822,5000.0,35.0,0,1,1,0.2077504870332011,0.24826095702689865,nan,nan
WT,42,1504361614,181.40625,nan,nan,-0.025943453309227777,5000.0,35.0,0,1,1,0.1423745356491859,0.19397932202396503,nan,nan
WT,43,761338718,181.40625,nan,nan,-0.05339768065846367,5000.0,35.0,0,1,1,0.2273199683228785,0.2641573633308823,nan,nan
WT,44,145857092,181.40625,nan,nan,-0.023217915034871854,5000.0,35.0,0,1,1,0.15358911740242812,0.20418269836226918,nan,nan
WT,45,2084558133,181.40625,nan,nan,0.051012285587486224,5000.0,35.0,0,1,1,0.2037787039424891,0.2417745957223564,nan,nan
WT,46,957106589,181.40625,nan,nan,0.04162372182270023,5000.0,35.0,0,1,1,0.19761779019261677,0.2426492196719501,nan,nan
WT,47,1917963002,181.40625,nan,nan,0.05069979774734247,5000.0,35.0,0,1,1,0.20657395087651081,0.24071272880551392,nan,nan
WT,48,1455819991,181.40625,nan,nan,0.04019625586082858,5000.0,35.0,0,1,1,0.17714898102212623,0.21761828673653227,nan,nan
WT,49,1671565830,181.40625,nan,nan,-0.03605582265410533,5000.0,35.0,0,1,1,0.16004940281597996,0.20841054800600475,nan,nan
WT,50,1631871623,181.40625,nan,nan,0.02119935177379065,5000.0,35.0,0,1,1,0.16853639327177045,0.2193709665622451,nan,nan
WT,51,417983441,181.40625,nan,nan,0.036003641846966535,5000.0,35.0,0,1,1,0.1914787863646872,0.23409781304909108,nan,nan
WT,52,781482251,181.40625,nan,nan,-0.006456535268936688,5000.0,35.0,0,1,1,0.1605779716354717,0.21263029358317906,nan,nan
WT,53,1002275723,181.40625,nan,nan,0.018880822214583766,5000.0,35.0,0,1,1,0.19591105568476236,0.2419640373232596,nan,nan
WT,54,1068999196,181.40625,nan,nan,0.02489282620600854,5000.0,35.0,0,1,1,0.1764098099419022,0.21922693988925848,nan,nan
WT,55,94067870,181.40625,nan,nan,0.05674073111256884,5000.0,35.0,0,1,1,0.2155749605694254,0.2510185538414142,nan,nan
WT,56,1173749071,181.40625,nan,nan,-0.035699579281165024,5000.0,35.0,0,1,1,0.20448138485239328,0.2501493810524365,nan,nan
WT,57,331334160,181.40625,nan,nan,-0.028378840472260112,5000.0,35.0,0,1,1,0.16280505515307261,0.21014293820361402,nan,nan
WT,58,1596387604,181.40625,nan,nan,0.04539352006260657,5000.0,35.0,0,1,1,0.20480603591905444,0.24375083294364172,nan,nan
WT,59,1466836456,181.40625,nan,nan,0.03369584517366141,5000.0,35.0,0,1,1,0.18810693700274844,0.23270005046140932,nan,nan
WT,60,1981113449,181.40625,nan,nan,0.009595075334620142,5000.0,35.0,0,1,1,0.15860627463138832,0.20957666340104028,nan,nan
WT,61,1599364550,181.40625,nan,nan,0.02643897625885108,5000.0,35.0,0,1,1,0.18777903926334238,0.2352415826499358,nan,nan
WT,62,787359109,181.40625,nan,nan,-0.05751992089174197,5000.0,35.0,0,1,1,0.21934859888225833,0.253900571556635,nan,nan
WT,63,2077711328,181.40625,nan,nan,0.042509471156879565,5000.0,35.0,0,1,1,0.18317105316043653,0.22545326416265016,nan,nan
WT,64,882294416,181.40625,nan,nan,0.049763983061245805,5000.0,35.0,0,1,1,0.2084079569425807,0.24830832551955295,nan,nan
