condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,nan,nan,-0.031042742458840037,5000.0,45.0,0,1,1,0.1801227645756132,0.20981622841772105,nan,nan
WT,1,1662057957,181.40625,nan,nan,0.02291654504908812,5000.0,45.0,0,1,1,0.17040787007090072,0.20085314587471756,nan,nan
WT,2,1405681631,181.40625,nan,nan,-0.011136579031117047,5000.0,45.0,0,1,1,0.09211998650286515,0.11429540687877315,nan,nan
WT,3,942484272,181.40625,nan,nan,0.015381239350708724,5000.0,45.0,0,1,1,0.11468849579467091,0.1470366360669014,nan,nan
WT,4,929893137,181.40625,nan,nan,-0.03763162854786455,5000.0,45.0,0,1,1,0.14757369239782284,0.1684650124758287,nan,nan
WT,5,1843824992,181.40625,nan,nan,-0.019079202797076172,5000.0,45.0,0,1,1,0.14241510853566886,0.17054869254020089,nan,nan
WT,6,184566854,181.40625,nan,nan,-0.022739743009497947,5000.0,45.0,0,1,1,0.13966239773219988,0.1699101831908969,nan,nan
WT,7,1497586438,181.40625,nan,nan,-0.00852595424902602,5000.0,45.0,0,1,1,0.14544990006115247,0.1849614723153982,nan,nan
WT,8,432652533,181.40625,nan,nan,-0.02716549126386753,5000.0,45.0,0,1,1,0.17680022664999004,0.20807598926755227,nan,nan
WT,9,202244314,181.40625,nan,nan,-0.02749846882816962,5000.0,45.0,0,1,1,0.18626356845345254,0.21507051151998852,nan,nan
WT,10,1130604997,181.40625,nan,nan,-0.017766000087439646,5000.0,45.0,0,1,1,0.15589229315140438,0.19000411698963948,nan,nan
WT,11,2095133045,181.40625,nan,nan,-0.004590061192845371,5000.0,45.0,0,1,1,0.06166609511946756,0.0880001791837482,nan,nan
WT,12,1580016183,181.40625,nan,nan,-0.03009740380018218,5000.0,45.0,0,1,1,0.1444992802214907,0.17371461703828806,nan,nan
WT,13,1634535062,181.40625,nan,nan,0.016627264438538757,5000.0,45.0,0,1,1,0.1274567391595071,0.16139961301951522,nan,nan
WT,14,1540770719,181.40625,nan,nan,0.021356691794642422,5000.0,45.0,0,1,1,0.1260924919525795,0.15580228100529359,nan,nan
WT,15,1688060240,181.40625,nan,nan,-0.004902089314234793,5000.0,45.0,0,1,1,0.1590669502031248,0.19752934367243086,nan,nan
WT,16,1102145672,181.40625,nan,nan,-0.019031679451507567,5000.0,45.0,0,1,1,0.12325928108021861,0.1535386087404522,nan,nan
WT,17,275121930,181.40625,nan,nan,0.013820865256263946,5000.0,45.0,0,1,1,0.1498461938271441,0.18381839778117645,nan,nan
WT,18,1803345590,181.40625,nan,nan,0.02285846973798535,5000.0,45.0,0,1,1,0.18970241812772082,0.2228375796164752,nan,nan
WT,19,967196436,181.40625,nan,nan,0.022124080310097292,5000.0,45.0,0,1,1,0.1934975266114784,0.22336433930667174,nan,nan
WT,20,1074497555,181.40625,nan,nan,-0.02751963327076935,5000.0,45.0,0,1,1,0.06416605185098659,0.08129441545362559,nan,nan
WT,21,796282693,181.40625,nan,nan,-0.02522981983128434,5000.0,45.0,0,1,1,0.20061067239956956,0.22977612791255217,nan,nan
WT,22,392022359,181.40625,nan,nan,-0.02129770501333586,5000.0,45.0,0,1,1,0.17372606740503688,0.20715359833257133,nan,nan
WT,23,1990212658,181.40625,nan,nan,-0.025974097072260883,5000.0,45.0,0,1,1,0.21081729188055723,0.24077661954674628,nan,nan
WT,24,1678403330,181.40625,nan,nan,-0.015047336801570376,5000.0,45.0,0,1,1,0.16482068516920664,0.19831992023077705,nan,nan
WT,25,1382689815,181.40625,nan,nan,0.0030456645387325937,5000.0,45.0,0,1,1,0.1110417765560259,0.14266576515792,nan,nan
WT,26,864178266,181.40625,nan,nan,0.0221533937590445,5000.0,45.0,0,1,1,0.17172372832895078,0.20618686880975026,nan,nan
WT,27,1766867109,181.40625,nan,nan,-0.007260202007890033,5000.0,45.0,0,1,1,0.14683846255130337,0.18416018414475085,nan,nan
WT,28,1171300112,181.40625,nan,nan,0.0038108554841067926,5000.0,45.0,0,1,1,0.0816919301998672,0.11547994427755093,nan,nan
WT,29,952224740,181.40625,nan,nan,0.020515849780965534,5000.0,45.0,0,1,1,0.16028273611855012,0.1944966679337363,nan,nan
WT,30,967354524,181.40625,nan,nan,0.013270664390079304,5000.0,45.0,0,1,1,0.1368970656284562,0.171943142534873,nan,nan
WT,31,487991438,181.40625,nan,nan,-0.007339495397223979,5000.0,45.0,0,1,1,0.09373721006989913,0.12382667726111443,nan,nan
WT,32,197860368,181.40625,nan,nan,0.040374543652301524,5000.0,45.0,0,1,1,0.19011513894450094,0.21811654936684063,nan,nan
WT,33,1190961760,181.40625,nan,nan,-0.0017002535699356359,5000.0,45.0,0,1,1,0.12256257908305325,0.161847650994667,nan,nan
WT,34,1906728918,181.40625,nan,nan,0.010088766979641174,5000.0,45.0,0,1,1,0.08403502489306451,0.1057996398363239,nan,nan
WT,35,137046513,181.40625,nan,nan,-0.008317179593269027,5000.0,45.0,0,1,1,0.11111160813308647,0.14177688408095912,nan,nan
WT,36,1843166518,181.40625,nan,nan,-0.012147285541788524,5000.0,45.0,0,1,1,0.11200126390173719,0.14921716145050945,nan,nan
WT,37,1777324407,181.40625,nan,nan,0.02854738877700338,5000.0,45.0,0,1,1,0.1845720487112425,0.2152130642788064,nan,nan
WT,38,594336917,181.40625,nan,nan,0.005676644155846503,5000.0,45.0,0,1,1,0.14434218346354705,0.18241083694587323,nan,nan
WT,39,1356488967,181.40625,nan,nan,0.029522989894969407,5000.0,45.0,0,1,1,0.1140509524570437,0.13385396984298176,nan,nan
WT,40,354826746,181.40625,nan,nan,-0.0013911811712971703,5000.0,45.0,0,1,1,0.1691710854303286,0.211630734265537,nan,nan
WT,41,1627981024,181.40625,nan,nan,0.007477812781749389,5000.0,45.0,0,1,1,0.13473388149554222,0.17197699675660627,nan,nan
WT,42,1504361614,181.40625,nan,nan,0.004370971541688626,5000.0,45.0,0,1,1,0.07431172406288415,0.10884653994867438,nan,nan
WT,43,761338718,181.40625,nan,nan,-0.028459694119717088,5000.0,45.0,0,1,1,0.2024782006767811,0.23339013680930257,nan,nan
WT,44,145857092,181.40625,nan,nan,-0.023514399046246557,5000.0,45.0,0,1,1,0.13411561641213454,0.1698613976401007,nan,nan
WT,45,2084558133,181.40625,nan,nan,0.019394872738363676,5000.0,45.0,0,1,1,0.15064344636087093,0.1830456859238129,nan,nan
WT,46,957106589,181.40625,nan,nan,0.007885911692296825,5000.0,45.0,0,1,1,0.1261449787379873,0.16149177599596404,nan,nan
WT,47,1917963002,181.40625,nan,nan,0.039257679812838286,5000.0,45.0,0,1,1,0.15487623556547214,0.19155877419865966,nan,nan
WT,48,1455819991,181.40625,nan,nan,0.024656347138103208,5000.0,45.0,0,1,1,0.15511368457145117,0.18934689624740023,nan,nan
WT,49,1671565830,181.40625,nan,nan,-0.022234482989969752,5000.0,45.0,0,1,1,0.06679868031815028,0.08477940295047146,nan,nan
WT,50,1631871623,181.40625,nan,nan,0.004663767772225687,5000.0,45.0,0,1,1,0.14076792861073614,0.18556197073247666,nan,nan
WT,51,417983441,181.40625,nan,nan,0.020364685981078753,5000.0,45.0,0,1,1,0.12500452464187153,0.15295924913224193,nan,nan
WT,52,781482251,181.40625,nan,nan,0.0031836046711274844,5000.0,45.0,0,1,1,0.10106093420355974,0.13208415846035843,nan,nan
WT,53,1002275723,181.40625,nan,nan,-0.00871526898078108,5000.0,45.0,0,1,1,0.15415303374263134,0.19346636587982718,nan,nan
WT,54,1068999196,181.40625,nan,nan,0.011984207699143878,5000.0,45.0,0,1,1,0.1298850377102555,0.15931139740388306,nan,nan
WT,55,94067870,181.40625,nan,nan,0.03136788496677925,5000.0,45.0,0,1,1,0.1702549706373265,0.19592475271296536,nan,nan
