condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,0.009198131667863393,0.018655801510954338,0.001960732799484848,5000.0,20.0,0,1,1,0.028568567558982474,0.037211654708412416,0.04801335442823804,0.05989934834303054
WT,1,1662057957,181.40625,0.0036897406632875563,0.037701777114208815,-0.0074952126230961825,5000.0,20.0,0,1,1,0.02795848301416687,0.0364943892917641,0.05683246352614251,0.06608765837784102
WT,2,1405681631,181.40625,0.004562687151781972,0.01590357178772394,-0.007500412514116659,5000.0,20.0,0,1,1,0.03132624755320868,0.04107282305077087,0.04272075006218795,0.05350176514045453
WT,3,942484272,181.40625,0.03913880620205133,0.1022915249087505,0.010063531277298638,5000.0,20.0,0,1,1,0.030749337537834223,0.03798006118663555,0.04429608458100302,0.05212883374336203
WT,4,929893137,181.40625,0.02599630525678095,0.03819485280040063,0.0001483399009267126,5000.0,20.0,0,1,1,0.025576150431571725,0.03261708106640472,0.05183862374534136,0.061745255859372926
WT,5,1843824992,181.40625,-0.00829548506550523,0.03697390434773161,0.010208048301589875,5000.0,20.0,0,1,1,0.03427081812392127,0.04104261022893168,0.03506174758133068,0.0421905707017101
WT,6,184566854,181.40625,0.0650452603153343,0.07319069304371241,-0.0013260817993136066,5000.0,20.0,0,1,1,0.029511423349894303,0.03848745389563501,0.06126912842978613,0.07105801868362971
WT,7,1497586438,181.40625,0.017067343791002703,-0.07858119320067415,-0.00036136121518658593,5000.0,20.0,0,1,1,0.032663230509336595,0.04376568296485435,0.04932841272297961,0.06007150510014868
WT,8,432652533,181.40625,0.057226963047199056,0.17607344568861877,0.007435757821471716,5000.0,20.0,0,1,1,0.03865732425885247,0.04985953242460831,0.070999176951889,0.07590629128405131
WT,9,202244314,181.40625,-0.0014063045606698898,-0.035122380578897425,-0.004494933277843212,5000.0,20.0,0,1,1,0.031343758004779454,0.04454281037155369,0.0445087223975275,0.056815462534273435
WT,10,1130604997,181.40625,-0.025895676228705557,-0.10553232662391217,0.009877778934134178,5000.0,20.0,0,1,1,0.032177525527545554,0.041309242821424494,0.03293720202780863,0.03615636579337361
WT,11,2095133045,181.40625,0.03234965643257344,0.008928406416846307,0.010369156511380744,5000.0,20.0,0,1,1,0.031318279529613656,0.03816726581617333,0.05180747212208691,0.054331990558843
WT,12,1580016183,181.40625,0.0029918182254616166,-0.02597921790455672,0.00888570246818167,5000.0,20.0,0,1,1,0.029835194563767195,0.037155405841349784,0.04359023450300689,0.05451708087232977
