cond_key,w_pyr,w_pv,amp,n_trials,resting_hz,cue_peak_hz_mean,cue_sat_frac,delay_rest_frac_mean,delay_bump_frac_mean,delay_sat_frac_mean,delay_mean_peak_hz_mean,bump_lo_hz,quality_score
WT,0.001,0.03,0.3,20,0.00014382276037832692,3.222699711112427,0.0,1.0,0.0,0.0,0.02101772269677079,10.0,0.0
WT,0.001,0.03,0.35,20,0.00014382276037832692,122.46476141997235,0.6,0.8408999999999999,0.12190000000000001,0.0372,12.286855887639707,10.0,0.11736532000000001
WT,0.001,0.03,0.4,20,0.00014382276037832692,200.0,1.0,0.69185,0.21795000000000003,0.09019999999999999,25.469151208381426,10.0,0.19829091000000004
WT,0.001,0.03,0.45,20,0.00014382276037832692,200.0,1.0,0.6906000000000001,0.22200000000000003,0.08739999999999999,25.348238512044354,10.0,0.20259720000000003
WT,0.001,0.03,0.5,20,0.00014382276037832692,200.0,1.0,0.6927,0.2218,0.08549999999999999,25.098122391972808,10.0,0.2028361
WT,0.001,0.03,0.55,20,0.00014382276037832692,200.0,1.0,0.6920999999999999,0.22290000000000001,0.08499999999999999,24.995422423904692,10.0,0.2039535
WT,0.001,0.03,0.6,20,0.00014382276037832692,200.0,1.0,0.6942499999999999,0.22394999999999995,0.08180000000000001,24.631218951111435,10.0,0.20563088999999996
WT,0.001,0.03,0.65,20,0.00014382276037832692,200.0,1.0,0.6895999999999999,0.23364999999999997,0.07675000000000001,24.611786255510445,10.0,0.21571736249999998
WT,0.001,0.03,0.7,20,0.00014382276037832692,200.0,1.0,0.6940000000000001,0.22675,0.07924999999999999,24.472506571333142,10.0,0.2087800625
WT,0.001,0.03,0.75,20,0.00014382276037832692,200.0,1.0,0.6994,0.22735,0.07325000000000001,23.71072354898302,10.0,0.2106966125
WT,0.001,0.03,0.8,20,0.00014382276037832692,200.0,1.0,0.6977000000000001,0.22914999999999996,0.07314999999999999,23.75766409190796,10.0,0.21238767749999996
WT,0.001,0.04,0.3,20,8.082757261039695e-06,0.9314088274539036,0.0,1.0,0.0,0.0,0.004202152561925652,10.0,0.0
WT,0.001,0.04,0.35,20,8.082757261039695e-06,2.2307982504242796,0.0,1.0,0.0,0.0,0.006432682017688774,10.0,0.0
WT,0.001,0.04,0.4,20,8.082757261039695e-06,55.043224309010874,0.2,0.9522,0.0383,0.009499999999999998,3.542917891883183,10.0,0.03793615
WT,0.001,0.04,0.45,20,8.082757261039695e-06,200.0,1.0,0.81235,0.12969999999999998,0.05794999999999999,15.075742277351797,10.0,0.12218388499999999
WT,0.001,0.04,0.5,20,8.082757261039695e-06,200.0,1.0,0.8191499999999999,0.1237,0.05714999999999999,14.736196149864938,10.0,0.116630545
WT,0.001,0.04,0.55,20,8.082757261039695e-06,200.0,1.0,0.82395,0.12369999999999999,0.052349999999999994,14.211444468384471,10.0,0.11722430499999999
WT,0.001,0.04,0.6,20,8.082757261039695e-06,200.0,1.0,0.8225999999999999,0.12240000000000002,0.05500000000000001,14.413675097137036,10.0,0.11566800000000002
WT,0.001,0.04,0.65,20,8.082757261039695e-06,200.0,1.0,0.8308,0.12585000000000002,0.04335000000000001,13.251236829385036,10.0,0.12039440250000001
WT,0.001,0.04,0.7,20,8.082757261039695e-06,200.0,1.0,0.8247499999999999,0.12044999999999999,0.054799999999999995,14.226159078081215,10.0,0.11384934
WT,0.001,0.04,0.75,20,8.082757261039695e-06,200.0,1.0,0.8362999999999999,0.12254999999999998,0.041150000000000006,12.777652377952064,10.0,0.11750706749999998
