condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials,ss_pyr_hz,ss_som_hz,ss_pv_hz,ss_vip_hz
WT,0.1,0.001,0.08,0.008210697166855983,14.049861395704177,105.59709452177908,0.01524164745,50,nan,nan,nan,nan
WT,0.1,0.002,0.08,0.008291023761557636,14.973497293843879,104.35803416224637,0.01484958262,50,nan,nan,nan,nan
WT,0.1,0.003,0.06,0.008411424045226809,16.08906500303827,102.54963282935222,0.01737541862,50,nan,nan,nan,nan
WT,0.1,0.004,0.06,0.008591737625477264,17.47661394926934,101.12118381781643,0.01759883755,50,nan,nan,nan,nan
WT,0.1,0.005,0.06,0.00886703083219472,19.259059362660835,99.94218392020827,0.01871595966,50,nan,nan,nan,nan
WT,0.1,0.006,0.04,0.009308191104089857,21.68523323175985,99.29648048250723,0.01928502938,50,nan,nan,nan,nan
WT,0.1,0.007,0.04,0.010032478563808931,25.29855103099952,99.97936133526187,0.02030077178,50,nan,nan,nan,nan
WT,0.1,0.008,0.02,0.011395888831943368,31.66874260425324,100.68319979378026,0.02347733268,50,nan,nan,nan,nan
WT,0.1,0.009000000000000001,1.0,0.014721456138714426,47.7037327913327,100.09804067902256,0.0,50,nan,nan,nan,nan
WT,0.1,0.010000000000000002,1.0,0.6932725236436093,118.01104495030373,54.22902621487759,0.0,50,nan,nan,nan,nan
WT,0.1,0.011,0.08,0.8402105091790354,200.0,107.76065444217465,0.8417812841,50,nan,nan,nan,nan
WT,0.1,0.012,1.0,0.780503335211333,200.0,105.13244489044014,9.331932776e-06,50,nan,nan,nan,nan
WT,0.2,0.001,0.08,0.008210728236947972,19.37279603766838,105.5979475426462,0.01524164745,50,nan,nan,nan,nan
WT,0.2,0.002,0.08,0.008291049543710705,20.920141350296518,104.35904990568294,0.01484958262,50,nan,nan,nan,nan
WT,0.2,0.003,0.06,0.008411442530639569,22.836968745001837,102.5504920133533,0.01737541862,50,nan,nan,nan,nan
WT,0.2,0.004,0.06,0.008591749490154586,25.296725022893558,101.12167001373875,0.01759883755,50,nan,nan,nan,nan
WT,0.2,0.005,0.06,0.008867036922601417,28.62093873247042,99.94241355105595,0.01871595966,50,nan,nan,nan,nan
WT,0.2,0.006,0.04,0.009308193198908306,33.391971581909345,99.29654599307382,0.01928502938,50,nan,nan,nan,nan
WT,0.2,0.007,0.04,0.010032478672781031,40.945281971254914,99.97936591783402,0.02030077178,50,nan,nan,nan,nan
WT,0.2,0.008,0.02,0.01139588872911958,54.89100761871376,100.68320064894505,0.02347733268,50,nan,nan,nan,nan
WT,0.2,0.009000000000000001,1.0,0.014721438755664699,86.11502551615162,100.09748586903319,0.0,50,nan,nan,nan,nan
WT,0.2,0.010000000000000002,1.0,0.6922556598077567,151.5809107197195,63.399883002127574,0.0,50,nan,nan,nan,nan
WT,0.2,0.011,0.08,0.8402216211811144,200.0,106.69602650446522,0.8417812841,50,nan,nan,nan,nan
WT,0.2,0.012,1.0,0.7804952881035283,200.0,105.64462072680577,9.331932776e-06,50,nan,nan,nan,nan
WT,0.3,0.001,0.08,0.00821076349094866,25.483309183765996,105.59891716813563,0.01524164745,50,nan,nan,nan,nan
WT,0.3,0.002,0.08,0.008291079047887992,27.748277532110645,104.3602139695024,0.01484958262,50,nan,nan,nan,nan
WT,0.3,0.003,0.06,0.008411463907457723,30.59808590033888,102.55148747681122,0.01737541862,50,nan,nan,nan,nan
WT,0.3,0.004,0.06,0.008591763394744108,34.293860672799475,101.12224132700166,0.01759883755,50,nan,nan,nan,nan
WT,0.3,0.005,0.06,0.008867044191492595,39.32511575481636,99.94268846620758,0.01871595966,50,nan,nan,nan,nan
WT,0.3,0.006,0.04,0.009308195781768279,46.557519417861904,99.2966266955305,0.01928502938,50,nan,nan,nan,nan
WT,0.3,0.007,0.04,0.010032478837756138,57.809076030870656,99.97937183291222,0.02030077178,50,nan,nan,nan,nan
WT,0.3,0.008,0.02,0.011395888628882557,77.3726908105052,100.68320150448736,0.02347733268,50,nan,nan,nan,nan
WT,0.3,0.009000000000000001,1.0,0.014721440274525766,117.3668540669376,100.09750281847093,0.0,50,nan,nan,nan,nan
WT,0.3,0.010000000000000002,1.0,0.6924394170234683,197.57083028478826,65.85565615825537,0.0,50,nan,nan,nan,nan
WT,0.3,0.011,0.08,0.8402177830917917,200.0,105.86078126609196,0.8417812841,50,nan,nan,nan,nan
WT,0.3,0.012,1.0,0.7804881397877373,200.0,106.05417173122463,9.331932776e-06,50,nan,nan,nan,nan
