condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.001,0,452,0.02638880052,0,95,0.02974636009
WT,0.001,1,453,0.02600005092,0,95,0.02974636009
WT,0.001,2,454,0.0116730386,0,95,0.02974636009
WT,0.001,3,455,0.0256324562,0,95,0.02974636009
WT,0.001,4,456,0.01855580962,0,95,0.02974636009
WT,0.001,5,457,0.004996054246,0,95,0.02974636009
WT,0.001,6,458,0.01604753285,0,95,0.02974636009
WT,0.001,7,459,0.01129933305,0,95,0.02974636009
WT,0.001,8,460,0.01060003421,0,95,0.02974636009
WT,0.001,9,461,0.01123170923,0,95,0.02974636009
WT,0.001,10,462,0.008409627695,0,95,0.02974636009
WT,0.001,11,463,0.006983412045,0,95,0.02974636009
WT,0.001,12,464,0.004806928697,0,95,0.02974636009
WT,0.001,13,465,0.0184610642,0,95,0.02974636009
WT,0.001,14,466,0.01572554835,0,95,0.02974636009
WT,0.001,15,467,0.01313506989,0,95,0.02974636009
WT,0.001,16,468,0.006231332393,0,95,0.02974636009
WT,0.001,17,469,0.01303362456,0,95,0.02974636009
WT,0.001,18,470,0.01466520409,0,95,0.02974636009
WT,0.001,19,471,0.02974506555,0,95,0.02974636009
WT,0.001,20,472,0.015756121,0,95,0.02974636009
WT,0.001,21,473,0.0089831619,0,95,0.02974636009
WT,0.001,22,474,0.02013722624,0,95,0.02974636009
WT,0.001,23,475,0.02278210271,0,95,0.02974636009
WT,0.001,24,476,0.01047695716,0,95,0.02974636009
WT,0.001,25,477,0.01174139981,0,95,0.02974636009
WT,0.001,26,478,0.01855080199,0,95,0.02974636009
WT,0.001,27,479,0.0235758186,0,95,0.02974636009
WT,0.001,28,480,0.01856278077,0,95,0.02974636009
WT,0.001,29,481,0.02168414668,0,95,0.02974636009
WT,0.001,30,482,0.01226461341,0,95,0.02974636009
WT,0.001,31,483,0.005514546383,0,95,0.02974636009
WT,0.001,32,484,0.01419583715,0,95,0.02974636009
WT,0.001,33,485,0.008191780339,0,95,0.02974636009
WT,0.001,34,486,0.009504884683,0,95,0.02974636009
WT,0.001,35,487,0.02838566029,0,95,0.02974636009
WT,0.001,36,488,0.01132364541,0,95,0.02974636009
WT,0.001,37,489,0.0055173898,0,95,0.02974636009
WT,0.001,38,490,0.03135811589,0,95,0.02974636009
WT,0.001,39,491,0.007093814633,0,95,0.02974636009
WT,0.001,40,492,0.01293670573,0,95,0.02974636009
WT,0.001,41,493,0.01009931229,0,95,0.02974636009
WT,0.001,42,494,0.03259386431,0,95,0.02974636009
WT,0.001,43,495,0.002586015106,0,95,0.02974636009
WT,0.001,44,496,0.008675090317,0,95,0.02974636009
WT,0.001,45,497,0.009299397982,0,95,0.02974636009
WT,0.001,46,498,0.01883405847,0,95,0.02974636009
WT,0.001,47,499,0.004983003893,0,95,0.02974636009
WT,0.001,48,500,0.00897192287,0,95,0.02974636009
WT,0.001,49,501,0.007960266062,0,95,0.02974636009
WT,0.001,50,502,0.006219076696,0,95,0.02974636009
WT,0.001,51,503,0.02058464916,0,95,0.02974636009
WT,0.001,52,504,0.02173689884,0,95,0.02974636009
WT,0.001,53,505,0.002804076569,0,95,0.02974636009
WT,0.001,54,506,0.02977095626,0,95,0.02974636009
WT,0.001,55,507,0.02054428924,0,95,0.02974636009
WT,0.001,56,508,0.01356145467,0,95,0.02974636009
WT,0.001,57,509,0.01572992765,0,95,0.02974636009
WT,0.001,58,510,0.03180753777,0,95,0.02974636009
WT,0.001,59,511,0.004478950473,0,95,0.02974636009
WT,0.001,60,512,0.01186715857,0,95,0.02974636009
WT,0.001,61,513,0.0233709219,0,95,0.02974636009
WT,0.001,62,514,0.007896343037,0,95,0.02974636009
WT,0.001,63,515,0.02726290964,0,95,0.02974636009
WT,0.001,64,516,0.03141350527,0,95,0.02974636009
WT,0.001,65,517,0.006163045221,0,95,0.02974636009
WT,0.001,66,518,0.01161976597,0,95,0.02974636009
WT,0.001,67,519,0.01356513545,0,95,0.02974636009
WT,0.001,68,520,0.00498678347,0,95,0.02974636009
WT,0.001,69,521,0.01140988284,0,95,0.02974636009
WT,0.001,70,522,0.01871502039,0,95,0.02974636009
WT,0.001,71,523,0.01202787194,0,95,0.02974636009
WT,0.001,72,524,0.0134737597,0,95,0.02974636009
WT,0.001,73,525,0.01102940745,0,95,0.02974636009
WT,0.001,74,526,0.0191126857,0,95,0.02974636009
WT,0.001,75,527,0.009818312552,0,95,0.02974636009
WT,0.001,76,528,0.01846075399,0,95,0.02974636009
WT,0.001,77,529,0.005128547627,0,95,0.02974636009
WT,0.001,78,530,0.02838259846,0,95,0.02974636009
WT,0.001,79,531,0.0123592461,0,95,0.02974636009
WT,0.001,80,532,0.01447973051,0,95,0.02974636009
WT,0.001,81,533,0.02306301434,0,95,0.02974636009
WT,0.001,82,534,0.01106461754,0,95,0.02974636009
WT,0.001,83,535,0.02099214831,0,95,0.02974636009
WT,0.001,84,536,0.02373330791,0,95,0.02974636009
WT,0.001,85,537,0.009635127094,0,95,0.02974636009
WT,0.001,86,538,0.01464524973,0,95,0.02974636009
WT,0.001,87,539,0.0149636111,0,95,0.02974636009
WT,0.001,88,540,0.004040746915,0,95,0.02974636009
WT,0.001,89,541,0.01092755329,0,95,0.02974636009
WT,0.001,90,542,0.005412762599,0,95,0.02974636009
WT,0.001,91,543,0.02027801091,0,95,0.02974636009
WT,0.001,92,544,0.02137147918,0,95,0.02974636009
WT,0.001,93,545,0.007031928222,0,95,0.02974636009
WT,0.001,94,546,0.01553871361,0,95,0.02974636009
WT,0.001,95,547,0.02481220739,0,95,0.02974636009
WT,0.001,96,548,0.01410703686,0,95,0.02974636009
WT,0.001,97,549,0.02627273016,0,95,0.02974636009
WT,0.001,98,550,0.01245672543,0,95,0.02974636009
WT,0.001,99,551,0.01045089853,0,95,0.02974636009
WT,0.0014583333,0,452,0.02639755659,0,95,0.02971417482
WT,0.0014583333,1,453,0.02599698058,0,95,0.02971417482
WT,0.0014583333,2,454,0.01173408305,0,95,0.02971417482
WT,0.0014583333,3,455,0.02577574243,0,95,0.02971417482
WT,0.0014583333,4,456,0.01859727077,0,95,0.02971417482
WT,0.0014583333,5,457,0.004843343524,0,95,0.02971417482
WT,0.0014583333,6,458,0.01614202856,0,95,0.02971417482
WT,0.0014583333,7,459,0.01128213873,0,95,0.02971417482
