condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,1,0,10442,0.0884000141,95,0.1035774506
WT,1,1,10443,0.03310007625,95,0.1035774506
WT,1,2,10444,0.06908603854,95,0.1035774506
WT,1,3,10445,0.1035536418,95,0.1035774506
WT,1,4,10446,0.05286526008,95,0.1035774506
WT,1,5,10447,0.03933684506,95,0.1035774506
WT,1,6,10448,0.05575607519,95,0.1035774506
WT,1,7,10449,0.1042382115,95,0.1035774506
WT,1,8,10450,0.07136456894,95,0.1035774506
WT,1,9,10451,0.09504508229,95,0.1035774506
WT,1,10,10452,0.0485582908,95,0.1035774506
WT,1,11,10453,0.01640159385,95,0.1035774506
WT,1,12,10454,0.05004530533,95,0.1035774506
WT,1,13,10455,0.05221873111,95,0.1035774506
WT,1,14,10456,0.06250918618,95,0.1035774506
WT,1,15,10457,0.05337792883,95,0.1035774506
WT,1,16,10458,0.09916453402,95,0.1035774506
WT,1,17,10459,0.06260360848,95,0.1035774506
WT,1,18,10460,0.05833912859,95,0.1035774506
WT,1,19,10461,0.02648675183,95,0.1035774506
WT,1,20,10462,0.05761701335,95,0.1035774506
WT,1,21,10463,0.02357484318,95,0.1035774506
WT,1,22,10464,0.1176767305,95,0.1035774506
WT,1,23,10465,0.08526348397,95,0.1035774506
WT,1,24,10466,0.08370600105,95,0.1035774506
WT,1,25,10467,0.04538921808,95,0.1035774506
WT,1,26,10468,0.07087673051,95,0.1035774506
WT,1,27,10469,0.06508561409,95,0.1035774506
WT,1,28,10470,0.01454416961,95,0.1035774506
WT,1,29,10471,0.08269361404,95,0.1035774506
WT,1,30,10472,0.03724893654,95,0.1035774506
WT,1,31,10473,0.0234202368,95,0.1035774506
WT,1,32,10474,0.03635400569,95,0.1035774506
WT,1,33,10475,0.03125495874,95,0.1035774506
WT,1,34,10476,0.07688774214,95,0.1035774506
WT,1,35,10477,0.05702563585,95,0.1035774506
WT,1,36,10478,0.08749669143,95,0.1035774506
WT,1,37,10479,0.04793934931,95,0.1035774506
WT,1,38,10480,0.07253876923,95,0.1035774506
WT,1,39,10481,0.05153967408,95,0.1035774506
WT,1,40,10482,0.08637879747,95,0.1035774506
WT,1,41,10483,0.03721293952,95,0.1035774506
WT,1,42,10484,0.05357635035,95,0.1035774506
WT,1,43,10485,0.06548244779,95,0.1035774506
WT,1,44,10486,0.03017983424,95,0.1035774506
WT,1,45,10487,0.0924353221,95,0.1035774506
WT,1,46,10488,0.08628460279,95,0.1035774506
WT,1,47,10489,0.06236709726,95,0.1035774506
WT,1,48,10490,0.04208750604,95,0.1035774506
WT,1,49,10491,0.0646007583,95,0.1035774506
WT,1,50,10492,0.09681824491,95,0.1035774506
WT,1,51,10493,0.03795672643,95,0.1035774506
WT,1,52,10494,0.08378771152,95,0.1035774506
WT,1,53,10495,0.06171348354,95,0.1035774506
WT,1,54,10496,0.1040298174,95,0.1035774506
WT,1,55,10497,0.03417056913,95,0.1035774506
WT,1,56,10498,0.06749101286,95,0.1035774506
WT,1,57,10499,0.05016249249,95,0.1035774506
WT,1,58,10500,0.02326524537,95,0.1035774506
WT,1,59,10501,0.09784128361,95,0.1035774506
WT,1,60,10502,0.06582757868,95,0.1035774506
WT,1,61,10503,0.03375844793,95,0.1035774506
WT,1,62,10504,0.002803019134,95,0.1035774506
WT,1,63,10505,0.04133376925,95,0.1035774506
WT,1,64,10506,0.01748526324,95,0.1035774506
WT,1,65,10507,0.01427414622,95,0.1035774506
WT,1,66,10508,0.05895200886,95,0.1035774506
WT,1,67,10509,0.06116130067,95,0.1035774506
WT,1,68,10510,0.06477443282,95,0.1035774506
WT,1,69,10511,0.01728242583,95,0.1035774506
WT,1,70,10512,0.009317213159,95,0.1035774506
WT,1,71,10513,0.09992126511,95,0.1035774506
WT,1,72,10514,0.06641994109,95,0.1035774506
WT,1,73,10515,0.05278233222,95,0.1035774506
WT,1,74,10516,0.05953676065,95,0.1035774506
WT,1,75,10517,0.1190213499,95,0.1035774506
WT,1,76,10518,0.04608464684,95,0.1035774506
WT,1,77,10519,0.06376367066,95,0.1035774506
WT,1,78,10520,0.09340096296,95,0.1035774506
WT,1,79,10521,0.04865641153,95,0.1035774506
WT,1,80,10522,0.02520648458,95,0.1035774506
WT,1,81,10523,0.05246750981,95,0.1035774506
WT,1,82,10524,0.085663593,95,0.1035774506
WT,1,83,10525,0.05547287623,95,0.1035774506
WT,1,84,10526,0.01255294807,95,0.1035774506
WT,1,85,10527,0.06250872666,95,0.1035774506
WT,1,86,10528,0.05057118798,95,0.1035774506
WT,1,87,10529,0.04253938058,95,0.1035774506
WT,1,88,10530,0.07688190341,95,0.1035774506
WT,1,89,10531,0.04833142253,95,0.1035774506
WT,1,90,10532,0.04604477209,95,0.1035774506
WT,1,91,10533,0.03172815659,95,0.1035774506
WT,1,92,10534,0.0675041991,95,0.1035774506
WT,1,93,10535,0.06690427297,95,0.1035774506
WT,1,94,10536,0.08092901619,95,0.1035774506
WT,1,95,10537,0.1199177189,95,0.1035774506
WT,1,96,10538,0.02679503506,95,0.1035774506
WT,1,97,10539,0.09474083454,95,0.1035774506
WT,1,98,10540,0.01327550154,95,0.1035774506
WT,1,99,10541,0.04805136797,95,0.1035774506
WT,3,0,30442,0.0171180154,95,0.1239506626
WT,3,1,30443,0.03473825815,95,0.1239506626
WT,3,2,30444,0.0948270959,95,0.1239506626
WT,3,3,30445,0.121202066,95,0.1239506626
WT,3,4,30446,0.05320983058,95,0.1239506626
WT,3,5,30447,0.04773671083,95,0.1239506626
WT,3,6,30448,0.01624293312,95,0.1239506626
WT,3,7,30449,0.143353193,95,0.1239506626
WT,3,8,30450,0.1133530237,95,0.1239506626
WT,3,9,30451,0.09000423823,95,0.1239506626
WT,3,10,30452,0.04090136421,95,0.1239506626
WT,3,11,30453,0.02797837203,95,0.1239506626
WT,3,12,30454,0.1541741218,95,0.1239506626
WT,3,13,30455,0.03254463965,95,0.1239506626
WT,3,14,30456,0.06226487645,95,0.1239506626
WT,3,15,30457,0.06293849764,95,0.1239506626
WT,3,16,30458,0.03836661748,95,0.1239506626
WT,3,17,30459,0.07149967337,95,0.1239506626
WT,3,18,30460,0.04371548299,95,0.1239506626
WT,3,19,30461,0.0651125399,95,0.1239506626
WT,3,20,30462,0.09599516498,95,0.1239506626
WT,3,21,30463,0.06755208138,95,0.1239506626
WT,3,22,30464,0.05775686672,95,0.1239506626
WT,3,23,30465,0.1055793666,95,0.1239506626
WT,3,24,30466,0.1008383443,95,0.1239506626
WT,3,25,30467,0.06102827926,95,0.1239506626
WT,3,26,30468,0.0229879053,95,0.1239506626
WT,3,27,30469,0.06818222423,95,0.1239506626
WT,3,28,30470,0.1120812177,95,0.1239506626
WT,3,29,30471,0.07031390749,95,0.1239506626
WT,3,30,30472,0.1579717183,95,0.1239506626
WT,3,31,30473,0.04176515577,95,0.1239506626
WT,3,32,30474,0.03274455284,95,0.1239506626
WT,3,33,30475,0.01890393075,95,0.1239506626
WT,3,34,30476,0.04808234278,95,0.1239506626
WT,3,35,30477,0.07556938119,95,0.1239506626
WT,3,36,30478,0.1524304598,95,0.1239506626
WT,3,37,30479,0.07652201656,95,0.1239506626
WT,3,38,30480,0.05203833359,95,0.1239506626
WT,3,39,30481,0.05604689993,95,0.1239506626
WT,3,40,30482,0.03171239896,95,0.1239506626
WT,3,41,30483,0.1133452442,95,0.1239506626
WT,3,42,30484,0.06101976582,95,0.1239506626
WT,3,43,30485,0.0309154614,95,0.1239506626
WT,3,44,30486,0.05280005057,95,0.1239506626
WT,3,45,30487,0.08659245019,95,0.1239506626
WT,3,46,30488,0.05562366052,95,0.1239506626
WT,3,47,30489,0.09705776559,95,0.1239506626
WT,3,48,30490,0.06799511273,95,0.1239506626
WT,3,49,30491,0.03564744015,95,0.1239506626
WT,3,50,30492,0.02634999002,95,0.1239506626
WT,3,51,30493,0.03659126165,95,0.1239506626
WT,3,52,30494,0.05415226163,95,0.1239506626
WT,3,53,30495,0.1154275448,95,0.1239506626
WT,3,54,30496,0.0174695288,95,0.1239506626
WT,3,55,30497,0.04968269578,95,0.1239506626
WT,3,56,30498,0.09769732589,95,0.1239506626
WT,3,57,30499,0.07245849426,95,0.1239506626
WT,3,58,30500,0.04314244829,95,0.1239506626
WT,3,59,30501,0.0644775911,95,0.1239506626
WT,3,60,30502,0.07074117159,95,0.1239506626
WT,3,61,30503,0.0703272077,95,0.1239506626
WT,3,62,30504,0.05805193052,95,0.1239506626
WT,3,63,30505,0.0783422154,95,0.1239506626
WT,3,64,30506,0.06582899824,95,0.1239506626
WT,3,65,30507,0.08421788292,95,0.1239506626
WT,3,66,30508,0.04702704944,95,0.1239506626
WT,3,67,30509,0.07761990612,95,0.1239506626
WT,3,68,30510,0.1370225739,95,0.1239506626
WT,3,69,30511,0.06304518277,95,0.1239506626
WT,3,70,30512,0.05996885308,95,0.1239506626
WT,3,71,30513,0.08746614246,95,0.1239506626
WT,3,72,30514,0.03666998209,95,0.1239506626
WT,3,73,30515,0.02237451315,95,0.1239506626
WT,3,74,30516,0.07387752708,95,0.1239506626
WT,3,75,30517,0.05576001073,95,0.1239506626
WT,3,76,30518,0.01523505934,95,0.1239506626
WT,3,77,30519,0.06613114617,95,0.1239506626
WT,3,78,30520,0.04903940784,95,0.1239506626
WT,3,79,30521,0.06660898485,95,0.1239506626
WT,3,80,30522,0.05393286656,95,0.1239506626
WT,3,81,30523,0.01189051492,95,0.1239506626
WT,3,82,30524,0.1243729192,95,0.1239506626
WT,3,83,30525,0.05365594525,95,0.1239506626
WT,3,84,30526,0.05593866659,95,0.1239506626
WT,3,85,30527,0.0715901879,95,0.1239506626
WT,3,86,30528,0.0617236523,95,0.1239506626
WT,3,87,30529,0.09402405263,95,0.1239506626
WT,3,88,30530,0.1469978471,95,0.1239506626
WT,3,89,30531,0.01096452313,95,0.1239506626
WT,3,90,30532,0.01460037226,95,0.1239506626
WT,3,91,30533,0.08807922531,95,0.1239506626
WT,3,92,30534,0.008183346615,95,0.1239506626
