condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,5.0,0,191664963,0.05174720575439024,0.177888 0.160568 0.133799 0.109731 0.072945 0.017518 0.061484 0.057659 0.020661 0.041606 0.055802 0.030999 0.086914 0.078863 0.063396 0.031826 0.039945 0.026106 0.057597 0.086202 0.054007 0.067219 0.049460 0.044525 0.051747,1.2903759256438958,242.62204332298057,62.62204332298057
WT,5.0,5.0,1,1662057957,0.03588705008083136,0.149800 0.128280 0.137495 0.083695 0.024749 0.045450 0.054433 0.039010 0.018875 0.071263 0.036515 0.020060 0.055874 0.025992 0.097104 0.023073 0.026211 0.033625 0.042235 0.035079 0.076266 0.010932 0.039829 0.012593 0.035887,1.4377676426702402,151.94047956348604,28.059520436513964
WT,5.0,5.0,2,1405681631,0.07950045983998372,0.212183 0.158138 0.168808 0.098331 0.102083 0.059235 0.051289 0.035480 0.047402 0.025051 0.033512 0.090378 0.041151 0.088466 0.025077 0.033510 0.062602 0.113833 0.016046 0.050963 0.025701 0.019462 0.035862 0.070781 0.079500,1.3711050581407904,351.8530992660703,171.85309926607027
WT,5.0,5.0,3,942484272,0.07124638484178392,0.197722 0.178615 0.085828 0.081099 0.095675 0.038110 0.029047 0.069813 0.006502 0.036008 0.048327 0.099646 0.040090 0.050992 0.028885 0.019924 0.079579 0.025589 0.066896 0.048803 0.051295 0.061663 0.015393 0.063932 0.071246,1.3333972443933093,259.8879884699848,79.8879884699848
WT,5.0,5.0,4,929893137,0.07464257845264803,0.179728 0.096236 0.066074 0.024501 0.082705 0.028453 0.027835 0.053565 0.024677 0.061038 0.057672 0.032612 0.057047 0.053007 0.026915 0.038341 0.034349 0.047299 0.033998 0.026633 0.084041 0.034954 0.019048 0.050663 0.074643,1.4458760172208651,239.11274448306895,59.11274448306895
WT,5.0,5.0,5,1843824992,0.016292626133135993,0.221362 0.108743 0.150359 0.124970 0.085979 0.016145 0.051219 0.078215 0.029536 0.011940 0.078355 0.021959 0.071168 0.053337 0.072832 0.041734 0.103834 0.051125 0.041163 0.052312 0.018772 0.051788 0.034481 0.089250 0.016293,1.4141253443243986,100.31348131769414,79.68651868230586
WT,5.0,5.0,6,184566854,0.07411530126569325,0.184989 0.114596 0.112616 0.051574 0.125426 0.140133 0.090162 0.096589 0.071496 0.063691 0.034475 0.026787 0.050373 0.053379 0.022630 0.022171 0.018905 0.037764 0.005917 0.015935 0.093472 0.038631 0.031282 0.065366 0.074115,1.4568739611390928,25.154833135788387,154.84516686421162
WT,5.0,5.0,7,1497586438,0.02567435894386282,0.187805 0.056537 0.169719 0.105037 0.157380 0.152895 0.071782 0.091658 0.028813 0.098798 0.026945 0.078959 0.075460 0.033034 0.021509 0.056789 0.082974 0.025015 0.021196 0.073569 0.024038 0.071821 0.043129 0.026324 0.025674,1.497417537842564,196.60603435457872,16.606034354578725
WT,5.0,5.0,8,432652533,0.0879773699660335,0.164106 0.117449 0.052464 0.033316 0.129327 0.115358 0.150393 0.038643 0.029591 0.007798 0.072380 0.056999 0.035576 0.018975 0.069215 0.079869 0.100687 0.082582 0.038632 0.041811 0.079927 0.087242 0.023165 0.040966 0.087977,1.4387257996292981,327.0047344875964,147.0047344875964
WT,5.0,5.0,9,202244314,0.02046580308383133,0.213788 0.112925 0.168613 0.018990 0.103450 0.039635 0.072255 0.012014 0.046354 0.076190 0.110406 0.032641 0.037598 0.062570 0.051824 0.036718 0.022067 0.064057 0.015544 0.037677 0.079065 0.028203 0.050392 0.018938 0.020466,1.4297002492214095,312.0098129720394,132.0098129720394
