condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,3,0,30442,0.06784023305,95,0.1190715328
WT,3,1,30443,0.006915162671,95,0.1190715328
WT,3,2,30444,0.07247167096,95,0.1190715328
WT,3,3,30445,0.1188089254,95,0.1190715328
WT,3,4,30446,0.03141226883,95,0.1190715328
WT,3,5,30447,0.01942539906,95,0.1190715328
WT,3,6,30448,0.02678618503,95,0.1190715328
WT,3,7,30449,0.1441061956,95,0.1190715328
WT,3,8,30450,0.08312978526,95,0.1190715328
WT,3,9,30451,0.1152819757,95,0.1190715328
WT,3,10,30452,0.05269715766,95,0.1190715328
WT,3,11,30453,0.02178425192,95,0.1190715328
WT,3,12,30454,0.0930733937,95,0.1190715328
WT,3,13,30455,0.04026702787,95,0.1190715328
WT,3,14,30456,0.08134856805,95,0.1190715328
WT,3,15,30457,0.07016255683,95,0.1190715328
WT,3,16,30458,0.02740412865,95,0.1190715328
WT,3,17,30459,0.05309656373,95,0.1190715328
WT,3,18,30460,0.1078120875,95,0.1190715328
WT,3,19,30461,0.06753454288,95,0.1190715328
WT,3,20,30462,0.06226093272,95,0.1190715328
WT,3,21,30463,0.0565021587,95,0.1190715328
WT,3,22,30464,0.04921003306,95,0.1190715328
WT,3,23,30465,0.08168643826,95,0.1190715328
WT,3,24,30466,0.08131127701,95,0.1190715328
WT,3,25,30467,0.01899269994,95,0.1190715328
WT,3,26,30468,0.02002174143,95,0.1190715328
WT,3,27,30469,0.04300398136,95,0.1190715328
WT,3,28,30470,0.03698487391,95,0.1190715328
WT,3,29,30471,0.03318550666,95,0.1190715328
WT,3,30,30472,0.1507942104,95,0.1190715328
WT,3,31,30473,0.05546403428,95,0.1190715328
WT,3,32,30474,0.02489200661,95,0.1190715328
WT,3,33,30475,0.03942955122,95,0.1190715328
WT,3,34,30476,0.03517870528,95,0.1190715328
WT,3,35,30477,0.06118618852,95,0.1190715328
WT,3,36,30478,0.1192863934,95,0.1190715328
WT,3,37,30479,0.09292688725,95,0.1190715328
WT,3,38,30480,0.05633105176,95,0.1190715328
WT,3,39,30481,0.0227988821,95,0.1190715328
WT,3,40,30482,0.03915040738,95,0.1190715328
