condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,5.0,0,1168784116,0.03397149244700748,0.187322 0.134510 0.193681 0.139603 0.051533 0.070807 0.044894 0.094219 0.053770 0.031192 0.023753 0.021837 0.035718 0.014807 0.051393 0.083543 0.026823 0.046262 0.072875 0.126153 0.058290 0.019327 0.110642 0.040335 0.033971,5.067692568956441,71.58858063814273,108.41141936185727
WT,5.0,5.0,1,921289450,0.10461057104830515,0.179481 0.113214 0.091616 0.095303 0.084917 0.068244 0.100898 0.055506 0.016042 0.069028 0.039692 0.053447 0.009461 0.018077 0.014267 0.023348 0.028254 0.067668 0.030953 0.044398 0.035393 0.048832 0.069552 0.051176 0.104611,4.695462573034913,124.09558908878876,55.904410911211244
WT,5.0,5.0,2,1293255992,0.05043082808581815,0.189759 0.164039 0.182040 0.120245 0.036628 0.177473 0.058047 0.029245 0.021109 0.043647 0.025537 0.065273 0.032390 0.070549 0.073314 0.022573 0.070172 0.097990 0.022920 0.021404 0.054923 0.050099 0.034727 0.056225 0.050431,4.808187583560216,255.89970288872763,75.89970288872763
WT,5.0,5.0,3,1702858716,0.07248111995589607,0.260691 0.184339 0.199399 0.104287 0.017264 0.043273 0.118847 0.044624 0.060961 0.042019 0.013353 0.032449 0.076986 0.035341 0.008445 0.119585 0.057718 0.039618 0.009987 0.074402 0.012036 0.088574 0.040907 0.082598 0.072481,5.158496935964817,260.31363180695905,80.31363180695905
WT,5.0,5.0,4,1895310323,0.008913120062356731,0.110323 0.176828 0.143872 0.036942 0.039717 0.053214 0.116210 0.028903 0.015496 0.057775 0.049096 0.074759 0.021515 0.035783 0.078048 0.116864 0.079820 0.033441 0.047170 0.023853 0.063965 0.028481 0.056656 0.060738 0.008913,4.901832224888049,58.17263674644119,121.82736325355881
WT,5.0,5.0,5,211694680,0.016116696486659775,0.237713 0.097103 0.216136 0.110203 0.089635 0.037326 0.022448 0.035249 0.043835 0.057094 0.014625 0.065523 0.023055 0.029651 0.052215 0.026454 0.010424 0.118749 0.057112 0.034045 0.061576 0.017890 0.024617 0.009848 0.016117,4.982862936213395,171.63357821761045,8.366421782389551
WT,5.0,5.0,6,280584697,0.04649209803818138,0.190442 0.161534 0.134860 0.081504 0.113458 0.025518 0.039855 0.090565 0.041914 0.106397 0.009464 0.044532 0.145245 0.014718 0.102850 0.048863 0.039713 0.113058 0.068595 0.071490 0.063888 0.139262 0.028293 0.025582 0.046492,4.713827616103467,237.75636153123997,57.756361531239975
WT,5.0,5.0,7,617447500,0.07533568895966222,0.157910 0.104863 0.139159 0.110290 0.138845 0.063272 0.041167 0.052726 0.034903 0.047283 0.046306 0.034296 0.004286 0.037955 0.016400 0.041755 0.037166 0.046328 0.077357 0.038542 0.088960 0.040133 0.065112 0.013408 0.075336,4.987475845648888,282.7436991538387,102.74369915383869
WT,5.0,5.0,8,1249765968,0.1110846145017339,0.160619 0.161400 0.158766 0.112286 0.059225 0.111314 0.058930 0.065575 0.017289 0.106352 0.086846 0.045358 0.032129 0.092196 0.035953 0.049094 0.051154 0.061678 0.019337 0.097672 0.067823 0.072871 0.110585 0.028509 0.111085,4.916219173493796,66.63458998986567,113.36541001013433
WT,5.0,5.0,9,1504658074,0.011841459675062525,0.230467 0.139600 0.092343 0.061535 0.127531 0.007204 0.056936 0.019155 0.072750 0.050535 0.040285 0.016513 0.054217 0.092978 0.036179 0.064252 0.066197 0.029623 0.047684 0.016320 0.057815 0.009769 0.024333 0.064378 0.011841,4.7224841181156805,181.68666988038038,1.6866698803803786
WT,5.0,5.0,10,1008898872,0.03930094913142088,0.198399 0.108194 0.065783 0.123227 0.104825 0.058161 0.030016 0.055248 0.069890 0.042577 0.076268 0.027876 0.107747 0.034092 0.030745 0.045965 0.041490 0.027839 0.045658 0.093837 0.028130 0.069205 0.105304 0.027323 0.039301,5.01822488077158,146.16735340391907,33.832646596080934
WT,5.0,5.0,11,794319243,0.035956942623738115,0.207769 0.112778 0.191798 0.092292 0.068301 0.040606 0.052498 0.043261 0.068661 0.013783 0.137791 0.109741 0.034797 0.052489 0.035308 0.026017 0.064778 0.059898 0.030788 0.073679 0.066922 0.039048 0.060728 0.052816 0.035957,4.91192966998901,93.23577654892767,86.76422345107233
WT,5.0,5.0,12,204008863,0.013078391790631914,0.136936 0.172551 0.215038 0.138327 0.083764 0.022860 0.052091 0.018283 0.068159 0.055443 0.047837 0.073550 0.035048 0.056087 0.094315 0.052733 0.046242 0.050201 0.067707 0.056860 0.037406 0.091438 0.037105 0.114330 0.013078,4.65281315379543,2.207327821941582,177.7926721780584
WT,5.0,5.0,13,1880439445,0.06545633002505867,0.168546 0.164891 0.117100 0.105124 0.009345 0.049579 0.069448 0.063483 0.096465 0.015301 0.033517 0.051667 0.061462 0.060818 0.077858 0.060772 0.066245 0.052725 0.071108 0.029284 0.020860 0.082720 0.056792 0.031613 0.065456,4.746677005124077,97.03061396296214,82.96938603703786
WT,5.0,5.0,14,1306372712,0.03194846104010458,0.222199 0.247050 0.122751 0.105800 0.147246 0.044843 0.042070 0.055856 0.064423 0.056432 0.067722 0.056819 0.034989 0.016671 0.078483 0.013461 0.028003 0.066100 0.047338 0.033801 0.051958 0.024458 0.079586 0.058597 0.031948,5.043237186019775,29.21156610987311,150.7884338901269
WT,5.0,5.0,15,2122084012,0.06951445489561103,0.193752 0.167923 0.149834 0.083784 0.144384 0.079368 0.051009 0.038953 0.118999 0.051163 0.074319 0.016642 0.017327 0.063992 0.060062 0.022117 0.084587 0.034312 0.013297 0.077874 0.097879 0.079860 0.067572 0.017461 0.069514,5.576456659449399,207.237061179437,27.237061179437006
WT,5.0,5.0,16,1976297044,0.07094045823696057,0.175943 0.170437 0.116462 0.106410 0.011200 0.104520 0.110593 0.078727 0.072453 0.019944 0.016480 0.033481 0.021353 0.029292 0.031256 0.041355 0.071891 0.106823 0.037935 0.047462 0.051095 0.037013 0.010046 0.057162 0.070940,4.6985371174424975,84.01462218712474,95.98537781287526
WT,5.0,5.0,17,784548992,0.0927636487984787,0.220520 0.101258 0.184537 0.095170 0.074091 0.162885 0.035402 0.069765 0.061792 0.070612 0.065495 0.079764 0.051512 0.064891 0.033528 0.070735 0.092888 0.074695 0.010686 0.089365 0.016339 0.035758 0.003462 0.031128 0.092764,4.7902020665941984,158.84777216188252,21.152227838117483
WT,5.0,5.0,18,2121403537,0.02271395752190177,0.129256 0.158285 0.168446 0.063277 0.095467 0.081943 0.039011 0.020946 0.062282 0.096928 0.059713 0.042230 0.057478 0.050605 0.051932 0.048472 0.075892 0.033579 0.083213 0.074202 0.055932 0.089069 0.086647 0.054429 0.022714,4.516802660371273,201.60163018880803,21.60163018880803
WT,5.0,5.0,19,347016859,0.052183147729188126,0.171046 0.212337 0.156658 0.057011 0.082484 0.115691 0.048033 0.106699 0.050360 0.046623 0.027601 0.033358 0.077381 0.042656 0.029521 0.031453 0.014688 0.027906 0.057190 0.062676 0.034896 0.022654 0.029980 0.048751 0.052183,4.8232594936721735,331.9345661380323,151.93456613803232
WT,5.0,5.0,20,527842052,0.06423546398317385,0.169454 0.150398 0.209383 0.134381 0.106035 0.037803 0.044438 0.091554 0.051666 0.027380 0.060352 0.060104 0.035836 0.020447 0.053083 0.008136 0.015639 0.044942 0.037127 0.107939 0.032087 0.042799 0.032182 0.058466 0.064235,5.118168182363591,295.7991825199853,115.79918251998532
WT,5.0,5.0,21,215409799,0.06457316631289156,0.254592 0.117975 0.167801 0.164116 0.177883 0.082829 0.047743 0.029721 0.081087 0.115112 0.056059 0.033279 0.065670 0.029345 0.071920 0.060820 0.046715 0.035363 0.041187 0.032466 0.037564 0.085674 0.010656 0.067210 0.064573,5.029132932360999,265.3535737899978,85.35357378999782
WT,5.0,5.0,22,350632298,0.05940539788880607,0.222150 0.230217 0.167230 0.134573 0.082688 0.125598 0.065998 0.066929 0.019504 0.058470 0.050431 0.017122 0.072857 0.085700 0.032107 0.071976 0.010102 0.055589 0.017514 0.062065 0.014096 0.119636 0.042222 0.034504 0.059405,4.7841198093363815,170.2508437408335,9.749156259166512
WT,5.0,5.0,23,2071774379,0.050517320019764236,0.163895 0.099302 0.143313 0.083225 0.088619 0.167063 0.007086 0.083001 0.105371 0.074957 0.071783 0.034456 0.048567 0.029047 0.031847 0.023877 0.056553 0.105890 0.042550 0.042356 0.075870 0.063747 0.096355 0.117854 0.050517,4.974271199620598,80.69963549108249,99.30036450891751
WT,5.0,5.0,24,1492822048,0.07749672077642869,0.288376 0.132497 0.081458 0.101450 0.080361 0.040079 0.028614 0.040771 0.090444 0.018935 0.039643 0.058019 0.010343 0.080824 0.045970 0.118535 0.071559 0.040600 0.032535 0.022764 0.064535 0.025841 0.046548 0.001669 0.077497,4.591833337174409,298.65568310186825,118.65568310186825
WT,5.0,5.0,25,199233221,0.1232259392856322,0.147401 0.145287 0.198486 0.105196 0.055742 0.073632 0.052059 0.074922 0.076362 0.124004 0.028269 0.028447 0.092009 0.030106 0.057567 0.082450 0.045611 0.054035 0.028050 0.068192 0.067165 0.010282 0.037928 0.051760 0.123226,4.932722031586684,305.83785582945734,125.83785582945734
WT,5.0,5.0,26,1395966768,0.011052311237439435,0.169773 0.118949 0.164980 0.132495 0.077908 0.116909 0.045275 0.053886 0.042535 0.071622 0.039836 0.054630 0.071625 0.074812 0.089979 0.072035 0.068728 0.051349 0.066004 0.082603 0.058797 0.044075 0.092814 0.046270 0.011052,5.251819309423634,35.98053772590693,144.0194622740931
WT,5.0,5.0,27,786556690,0.020492573805624484,0.175413 0.074603 0.173340 0.134412 0.036028 0.069418 0.085678 0.027601 0.089841 0.054440 0.056119 0.010648 0.156724 0.054193 0.067034 0.060182 0.027016 0.062056 0.067010 0.059312 0.048537 0.066185 0.049107 0.091878 0.020493,4.878515991320298,342.1845103486543,162.18451034865433
WT,5.0,5.0,28,649984770,0.04281460821902339,0.200046 0.075846 0.084043 0.061462 0.072948 0.051081 0.039524 0.079685 0.075018 0.048366 0.043418 0.019885 0.010657 0.084346 0.064652 0.047850 0.014262 0.065781 0.022699 0.030950 0.000343 0.052230 0.108618 0.058888 0.042815,4.808754057330342,60.88424067867208,119.11575932132791
WT,5.0,5.0,29,337723248,0.02885017281176766,0.248729 0.123469 0.099698 0.106040 0.054544 0.041408 0.050782 0.074907 0.019853 0.088268 0.081724 0.094539 0.100640 0.075271 0.135959 0.060670 0.053710 0.025758 0.068852 0.087307 0.061017 0.044022 0.108202 0.075613 0.028850,5.231578228437852,169.3760295032888,10.623970496711195
WT,5.0,5.0,30,1094264184,0.06549645503538562,0.165179 0.224218 0.138203 0.133504 0.030745 0.158354 0.113890 0.022274 0.106479 0.015874 0.032327 0.084194 0.061072 0.072989 0.027488 0.034437 0.089998 0.060547 0.049713 0.047369 0.035634 0.146108 0.028605 0.015405 0.065496,4.723411397275914,208.7932085059409,28.793208505940896
