condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,25.0,0.75,120.0,0,1168784116,6.792265372627482,2.0359871914820022,5.079474948032739,0.1503674816521657,0.4080487632685391
WT,25.0,0.75,120.0,1,921289450,6.621470086004124,1.897557554469802,5.390657208081755,0.13108937976478968,0.33371108753989026
WT,25.0,0.75,120.0,2,1293255992,6.764423204368718,2.133297870711764,5.1443243579117786,0.14057271111485445,0.34542653770827647
WT,25.0,0.75,120.0,3,1702858716,6.601042194811311,2.331356564305105,6.510827268013144,0.12676735002582867,0.48585086944053163
WT,25.0,0.75,120.0,4,1895310323,6.913494630919001,2.2008786236948352,5.450745170964442,0.24558677351389635,0.4025040745965786
WT,25.0,0.75,120.0,5,211694680,6.8421475076200675,2.2879301596415638,4.283886216543437,0.056373658769366765,0.4690378633894564
WT,25.0,0.75,120.0,6,280584697,7.023578643120991,1.8753609123791715,5.677359454346246,0.15009245572270002,0.36276600303235623
WT,25.0,0.75,120.0,7,617447500,6.778739490031894,2.0836815181566797,5.66118564663234,0.11684210690673984,0.35415606181921266
WT,25.0,0.75,120.0,8,1249765968,6.770473777429415,2.4497358929270785,4.620153187502456,0.15018078542525498,0.4563047496727244
WT,25.0,0.75,120.0,9,1504658074,7.0642001230938165,2.347124133262794,4.469837905671713,0.13390378666291672,0.40224766621392277
WT,25.0,0.75,120.0,10,1008898872,6.848635012267688,1.9907654387496567,5.611671634782362,0.09797296666301855,0.40452581110655916
WT,25.0,0.75,120.0,11,794319243,6.915248492495286,1.8868943094963084,5.005953268552132,0.08329942517777915,0.27063896165111156
WT,25.0,0.75,120.0,12,204008863,6.853535061730777,2.8189737693596184,6.047510664735468,0.14209098496023204,0.6300307150153979
WT,25.0,0.75,120.0,13,1880439445,6.879091055715725,1.9478162489067479,5.043730663963265,0.08653006009125441,0.31313590870162555
WT,25.0,0.75,120.0,14,1306372712,6.762520131322322,2.1696780797220265,5.151454292828905,0.25164352497878273,0.4831414265144667
WT,25.0,0.75,120.0,15,2122084012,6.87514573912541,2.4153907349278922,4.651967408140925,0.18240466163057448,0.3474881768275142
WT,25.0,0.75,120.0,16,1976297044,6.81230113985206,2.4566733580645383,6.052605839478642,0.18198389979410076,0.4511096575643484
WT,25.0,0.75,120.0,17,784548992,6.7392725462881655,2.1577615994258266,5.730960548774005,0.09567657234987274,0.4631443692305255
WT,25.0,0.75,120.0,18,2121403537,6.957697709341377,1.9139015879764452,5.525397188845011,0.12793805358126575,0.4069945398659742
