amplitude,metric,cond_a,cond_b,n_a,n_b,u_stat,p_value,q_value
10.0,power_median,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
10.0,power_sample,WT,WT_APP,492,500,0.0,1.2099394177536588e-163,2.7655758120083627e-163
10.0,power_var,WT,WT_APP,500,500,46.0,7.717942317456076e-165,2.8616454690311077e-164
10.0,power_dvar,WT,WT_APP,500,500,464.0,9.43737530385982e-164,2.3230462286424173e-163
10.0,power_autocorr,WT,WT_APP,500,500,143237.0,6.512685074362835e-05,7.1864111165383e-05
10.0,spec_concentration,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
10.0,spec_entropy,WT,WT_APP,500,500,250000.0,5.856242913498941e-165,2.457714072985331e-164
10.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
15.0,power_median,WT,WT_APP,500,500,5527.0,7.190354910390318e-151,1.3534785713675895e-150
15.0,power_sample,WT,WT_APP,500,500,89999.0,1.7967737474345658e-14,2.017430172558109e-14
15.0,power_var,WT,WT_APP,500,500,6.0,6.070974646365856e-165,2.457714072985331e-164
15.0,power_dvar,WT,WT_APP,500,500,263.0,2.834265059225078e-164,7.886650599582825e-164
15.0,power_autocorr,WT,WT_APP,500,500,48857.0,2.0375894887663765e-62,2.8349071148053934e-62
15.0,spec_concentration,WT,WT_APP,500,500,249873.0,1.2545613545832738e-164,3.649633031514978e-164
15.0,spec_entropy,WT,WT_APP,500,500,116.0,1.1744834418791942e-164,3.579378108584211e-164
15.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
20.0,power_median,WT,WT_APP,500,500,238793.0,4.721036425171366e-137,7.747341825922241e-137
20.0,power_sample,WT,WT_APP,500,500,197716.0,4.3736378126677165e-57,5.831517083556955e-57
20.0,power_var,WT,WT_APP,500,500,497.0,1.1495817438796454e-163,2.724934504011011e-163
20.0,power_dvar,WT,WT_APP,500,500,291.0,3.3516948593906435e-164,8.937852958375048e-164
20.0,power_autocorr,WT,WT_APP,500,500,140755.0,0.0005607662297590915,0.0006082887916030824
20.0,spec_concentration,WT,WT_APP,500,500,250000.0,5.856242913498941e-165,2.457714072985331e-164
20.0,spec_entropy,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
20.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.457714072985331e-164
25.0,power_median,WT,WT_APP,500,500,244849.0,8.287242280087823e-152,1.6072227452291535e-151
25.0,power_sample,WT,WT_APP,500,500,193410.0,9.879657703084672e-51,1.264596185994838e-50
25.0,power_var,WT,WT_APP,500,500,11341.0,9.815419110730966e-137,1.5704670577169546e-136
25.0,power_dvar,WT,WT_APP,500,500,3114.0,6.078458726872079e-157,1.2156917453744157e-156
25.0,power_autocorr,WT,WT_APP,500,500,224181.0,1.371786115727324e-104,2.0417281722453196e-104
25.0,spec_concentration,WT,WT_APP,500,500,250000.0,5.856242913498941e-165,2.457714072985331e-164
