phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
WT,WT,0,0,1.34391,1.37933,1.57124,3.7459,2.55094
WT,WT,0,1,1.36627,1.3852,1.57414,3.76438,2.56577
WT,WT,0,2,1.36477,1.38263,1.57272,3.7581,2.559
WT,WT,0,3,1.33263,1.37727,1.57051,3.73932,2.5448
WT,WT,0,4,1.36316,1.38214,1.57311,3.75642,2.55787
WT,WT,0,5,1.36,1.38234,1.57204,3.75677,2.55965
WT,WT,0,6,1.35981,1.38271,1.57284,3.75804,2.5609
WT,WT,0,7,1.38661,1.38892,1.57697,3.77673,2.57285
WT,WT,0,8,1.35716,1.38327,1.57301,3.75858,2.56118
WT,WT,0,9,1.37292,1.38703,1.57642,3.77045,2.56864
WT,WT,0,10,1.3502,1.38112,1.57202,3.75219,2.55671
WT,WT,0,11,1.37251,1.38468,1.57391,3.76393,2.56363
WT,WT,0,12,1.35068,1.37994,1.57104,3.74968,2.55393
WT,WT,0,13,1.36742,1.38466,1.57474,3.7635,2.56276
WT,WT,0,14,1.34501,1.37895,1.57014,3.74583,2.55204
WT,WT,0,15,1.35172,1.38112,1.57194,3.75252,2.55613
WT,WT,0,16,1.36851,1.38407,1.57347,3.76271,2.56346
WT,WT,0,17,1.3489,1.37952,1.57102,3.74793,2.55321
WT,WT,0,18,1.37513,1.38638,1.57593,3.76875,2.56713
WT,WT,0,19,1.37537,1.38765,1.57625,3.7719,2.56971
WT,WT,0,20,1.35994,1.38046,1.57146,3.75188,2.55487
WT,WT,0,21,1.35574,1.38022,1.57107,3.75089,2.55488
WT,WT,0,22,1.3489,1.37899,1.57028,3.74733,2.55335
WT,WT,0,23,1.34988,1.38043,1.57181,3.75008,2.55406
WT,WT,0,24,1.35794,1.38224,1.57233,3.75572,2.55833
WT,WT,0,25,1.34578,1.37814,1.57036,3.74374,2.54942
WT,WT,0,26,1.3689,1.38474,1.57432,3.76413,2.56391
WT,WT,0,27,1.35555,1.38255,1.57292,3.75645,2.55914
WT,WT,0,28,1.37287,1.38623,1.57567,3.76829,2.56642
WT,WT,0,29,1.33914,1.37667,1.56899,3.73925,2.54683
WT,WT,0,30,1.35006,1.37918,1.57062,3.74734,2.55199
WT,WT,0,31,1.34507,1.38,1.5708,3.74844,2.55448
WT,WT,0,32,1.38333,1.38824,1.5762,3.77518,2.57178
WT,WT,0,33,1.35135,1.37986,1.57146,3.74931,2.55316
WT,WT,0,34,1.36298,1.38434,1.57383,3.76203,2.56373
WT,WT,0,35,1.33601,1.37682,1.56891,3.73947,2.54791
WT,WT,0,36,1.36096,1.38343,1.57366,3.75918,2.561
WT,WT,0,37,1.34942,1.38002,1.57132,3.74934,2.5541
WT,WT,0,38,1.35213,1.38115,1.57246,3.75215,2.55484
WT,WT,0,39,1.36889,1.38624,1.5757,3.76755,2.56666
WT,WT,0,40,1.31452,1.37088,1.56574,3.72105,2.53287
WT,WT,0,41,1.37249,1.38876,1.57711,3.77457,2.57206
WT,WT,0,42,1.38373,1.38949,1.57758,3.77816,2.57496
WT,WT,0,43,1.36801,1.38331,1.57341,3.76041,2.56023
WT,WT,0,44,1.34674,1.37902,1.57009,3.74618,2.55227
WT,WT,0,45,1.35422,1.37996,1.57099,3.75019,2.55404
