phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
WT,WT,0,0,1.0898,1.3189,1.52135,3.56331,2.44576
PV α7,target,1,0,1.24002,1.27424,1.41672,3.67009,3.41838
SOM α7,prediction,1,0,1.30955,0.0400978,2.58838,1.22377,6.35726
SOM β2,prediction,1,0,1.12658,0.808776,1.94383,1.90581,3.65576
VIP α5,target,1,0,0.541276,4.45712,2.53212,0.0544619,0.129556
NDNF α7,target,1,0,1.37175,0.950715,1.59031,4.42526,2.88992
NDNF β2,prediction,1,0,1.22166,1.03559,1.39671,4.19338,2.12737
PV α7 + SOM α7,prediction,2,0,1.56828,0.0149134,1.90804,3.35945,6.45018
PV α7 + SOM β2,prediction,2,0,1.28794,0.678774,1.80566,2.3521,4.66778
PV α7 + VIP α5,prediction,2,0,0.772069,4.50473,2.71361,0.0487008,0.465018
PV α7 + NDNF α7,prediction,2,0,1.60386,0.63479,1.19678,5.44099,3.96377
PV α7 + NDNF β2,prediction,2,0,1.37542,0.943994,1.23895,4.44334,2.87829
SOM α7 + SOM β2,prediction,2,0,1.30982,0.0104773,2.60118,1.18142,6.44471
SOM α7 + VIP α5,prediction,2,0,1.30815,0.0704983,3.10834,0.00310053,6.26835
SOM α7 + NDNF α7,prediction,2,0,1.66956,0.00792876,1.90536,4.69735,4.77526
SOM α7 + NDNF β2,prediction,2,0,1.46649,0.0238125,2.26705,2.35645,4.69631
SOM β2 + VIP α5,prediction,2,0,1.03737,1.69154,2.6337,0.0185185,1.79174
SOM β2 + NDNF α7,prediction,2,0,1.4277,0.462127,1.95501,3.28597,3.77082
SOM β2 + NDNF β2,target,2,0,1.27258,0.59457,1.78379,2.66885,3.04133
VIP α5 + NDNF α7,prediction,2,0,0.780798,4.50074,3.21566,0.0525997,0.303048
VIP α5 + NDNF β2,prediction,2,0,0.543993,4.45509,2.53586,0.0562475,0.0815856
NDNF α7 + NDNF β2,prediction,2,0,1.50408,0.66788,1.3654,5.30634,2.35526
PV α7 + SOM α7 + SOM β2,prediction,3,0,1.56915,0.00376082,1.91328,3.34658,6.46936
PV α7 + SOM α7 + VIP α5,prediction,3,0,1.56127,0.0712394,3.6723,0.0112452,6.3539
PV α7 + SOM α7 + NDNF α7,target,3,0,1.89598,0.00115976,0.551672,8.69442,4.78582
PV α7 + SOM α7 + NDNF β2,prediction,3,0,1.67234,0.00781563,1.43724,4.7277,4.74212
PV α7 + SOM β2 + VIP α5,prediction,3,0,1.18914,1.70407,2.76873,0.0174794,2.69479
PV α7 + SOM β2 + NDNF α7,prediction,3,0,1.64771,0.226434,1.35556,4.95968,4.4793
PV α7 + SOM β2 + NDNF β2,prediction,3,0,1.43164,0.457736,1.55954,3.30892,3.75178
PV α7 + VIP α5 + NDNF α7,prediction,3,0,1.12809,4.56861,3.69823,0.0470461,1.04527
PV α7 + VIP α5 + NDNF β2,prediction,3,0,0.781385,4.50074,2.72498,0.0526745,0.300136
PV α7 + NDNF α7 + NDNF β2,prediction,3,0,1.70427,0.409619,0.925764,6.49142,3.00588
SOM α7 + SOM β2 + VIP α5,prediction,3,0,1.30876,0.0183341,3.10014,0.0028755,6.42144
SOM α7 + SOM β2 + NDNF α7,prediction,3,0,1.67016,0.00197184,1.90838,4.69017,4.78352
SOM α7 + SOM β2 + NDNF β2,prediction,3,0,1.46763,0.00613084,2.27929,2.3201,4.73829
SOM α7 + VIP α5 + NDNF α7,prediction,3,0,1.65893,0.0714066,4.51471,0.0180686,4.68781
SOM α7 + VIP α5 + NDNF β2,prediction,3,0,1.46099,0.0709725,3.24815,0.00717084,4.58571
SOM α7 + NDNF α7 + NDNF β2,prediction,3,0,1.75546,0.00414758,1.42446,6.05543,3.41842
SOM β2 + VIP α5 + NDNF α7,prediction,3,0,1.25591,1.70377,3.3285,0.0261128,1.86964
SOM β2 + VIP α5 + NDNF β2,prediction,3,0,1.09775,1.69039,2.68372,0.0276935,1.20811
SOM β2 + NDNF α7 + NDNF β2,prediction,3,0,1.56295,0.285126,1.63149,4.42382,2.92676
VIP α5 + NDNF α7 + NDNF β2,prediction,3,0,0.787076,4.49788,3.22365,0.0554066,0.193615
PV α7 + SOM α7 + SOM β2 + VIP α5,prediction,4,0,1.56542,0.0185369,3.67007,0.0109689,6.44396
PV α7 + SOM α7 + SOM β2 + NDNF α7,prediction,4,0,1.89602,0.000280116,0.551697,8.69432,4.78616
PV α7 + SOM α7 + SOM β2 + NDNF β2,prediction,4,0,1.67295,0.00194315,1.43974,4.72063,4.75022
PV α7 + SOM α7 + VIP α5 + NDNF α7,prediction,4,0,1.8897,0.0713835,6.23609,0.0469716,4.75927
PV α7 + SOM α7 + VIP α5 + NDNF β2,prediction,4,0,1.66207,0.0714136,3.78424,0.0182397,4.65496
PV α7 + SOM α7 + NDNF α7 + NDNF β2,prediction,4,0,1.92098,0.000895978,0.462103,9.22454,3.4226
PV α7 + SOM β2 + VIP α5 + NDNF α7,prediction,4,0,1.47511,1.71863,3.78545,0.0298229,2.81919
PV α7 + SOM β2 + VIP α5 + NDNF β2,prediction,4,0,1.25814,1.70381,2.83208,0.0263127,1.85409
PV α7 + SOM β2 + NDNF α7 + NDNF β2,prediction,4,0,1.74003,0.131209,1.00842,6.19502,3.28451
PV α7 + VIP α5 + NDNF α7 + NDNF β2,prediction,4,0,1.14445,4.56454,3.71934,0.0519071,0.689968
SOM α7 + SOM β2 + VIP α5 + NDNF α7,prediction,4,0,1.66436,0.0185837,4.51365,0.0177155,4.76049
SOM α7 + SOM β2 + VIP α5 + NDNF β2,prediction,4,0,1.46459,0.018466,3.24246,0.00675477,4.70897
SOM α7 + SOM β2 + NDNF α7 + NDNF β2,prediction,4,0,1.75586,0.00101951,1.42572,6.05197,3.42177
SOM α7 + VIP α5 + NDNF α7 + NDNF β2,prediction,4,0,1.74164,0.0714647,4.60903,0.0264023,3.34694
SOM β2 + VIP α5 + NDNF α7 + NDNF β2,prediction,4,0,1.30809,1.70215,3.37647,0.0350161,1.26313
PV α7 + SOM α7 + SOM β2 + VIP α5 + NDNF α7,prediction,5,0,1.89228,0.0185719,6.23749,0.0469125,4.77923
PV α7 + SOM α7 + SOM β2 + VIP α5 + NDNF β2,prediction,5,0,1.66753,0.0185856,3.78329,0.0178852,4.72727
PV α7 + SOM α7 + SOM β2 + NDNF α7 + NDNF β2,target,5,0,1.92101,0.000215803,0.462116,9.22448,3.4228
PV α7 + SOM α7 + VIP α5 + NDNF α7 + NDNF β2,prediction,5,0,1.91444,0.0713155,6.28014,0.0520731,3.40207
PV α7 + SOM β2 + VIP α5 + NDNF α7 + NDNF β2,prediction,5,0,1.52447,1.71719,3.84056,0.0380898,1.94545
SOM α7 + SOM β2 + VIP α5 + NDNF α7 + NDNF β2,prediction,5,0,1.74832,0.018601,4.60926,0.0260121,3.40297
PV α7 + SOM α7 + SOM β2 + VIP α5 + NDNF α7 + NDNF β2,prediction,6,0,1.91712,0.0185537,6.28171,0.052026,3.41745
