phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
WT,WT,0,0,0.889079,1.51222,1.74443,3.18655,2.75258
WT,WT,0,1,0.87223,1.52161,1.74944,3.22581,2.74868
WT,WT,0,2,0.961447,1.53086,1.75678,3.30697,2.74657
WT,WT,0,3,0.932114,1.53077,1.75831,3.24521,2.74915
WT,WT,0,4,0.936206,1.53039,1.75704,3.27424,2.76448
WT,WT,0,5,0.880701,1.51731,1.74362,3.23623,2.73896
WT,WT,0,6,0.859617,1.50869,1.74162,3.21314,2.7474
WT,WT,0,7,0.957932,1.57843,1.78593,3.39933,2.78234
WT,WT,0,8,0.875006,1.50835,1.74121,3.21275,2.74262
WT,WT,0,9,0.916946,1.54835,1.76606,3.27774,2.75967
WT,WT,0,10,0.832974,1.49917,1.72725,3.11949,2.72956
WT,WT,0,11,0.964946,1.54338,1.76643,3.32432,2.75559
WT,WT,0,12,0.903028,1.50503,1.73768,3.2012,2.73683
WT,WT,0,13,0.942886,1.55656,1.77609,3.33066,2.78285
WT,WT,0,14,0.834161,1.49905,1.73335,3.15666,2.72896
WT,WT,0,15,0.906021,1.503,1.74206,3.22509,2.74228
WT,WT,0,16,0.902609,1.52636,1.7502,3.25021,2.75502
WT,WT,0,17,0.855491,1.49074,1.73349,3.14498,2.74144
WT,WT,0,18,0.942437,1.55192,1.77262,3.33416,2.77797
WT,WT,0,19,0.969458,1.5605,1.77669,3.3588,2.77163
WT,WT,0,20,0.902819,1.51799,1.74939,3.24883,2.7518
WT,WT,0,21,0.887287,1.51351,1.74646,3.21456,2.74558
WT,WT,0,22,0.83401,1.47858,1.72249,3.11568,2.7414
WT,WT,0,23,0.901064,1.51933,1.75229,3.22108,2.75008
WT,WT,0,24,0.902477,1.52423,1.74831,3.2715,2.74981
WT,WT,0,25,0.925863,1.50513,1.75026,3.22843,2.75563
WT,WT,0,26,0.940404,1.54299,1.75941,3.29845,2.75531
WT,WT,0,27,0.902237,1.51769,1.7513,3.24261,2.75377
WT,WT,0,28,0.938291,1.55831,1.7713,3.32661,2.77246
WT,WT,0,29,0.857034,1.48501,1.72999,3.14851,2.73497
WT,WT,0,30,0.906276,1.49421,1.73465,3.19365,2.73857
WT,WT,0,31,0.852981,1.48172,1.72423,3.14319,2.73092
WT,WT,0,32,0.942449,1.56331,1.77169,3.35981,2.77975
WT,WT,0,33,0.911278,1.52353,1.75976,3.24952,2.76851
WT,WT,0,34,0.873415,1.51531,1.743,3.18726,2.74748
WT,WT,0,35,0.829259,1.47201,1.72332,3.10327,2.74422
WT,WT,0,36,0.918091,1.53204,1.76262,3.28275,2.76519
WT,WT,0,37,0.878525,1.49843,1.74134,3.17161,2.75461
WT,WT,0,38,0.943067,1.52797,1.76059,3.27374,2.75721
WT,WT,0,39,0.902228,1.55593,1.77316,3.30844,2.77918
WT,WT,0,40,0.865933,1.47151,1.72975,3.12422,2.73709
WT,WT,0,41,0.90313,1.54501,1.76166,3.26802,2.76507
WT,WT,0,42,0.883124,1.55113,1.75989,3.26273,2.77228
WT,WT,0,43,0.991195,1.54417,1.76708,3.34511,2.75624
WT,WT,0,44,0.866161,1.48948,1.73062,3.1962,2.73483
WT,WT,0,45,0.912252,1.5158,1.75151,3.24626,2.75818
WT,WT,0,46,0.843057,1.47234,1.72355,3.13622,2.73304
WT,WT,0,47,0.988597,1.57219,1.78547,3.38759,2.78184
WT,WT,0,48,0.961037,1.53708,1.75942,3.30788,2.73765
WT,WT,0,49,0.954535,1.56011,1.77138,3.35895,2.75829
PV α7,target,1,0,0.926956,1.49801,1.22244,3.05271,3.03316
PV α7,target,1,1,0.926261,1.49801,1.22426,3.02169,3.0343
PV α7,target,1,2,1.04917,1.56835,1.25723,3.21481,3.06479
PV α7,target,1,3,1.09426,1.59676,1.28107,3.30583,3.08894
PV α7,target,1,4,0.995158,1.54214,1.25082,3.16863,3.05299
PV α7,target,1,5,0.979814,1.53834,1.2436,3.13488,3.06795
PV α7,target,1,6,1.05012,1.5603,1.25885,3.2056,3.06726
PV α7,target,1,7,1.02109,1.56427,1.25292,3.1863,3.07504
PV α7,target,1,8,1.07175,1.56701,1.26669,3.23557,3.06953
PV α7,target,1,9,1.10279,1.58286,1.27339,3.25685,3.07476
PV α7,target,1,10,1.03098,1.53146,1.24848,3.18726,3.04147
PV α7,target,1,11,1.05435,1.58363,1.26736,3.24238,3.0696
PV α7,target,1,12,0.994976,1.54876,1.24467,3.18299,3.05515
PV α7,target,1,13,0.974268,1.49765,1.2284,3.09239,3.04089
PV α7,target,1,14,0.991364,1.52666,1.24219,3.13764,3.05749
PV α7,target,1,15,1.06616,1.55698,1.26264,3.23853,3.06728
PV α7,target,1,16,0.972904,1.51426,1.23477,3.12603,3.04877
PV α7,target,1,17,1.0019,1.53621,1.24246,3.1689,3.04873
PV α7,target,1,18,1.02281,1.53525,1.25239,3.17159,3.05327
PV α7,target,1,19,0.982281,1.55443,1.2448,3.15573,3.07048
PV α7,target,1,20,1.05544,1.58279,1.26686,3.24162,3.06518
PV α7,target,1,21,1.01037,1.56689,1.25548,3.19686,3.07951
PV α7,target,1,22,1.03731,1.5571,1.25311,3.18375,3.05235
PV α7,target,1,23,1.03771,1.56217,1.25337,3.19303,3.06403
PV α7,target,1,24,1.02747,1.5836,1.25772,3.2357,3.07764
PV α7,target,1,25,1.05285,1.5778,1.26424,3.23675,3.06775
PV α7,target,1,26,0.937327,1.49684,1.22901,3.03133,3.03752
PV α7,target,1,27,1.0334,1.55425,1.25924,3.20064,3.06328
PV α7,target,1,28,1.03651,1.58692,1.26443,3.23641,3.09565
PV α7,target,1,29,1.03543,1.54384,1.25555,3.16779,3.05161
PV α7,target,1,30,1.01697,1.54194,1.24613,3.19833,3.04859
PV α7,target,1,31,0.948426,1.50657,1.22867,3.06056,3.04544
PV α7,target,1,32,0.902924,1.50696,1.22166,3.02182,3.05361
PV α7,target,1,33,1.00172,1.54942,1.25813,3.16854,3.06455
PV α7,target,1,34,1.02069,1.55521,1.25665,3.18927,3.06267
PV α7,target,1,35,0.97252,1.53365,1.2376,3.14716,3.05803
PV α7,target,1,36,0.98374,1.55829,1.24352,3.14458,3.06631
PV α7,target,1,37,0.939887,1.48214,1.22075,3.04022,3.0243
PV α7,target,1,38,1.01494,1.51401,1.24175,3.11758,3.05476
PV α7,target,1,39,0.998391,1.56502,1.25073,3.1997,3.06905
PV α7,target,1,40,1.03004,1.54635,1.25664,3.18277,3.06659
PV α7,target,1,41,0.979315,1.53692,1.24247,3.09061,3.04265
PV α7,target,1,42,0.973599,1.50971,1.23331,3.10538,3.03748
PV α7,target,1,43,1.06989,1.59339,1.26817,3.28643,3.06371
PV α7,target,1,44,1.01632,1.53665,1.24556,3.17652,3.05047
PV α7,target,1,45,1.06688,1.59764,1.28003,3.30543,3.08687
PV α7,target,1,46,1.00117,1.53688,1.24703,3.14237,3.05791
PV α7,target,1,47,1.08162,1.56858,1.27008,3.27271,3.07002
PV α7,target,1,48,1.08264,1.60081,1.27765,3.30777,3.08378
PV α7,target,1,49,0.999273,1.51888,1.23814,3.12781,3.03555
