condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,nan,nan,-0.03906404519797838,5000.0,30.0,0,1,1,0.18049577156258492,0.21774297664034825,nan,nan
WT,1,1662057957,181.40625,nan,nan,0.0005788005162270498,5000.0,30.0,0,1,1,0.10611309694853122,0.1532207807645174,nan,nan
WT,2,1405681631,181.40625,nan,nan,0.007755227012330568,5000.0,30.0,0,1,1,0.12962497314777874,0.1818761564677414,nan,nan
WT,3,942484272,181.40625,nan,nan,0.005640966389475566,5000.0,30.0,0,1,1,0.14026678496557743,0.18434262714841745,nan,nan
WT,4,929893137,181.40625,nan,nan,-0.03897101786374253,5000.0,30.0,0,1,1,0.14841397206130044,0.18226258547047022,nan,nan
WT,5,1843824992,181.40625,nan,nan,-0.0011931899145085118,5000.0,30.0,0,1,1,0.09837007437878278,0.1351288094444805,nan,nan
WT,6,184566854,181.40625,nan,nan,-0.003650694183469379,5000.0,30.0,0,1,1,0.06418231267223837,0.09086535023769955,nan,nan
WT,7,1497586438,181.40625,nan,nan,-0.01673068918495941,5000.0,30.0,0,1,1,0.12491304843014969,0.16788251007899707,nan,nan
WT,8,432652533,181.40625,nan,nan,-0.03567622076527378,5000.0,30.0,0,1,1,0.14765590270287282,0.18777533193732607,nan,nan
WT,9,202244314,181.40625,nan,nan,-0.047007281501961096,5000.0,30.0,0,1,1,0.177981977400864,0.20897747360391075,nan,nan
WT,10,1130604997,181.40625,nan,nan,-0.027862735895466437,5000.0,30.0,0,1,1,0.1470355628310425,0.18379568710101776,nan,nan
WT,11,2095133045,181.40625,nan,nan,0.013224429241718598,5000.0,30.0,0,1,1,0.13254471034547877,0.17194740349944684,nan,nan
WT,12,1580016183,181.40625,nan,nan,-0.023489691252994674,5000.0,30.0,0,1,1,0.13347782651291523,0.18127099534020247,nan,nan
WT,13,1634535062,181.40625,nan,nan,-0.018904612129384286,5000.0,30.0,0,1,1,0.15394681160955312,0.19438508688632086,nan,nan
WT,14,1540770719,181.40625,nan,nan,0.01918720874643889,5000.0,30.0,0,1,1,0.12740210127205243,0.1671660358439201,nan,nan
WT,15,1688060240,181.40625,nan,nan,-0.021635466344176214,5000.0,30.0,0,1,1,0.16731580879303112,0.20646770451367102,nan,nan
WT,16,1102145672,181.40625,nan,nan,-0.04987453475079193,5000.0,30.0,0,1,1,0.19081492859683655,0.22430209330778095,nan,nan
WT,17,275121930,181.40625,nan,nan,0.018227677364129762,5000.0,30.0,0,1,1,0.15717634656448298,0.20306322715697922,nan,nan
WT,18,1803345590,181.40625,nan,nan,0.04248800916926292,5000.0,30.0,0,1,1,0.17526536109619262,0.21210715887391063,nan,nan
WT,19,967196436,181.40625,nan,nan,0.017783800838465643,5000.0,30.0,0,1,1,0.13886046218125997,0.182248548181843,nan,nan
WT,20,1074497555,181.40625,nan,nan,0.016086903616258853,5000.0,30.0,0,1,1,0.14600769973876182,0.1825180355605039,nan,nan
WT,21,796282693,181.40625,nan,nan,-0.05147322742333588,5000.0,30.0,0,1,1,0.1974963960238243,0.22523126619360578,nan,nan
WT,22,392022359,181.40625,nan,nan,-0.045577357685662574,5000.0,30.0,0,1,1,0.17563325038570013,0.20963446323877727,nan,nan
