condition,amplitude,n,mean_abs_asym_mean,mean_abs_asym_sem,asym_std_mean,asym_std_sem
WT,5.0,200,0.043966081139892046,0.00019969083606620364,0.054592591109859104,0.00023285449428704673
WT_APP,5.0,200,0.0610101339459502,0.0006157928452145243,0.07124749504790687,0.0008134061679859435
WT,10.0,200,0.03587666693997637,0.00016587745324575325,0.04485029132046105,0.00020049219315751703
WT_APP,10.0,200,0.1129967291014859,0.0009068178966481692,0.15524737979181752,0.0009154701820813271
WT,15.0,200,0.035446124545741683,0.00027188203755666127,0.0463072997222258,0.0003685196054309302
WT_APP,15.0,200,0.1605493555227523,0.001102288139270662,0.204945133307597,0.0008502140827703467
WT,20.0,200,0.0518768019895548,0.0008406907245215669,0.06948480164066435,0.0011176768693823452
WT_APP,20.0,200,0.19448681488663255,0.0013645099428151084,0.23796477283829126,0.001000474432341109
WT,25.0,200,0.09154846477433459,0.0016694189228274182,0.12141571671607958,0.0020073896159982347
WT_APP,25.0,200,0.2120196791222577,0.0017449389940506856,0.2580439845920234,0.0012338190045337394
WT,30.0,200,0.1409022178888434,0.002303273745090674,0.1801256307388782,0.0022314663160158637
WT_APP,30.0,200,0.2158918471956985,0.0017135721708326011,0.26904798868234314,0.0011919965154070587
WT,35.0,200,0.1876135453785089,0.00224261418886689,0.2300893905887641,0.0018633549365357168
WT_APP,35.0,200,0.22323877520514557,0.0016676575607982359,0.27974535029793035,0.0012705374426461244
WT,40.0,1000,0.2109626446895865,0.00098390818997522,0.2563219725522687,0.0007639241375019204
WT_APP,40.0,1000,0.2403920724486256,0.0007397706654869205,0.2959129520522264,0.0005411231046610881
