condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,0,191664963,181.40625,nan,nan,0.006512456937665215,5000.0,10.0,0,1,1,0.036356746792705355,0.046083397794385896,nan,nan
WT,1,1662057957,181.40625,nan,nan,-0.0037200532736357717,5000.0,10.0,0,1,1,0.036288502327401384,0.04601079727144389,nan,nan
WT,2,1405681631,181.40625,nan,nan,0.0018865717722951177,5000.0,10.0,0,1,1,0.040269811390517586,0.051029760824961246,nan,nan
WT,3,942484272,181.40625,nan,nan,-0.011454460583739718,5000.0,10.0,0,1,1,0.03774047702117709,0.048037583845188345,nan,nan
WT,4,929893137,181.40625,nan,nan,-0.009403854728810274,5000.0,10.0,0,1,1,0.041454030051176816,0.05148533107621271,nan,nan
WT,5,1843824992,181.40625,nan,nan,-0.006874645527646734,5000.0,10.0,0,1,1,0.04120890812332098,0.05317168418029487,nan,nan
WT,6,184566854,181.40625,nan,nan,0.007648342048340613,5000.0,10.0,0,1,1,0.043311575244399485,0.054465604649741664,nan,nan
WT,7,1497586438,181.40625,nan,nan,0.01649708052746185,5000.0,10.0,0,1,1,0.03898280159901011,0.04955970268148131,nan,nan
WT,8,432652533,181.40625,nan,nan,-0.0006892698215601645,5000.0,10.0,0,1,1,0.04172002381465979,0.05144691243650655,nan,nan
WT,9,202244314,181.40625,nan,nan,0.005304292485379577,5000.0,10.0,0,1,1,0.039335989514610724,0.05026894413152693,nan,nan
WT,10,1130604997,181.40625,nan,nan,0.008345585718348487,5000.0,10.0,0,1,1,0.036198718317288096,0.047432168315355946,nan,nan
WT,11,2095133045,181.40625,nan,nan,0.0018358950774311706,5000.0,10.0,0,1,1,0.039878794243432124,0.049217240287528816,nan,nan
WT,12,1580016183,181.40625,nan,nan,-0.01589609103848972,5000.0,10.0,0,1,1,0.03704085452646474,0.04355132353412422,nan,nan
WT,13,1634535062,181.40625,nan,nan,0.00231363793706512,5000.0,10.0,0,1,1,0.03748246219355626,0.04734433788348321,nan,nan
WT,14,1540770719,181.40625,nan,nan,0.00021332310508326676,5000.0,10.0,0,1,1,0.03657329734162299,0.04597898170569757,nan,nan
WT,15,1688060240,181.40625,nan,nan,-0.000584337330723728,5000.0,10.0,0,1,1,0.040450925756420876,0.050445041070655276,nan,nan
WT,16,1102145672,181.40625,nan,nan,0.006578612055389041,5000.0,10.0,0,1,1,0.03867651226932752,0.0484704949771782,nan,nan
WT,17,275121930,181.40625,nan,nan,-0.0023372321013426308,5000.0,10.0,0,1,1,0.03891457168860292,0.0478801828936609,nan,nan
WT,18,1803345590,181.40625,nan,nan,-0.009529847217804411,5000.0,10.0,0,1,1,0.039856775372128866,0.04900234493590028,nan,nan
WT,19,967196436,181.40625,nan,nan,-0.006132959525742804,5000.0,10.0,0,1,1,0.04034766978433279,0.05014772325087542,nan,nan
WT,20,1074497555,181.40625,nan,nan,-0.00794835678551849,5000.0,10.0,0,1,1,0.04408528248762077,0.05481226390242511,nan,nan
WT,21,796282693,181.40625,nan,nan,0.010725771533960385,5000.0,10.0,0,1,1,0.042260857256289766,0.052260611288882444,nan,nan
WT,22,392022359,181.40625,nan,nan,0.007777783378015998,5000.0,10.0,0,1,1,0.040843295314177866,0.05120588139788584,nan,nan
WT,23,1990212658,181.40625,nan,nan,0.01840381506026648,5000.0,10.0,0,1,1,0.0426583392620543,0.0484820231807833,nan,nan
WT,24,1678403330,181.40625,nan,nan,0.0045644262282259415,5000.0,10.0,0,1,1,0.04041716982566118,0.0509543979688367,nan,nan
WT,25,1382689815,181.40625,nan,nan,-0.006589496491338071,5000.0,10.0,0,1,1,0.04224386965271308,0.05162606049233161,nan,nan
WT,26,864178266,181.40625,nan,nan,-0.0015660630579855598,5000.0,10.0,0,1,1,0.03751108626837591,0.04716736575814701,nan,nan
WT,27,1766867109,181.40625,nan,nan,0.0034823742676365036,5000.0,10.0,0,1,1,0.035183953672746855,0.044212711302722106,nan,nan
WT,28,1171300112,181.40625,nan,nan,0.005331375052767107,5000.0,10.0,0,1,1,0.036919465217623834,0.04626934411777001,nan,nan
WT,29,952224740,181.40625,nan,nan,0.0015400048091678,5000.0,10.0,0,1,1,0.038576812211174025,0.0480325983193005,nan,nan
WT,30,967354524,181.40625,nan,nan,-0.001883616964544516,5000.0,10.0,0,1,1,0.040076489074778905,0.05005676765041629,nan,nan
WT,31,487991438,181.40625,nan,nan,0.0023527637959745123,5000.0,10.0,0,1,1,0.036528642655850256,0.04536362214329152,nan,nan
WT,32,197860368,181.40625,nan,nan,-0.009467771595451402,5000.0,10.0,0,1,1,0.03793266013122927,0.048350536951565874,nan,nan
WT,33,1190961760,181.40625,nan,nan,-0.01053016917858898,5000.0,10.0,0,1,1,0.04034506962017731,0.049386590821369696,nan,nan
WT,34,1906728918,181.40625,nan,nan,-0.00918305453703434,5000.0,10.0,0,1,1,0.03974085123315143,0.049504008698750795,nan,nan
WT,35,137046513,181.40625,nan,nan,0.006810305561312353,5000.0,10.0,0,1,1,0.03560793597038962,0.04399470821979125,nan,nan
WT,36,1843166518,181.40625,nan,nan,-0.0037424082058931363,5000.0,10.0,0,1,1,0.03623114878694445,0.04558037947824395,nan,nan
WT,37,1777324407,181.40625,nan,nan,-0.0051398853891824045,5000.0,10.0,0,1,1,0.03701270982977311,0.04522780390320596,nan,nan
WT,38,594336917,181.40625,nan,nan,-0.0003928477919855622,5000.0,10.0,0,1,1,0.037318931641461744,0.0472936782934567,nan,nan
WT,39,1356488967,181.40625,nan,nan,-0.00021432024993408853,5000.0,10.0,0,1,1,0.03890568427840156,0.049680274197550174,nan,nan
WT,40,354826746,181.40625,nan,nan,-0.007311013314217226,5000.0,10.0,0,1,1,0.04159608012715279,0.05212740943030497,nan,nan
WT,41,1627981024,181.40625,nan,nan,-0.0013953589927912396,5000.0,10.0,0,1,1,0.03975498222765706,0.048911724164667346,nan,nan
WT,42,1504361614,181.40625,nan,nan,0.003965746958812538,5000.0,10.0,0,1,1,0.03944830420592617,0.04991269666956751,nan,nan
WT,43,761338718,181.40625,nan,nan,0.009999937581546972,5000.0,10.0,0,1,1,0.03803668114441098,0.048146579687196954,nan,nan
WT,44,145857092,181.40625,nan,nan,-0.00270179126395655,5000.0,10.0,0,1,1,0.04232618433840319,0.05505374466425451,nan,nan
WT,45,2084558133,181.40625,nan,nan,8.779311452539712e-05,5000.0,10.0,0,1,1,0.0385589879637543,0.04905107352416313,nan,nan
WT,46,957106589,181.40625,nan,nan,-0.007406973476207999,5000.0,10.0,0,1,1,0.03665097410477866,0.047009231358621284,nan,nan
WT,47,1917963002,181.40625,nan,nan,-0.007342467343985802,5000.0,10.0,0,1,1,0.04106564190096699,0.0508415407555554,nan,nan
WT,48,1455819991,181.40625,nan,nan,-0.003462805035331224,5000.0,10.0,0,1,1,0.035917537680839766,0.045234666241348837,nan,nan
WT,49,1671565830,181.40625,nan,nan,0.0009975561229374301,5000.0,10.0,0,1,1,0.036819854594,0.04719789051662931,nan,nan
WT,50,1631871623,181.40625,nan,nan,0.00478054607510953,5000.0,10.0,0,1,1,0.037753968392504014,0.04713470811750645,nan,nan
WT,51,417983441,181.40625,nan,nan,-0.0021802042282236173,5000.0,10.0,0,1,1,0.03950962274961788,0.05011135576318568,nan,nan
WT,52,781482251,181.40625,nan,nan,0.008384261040095188,5000.0,10.0,0,1,1,0.0390953212753214,0.048976145764719856,nan,nan
WT,53,1002275723,181.40625,nan,nan,-0.015311835753006193,5000.0,10.0,0,1,1,0.03879904136203467,0.04831942395181956,nan,nan
WT,54,1068999196,181.40625,nan,nan,-0.008509780494780267,5000.0,10.0,0,1,1,0.037635569675224925,0.04762850393586846,nan,nan
WT,55,94067870,181.40625,nan,nan,-0.0007894208980149226,5000.0,10.0,0,1,1,0.040942038321494637,0.05129526225714067,nan,nan
WT,56,1173749071,181.40625,nan,nan,0.01269652689555904,5000.0,10.0,0,1,1,0.04255707007060958,0.05231232681851586,nan,nan
WT,57,331334160,181.40625,nan,nan,0.00017659406895335143,5000.0,10.0,0,1,1,0.04182483894161316,0.05147586823451141,nan,nan
WT,58,1596387604,181.40625,nan,nan,0.001663130418296461,5000.0,10.0,0,1,1,0.039528929627430494,0.050312453032222225,nan,nan
WT,59,1466836456,181.40625,nan,nan,0.00016243903788842317,5000.0,10.0,0,1,1,0.03773311678491892,0.04879233277403113,nan,nan
WT,60,1981113449,181.40625,nan,nan,0.007522294693654812,5000.0,10.0,0,1,1,0.0408679364801443,0.051254011503435296,nan,nan
WT,61,1599364550,181.40625,nan,nan,-0.014321228750851095,5000.0,10.0,0,1,1,0.03784052898217249,0.04651443960127925,nan,nan
WT,62,787359109,181.40625,nan,nan,0.00789142184291228,5000.0,10.0,0,1,1,0.037977066281150634,0.046183160609758814,nan,nan
WT,63,2077711328,181.40625,nan,nan,0.00986067680409173,5000.0,10.0,0,1,1,0.035005473889847205,0.04363390870899999,nan,nan
