condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,10.0,8.0,0,1168784116,0.5453722287599665,0.10025851364150583
WT,10.0,8.0,1,921289450,0.5428001679005191,0.10025851364150583
WT,10.0,8.0,2,1293255992,0.5493917400815572,0.10025851364150583
WT,10.0,8.0,3,1702858716,0.5483349727188894,0.10025851364150583
WT,10.0,8.0,4,1895310323,0.545181780495145,0.10025851364150583
WT,10.0,8.0,5,211694680,0.5449872952303716,0.10025851364150583
WT,10.0,8.0,6,280584697,0.524675772049264,0.10025851364150583
WT,10.0,8.0,7,617447500,0.5231377320601465,0.10025851364150583
WT,10.0,8.0,8,1249765968,0.5058417572193104,0.10025851364150583
WT,10.0,8.0,9,1504658074,0.5450138111336361,0.10025851364150583
WT,10.0,8.0,10,1008898872,0.5481053892707975,0.10025851364150583
WT,10.0,8.0,11,794319243,0.538040733679336,0.10025851364150583
WT,10.0,8.0,12,204008863,0.521259470652582,0.10025851364150583
WT,10.0,8.0,13,1880439445,0.5363419003339192,0.10025851364150583
WT,10.0,8.0,14,1306372712,0.5281991415333022,0.10025851364150583
WT,10.0,8.0,15,2122084012,0.5383006127221243,0.10025851364150583
WT,10.0,8.0,16,1976297044,0.5192677675016099,0.10025851364150583
WT,10.0,8.0,17,784548992,0.5087073619169126,0.10025851364150583
WT,10.0,8.0,18,2121403537,0.5351546387403439,0.10025851364150583
WT,10.0,8.0,19,347016859,0.53874363319426,0.10025851364150583
WT,10.0,8.0,20,527842052,0.5165376698322269,0.10025851364150583
WT,10.0,8.0,21,215409799,0.5337206204271197,0.10025851364150583
WT,10.0,8.0,22,350632298,0.5417783518032615,0.10025851364150583
WT,10.0,8.0,23,2071774379,0.5427190761213122,0.10025851364150583
WT,10.0,8.0,24,1492822048,0.5432334242087764,0.10025851364150583
WT,10.0,8.0,25,199233221,0.530185813274116,0.10025851364150583
WT,10.0,8.0,26,1395966768,0.5583805316117565,0.10025851364150583
WT,10.0,8.0,27,786556690,0.5394065152920782,0.10025851364150583
WT,10.0,8.0,28,649984770,0.5344065912371925,0.10025851364150583
WT,10.0,8.0,29,337723248,0.5383560522436652,0.10025851364150583
WT,10.0,8.0,30,1094264184,0.536245167004119,0.10025851364150583
WT,10.0,8.0,31,2089154132,0.5023411342285773,0.10025851364150583
WT,10.0,8.0,32,1584690825,0.541493105183717,0.10025851364150583
WT,10.0,8.0,33,795962858,0.5069367725108783,0.10025851364150583
WT,10.0,8.0,34,827737825,0.5237592391769903,0.10025851364150583
