condition_key,w_inter,trial_idx,seed,a_hat_value
WT,2.0,0,191664963,0.035415340857662174
WT,2.0,0,191664963,0.045530939825438675
WT,2.0,0,191664963,0.023997258408526963
WT,2.0,0,191664963,0.03927457732100729
WT,2.0,0,191664963,0.05696835012909768
WT,2.0,0,191664963,0.028020792593435633
WT,2.0,0,191664963,0.03161581645736283
WT,2.0,0,191664963,0.015546846803548744
WT,2.0,0,191664963,0.04197089301528834
WT,2.0,0,191664963,0.00703496737738626
WT,2.0,0,191664963,0.02423796389196138
WT,2.0,0,191664963,0.04947874267946459
WT,2.0,0,191664963,0.03309344284207937
WT,2.0,0,191664963,0.057683000741670064
WT,2.0,0,191664963,0.0596155186908546
WT,2.0,0,191664963,0.03555489678451999
WT,2.0,0,191664963,0.04543861665013527
WT,2.0,0,191664963,0.04348438729041074
WT,2.0,0,191664963,0.011636874500794547
WT,2.0,0,191664963,0.04359625616343287
WT,2.0,0,191664963,0.0500408430493517
WT,2.0,0,191664963,0.044043949766144785
WT,2.0,0,191664963,0.03411913748031644
WT,2.0,0,191664963,0.030040799592950276
WT,2.0,0,191664963,0.03571865070384271
WT,2.0,0,191664963,0.035415340857662174
WT,2.0,1,1662057957,0.01943076381445892
WT,2.0,1,1662057957,0.007567138365076995
WT,2.0,1,1662057957,0.018924516594439274
WT,2.0,1,1662057957,0.027335954858246202
WT,2.0,1,1662057957,0.036503192665611535
WT,2.0,1,1662057957,0.04765496295462779
WT,2.0,1,1662057957,0.018514664049811013
WT,2.0,1,1662057957,0.019279164819818735
WT,2.0,1,1662057957,0.04689320610618469
WT,2.0,1,1662057957,0.01099382781125513
WT,2.0,1,1662057957,0.02358292769260322
WT,2.0,1,1662057957,0.03284472157320659
WT,2.0,1,1662057957,0.029000951927277963
WT,2.0,1,1662057957,0.02875073020333717
WT,2.0,1,1662057957,0.024819859971127622
WT,2.0,1,1662057957,0.06015111699474861
WT,2.0,1,1662057957,0.029040357455590502
WT,2.0,1,1662057957,0.021982317439945116
WT,2.0,1,1662057957,0.030984153705820226
WT,2.0,1,1662057957,0.019261821949136414
WT,2.0,1,1662057957,0.033066019157040036
