condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,a_hat_timecourse,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,10.0,3.0,0,191664963,0.0429464491037142,0.316417 0.263197 0.247880 0.203795 0.192957 0.119593 0.144405 0.086577 0.093302 0.069718 0.105134 0.081229 0.074949 0.039733 0.071325 0.047968 0.022011 0.010764 0.061091 0.059301 0.055566 0.036177 0.034119 0.028163 0.042946,3.4589742987246326,175.4388401994915,4.561159800508506
WT,10.0,3.0,1,1662057957,0.022139884325765274,0.303602 0.246339 0.226743 0.158365 0.135906 0.170495 0.146938 0.071952 0.084413 0.102712 0.049253 0.036425 0.043630 0.018120 0.075566 0.057000 0.035519 0.018805 0.028813 0.024234 0.051351 0.008843 0.022503 0.004047 0.022140,3.53138085053956,153.176709716739,26.823290283261002
WT,10.0,3.0,2,1405681631,0.06165497748442593,0.311869 0.241918 0.248304 0.181189 0.180011 0.183935 0.065610 0.094180 0.074605 0.092076 0.079281 0.074482 0.088067 0.058958 0.036318 0.053870 0.026408 0.084656 0.021247 0.041256 0.043541 0.007820 0.012034 0.070133 0.061655,3.2332171883510874,1.5641877490851814,178.4358122509148
WT,10.0,3.0,3,942484272,0.05328245961129546,0.321339 0.282697 0.208273 0.185692 0.142348 0.145955 0.111681 0.117121 0.085409 0.086593 0.092637 0.097387 0.048326 0.048021 0.025749 0.023058 0.069063 0.037781 0.039855 0.041998 0.039725 0.038348 0.010887 0.042285 0.053282,3.5889070945891883,249.770987200123,69.77098720012299
WT,10.0,3.0,4,929893137,0.04716239134550176,0.266595 0.247524 0.218939 0.159496 0.148734 0.120735 0.106927 0.116683 0.080727 0.068275 0.102797 0.044489 0.074490 0.058202 0.017695 0.057740 0.049064 0.014797 0.029479 0.017416 0.040585 0.013500 0.020349 0.030944 0.047162,3.4752010432838163,256.2475869181112,76.24758691811121
WT,10.0,3.0,5,1843824992,0.01971462909728839,0.326731 0.228089 0.268245 0.225998 0.170812 0.121920 0.112258 0.150770 0.109536 0.079029 0.113562 0.066322 0.069120 0.074398 0.039209 0.056736 0.077498 0.031346 0.050278 0.047740 0.026826 0.040933 0.018530 0.037323 0.019715,3.3562302011112517,77.33668904627217,102.66331095372783
WT,10.0,3.0,6,184566854,0.027600877691998073,0.304302 0.248039 0.243163 0.173263 0.199195 0.196489 0.122148 0.066780 0.075037 0.099233 0.081141 0.071320 0.053921 0.065019 0.044800 0.032625 0.045411 0.033637 0.016906 0.010703 0.075057 0.043248 0.037328 0.043947 0.027601,3.3790304249737533,358.19500921083034,178.19500921083034
WT,10.0,3.0,7,1497586438,0.02514995255530571,0.299564 0.200751 0.247731 0.207353 0.220149 0.211303 0.079378 0.133977 0.080492 0.137182 0.051624 0.047356 0.004476 0.023433 0.028200 0.014974 0.055122 0.028369 0.037608 0.025532 0.004696 0.040248 0.019536 0.004927 0.025150,3.5156595564777398,183.58412438287047,3.5841243828704705
WT,10.0,3.0,8,432652533,0.03166174717426265,0.296191 0.242580 0.189635 0.174778 0.190901 0.178867 0.188538 0.093931 0.091183 0.065453 0.074633 0.115419 0.028355 0.037276 0.091925 0.030541 0.076665 0.042062 0.024426 0.031512 0.061068 0.054663 0.015535 0.041241 0.031662,3.3997312273927323,323.278806809166,143.27880680916599
WT,10.0,3.0,9,202244314,0.012307668011843128,0.309155 0.232286 0.277484 0.154385 0.193421 0.161553 0.151285 0.117759 0.112941 0.081180 0.124289 0.054325 0.031428 0.063278 0.029794 0.033647 0.013738 0.040667 0.006201 0.012158 0.047186 0.015705 0.053285 0.016324 0.012308,3.2282088294508475,300.2535885323268,120.25358853232677
WT,10.0,3.0,10,1130604997,0.05952167441292162,0.297518 0.241103 0.200698 0.169171 0.163194 0.190087 0.139065 0.103237 0.123295 0.076672 0.065642 0.034695 0.047146 0.035547 0.025008 0.046235 0.022347 0.037890 0.024309 0.026384 0.042888 0.024852 0.038575 0.025440 0.059522,3.457740148213755,161.63829868578912,18.361701314210876
WT,10.0,3.0,11,2095133045,0.02343098359987885,0.291175 0.239274 0.235642 0.200045 0.191134 0.125613 0.133036 0.135563 0.062623 0.057935 0.104294 0.032874 0.026971 0.044608 0.041173 0.019394 0.007500 0.071869 0.054010 0.023896 0.036453 0.037547 0.048855 0.034576 0.023431,3.248012948256841,143.5670913751968,36.43290862480319
WT,10.0,3.0,12,1580016183,0.03634435733920818,0.293699 0.246174 0.242384 0.188112 0.194479 0.100767 0.163365 0.134112 0.153768 0.059011 0.096166 0.094005 0.024373 0.019811 0.050435 0.031412 0.059756 0.043852 0.022848 0.046250 0.045808 0.019182 0.043112 0.023636 0.036344,3.3866624185398426,308.33147630812084,128.33147630812084
WT,10.0,3.0,13,1634535062,0.025621893462428203,0.324198 0.237431 0.225784 0.164990 0.195032 0.154523 0.145149 0.130289 0.105902 0.086645 0.084827 0.047870 0.091097 0.080144 0.033631 0.033205 0.031924 0.038681 0.060684 0.006657 0.036929 0.009160 0.006871 0.051917 0.025622,3.3608299919668894,324.9714840034741,144.97148400347407
WT,10.0,3.0,14,1540770719,0.027813993592395968,0.307558 0.232086 0.221329 0.172423 0.133475 0.144861 0.163220 0.098457 0.121889 0.074527 0.036481 0.086519 0.046741 0.073889 0.023136 0.065156 0.036073 0.057440 0.004161 0.024943 0.018357 0.035403 0.061924 0.008319 0.027814,3.7000958452168606,122.64835129825552,57.35164870174448
WT,10.0,3.0,15,1688060240,0.01908304252611737,0.269632 0.261986 0.231749 0.207075 0.201136 0.180442 0.134035 0.121030 0.122984 0.057288 0.120502 0.064564 0.027441 0.065337 0.035989 0.025237 0.027808 0.018705 0.047504 0.017890 0.009238 0.056464 0.003383 0.047013 0.019083,3.7176013431021144,331.44187970317176,151.44187970317176
WT,10.0,3.0,16,1102145672,0.018197362020170395,0.301317 0.222292 0.240904 0.193499 0.193346 0.173421 0.149536 0.109277 0.094230 0.099279 0.069316 0.029372 0.060846 0.037214 0.071061 0.054418 0.019113 0.083386 0.052224 0.039162 0.031489 0.031765 0.050347 0.082560 0.018197,3.515619993583485,40.01112286498074,139.98887713501927
WT,10.0,3.0,17,275121930,0.0319524501555674,0.281640 0.253702 0.275202 0.185140 0.159636 0.142497 0.119688 0.169483 0.070652 0.097568 0.077025 0.084400 0.028955 0.039258 0.058304 0.064796 0.046900 0.008608 0.026854 0.012491 0.029580 0.028985 0.078761 0.034306 0.031952,3.5067119213683853,331.05519656274754,151.05519656274754
WT,10.0,3.0,18,1803345590,0.01510713610484083,0.301918 0.264127 0.222629 0.197341 0.195835 0.150933 0.138785 0.149656 0.108246 0.142649 0.077013 0.083172 0.037647 0.080481 0.069832 0.045147 0.052634 0.071767 0.063633 0.011427 0.036749 0.073238 0.016335 0.060837 0.015107,3.440104112317004,58.131343642104085,121.86865635789592
WT,10.0,3.0,19,967196436,0.014191374257266128,0.327568 0.246557 0.195191 0.193121 0.198129 0.161373 0.144100 0.125060 0.129837 0.120955 0.080619 0.079515 0.046648 0.060745 0.025946 0.036541 0.018548 0.048030 0.056074 0.028674 0.032176 0.025068 0.011360 0.032975 0.014191,3.4124921195456905,103.38792631922556,76.61207368077444
WT,10.0,3.0,20,1074497555,0.020712434608610893,0.287902 0.256564 0.254979 0.177900 0.143345 0.151348 0.141586 0.104317 0.065336 0.103626 0.070569 0.065615 0.088815 0.067269 0.041556 0.032391 0.024697 0.040745 0.024257 0.043807 0.039121 0.018126 0.041835 0.043184 0.020712,3.751593656152226,132.31287781495882,47.687122185041176
WT,10.0,3.0,21,796282693,0.039053669135779207,0.271794 0.230714 0.222553 0.206449 0.139649 0.160637 0.119337 0.099056 0.094388 0.045822 0.097574 0.047292 0.047214 0.042628 0.041864 0.043312 0.049416 0.006694 0.002182 0.015166 0.014221 0.088388 0.049481 0.017448 0.039054,3.365390872367663,335.9357849972293,155.9357849972293
WT,10.0,3.0,22,392022359,0.041451175130185446,0.261144 0.259049 0.232786 0.197469 0.194027 0.167863 0.133585 0.104485 0.124941 0.047798 0.064464 0.027875 0.053809 0.056630 0.056483 0.043890 0.019232 0.005101 0.022788 0.054424 0.030392 0.018966 0.049736 0.023133 0.041451,3.582276884197539,231.83713413921888,51.837134139218875
WT,10.0,3.0,23,1990212658,0.024129715382523686,0.259278 0.244119 0.236021 0.207010 0.156845 0.144714 0.150129 0.107143 0.118861 0.064670 0.032014 0.055806 0.034016 0.024726 0.060983 0.059606 0.078721 0.011000 0.027917 0.017752 0.008331 0.047339 0.024408 0.025031 0.024130,3.566969808874546,354.11566240609994,174.11566240609994
WT,10.0,3.0,24,1678403330,0.03198361325723075,0.263801 0.236545 0.213503 0.204252 0.154409 0.146818 0.142972 0.128215 0.107561 0.124858 0.074892 0.060934 0.059389 0.020817 0.033398 0.031515 0.052791 0.036972 0.017176 0.029000 0.031958 0.036307 0.051069 0.023329 0.031984,3.3681804129012147,283.58656951316146,103.58656951316146
WT,10.0,3.0,25,1382689815,0.09410207303597302,0.280047 0.239453 0.255722 0.179748 0.177016 0.156367 0.138768 0.154287 0.105760 0.089763 0.067521 0.089319 0.055704 0.063922 0.033599 0.047648 0.030723 0.071743 0.042332 0.031314 0.034425 0.012393 0.043916 0.041593 0.094102,3.3756580038807624,160.8984757406895,19.10152425931051
