condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,0.0,0.5814836129219183,0.0032430477819984406,1.0,
WT,0.005,0.5678241542999048,0.0032390245391544607,1.0,
WT,0.01,0.5571581487798105,0.003040861185079937,1.0,
WT,0.015,0.5485566104288921,0.0026779924178619453,1.0,
WT,0.02,0.54441174621821,0.002665374276372931,1.0,
WT,0.025,0.5441854734147846,0.003029765892289737,1.0,
WT,0.03,0.5475486406837592,0.0036116116832052383,1.0,
WT,0.035,0.5547883876482718,0.0043327208201252325,1.0,
WT,0.04,0.5651444716196778,0.00486744986027224,1.0,
WT,0.045,0.5771859809291734,0.005197287948071098,1.0,
WT,0.05,0.588257882113163,0.004927778175350413,1.0,
WT,0.055,0.5977422761833905,0.004171734615608439,1.0,
WT,0.06,0.6030073960448559,0.003188411218881986,1.0,
WT,0.065,0.6035837804793156,0.0024431352103146025,1.0,
WT,0.07,0.5994484881387889,0.0023962956345267203,1.0,
WT,0.075,0.5931471816731423,0.002682701607470246,1.0,
WT,0.08,0.5840685133523837,0.0032282495912199977,1.0,
WT,0.085,0.5738237736070717,0.0035263390072539725,1.0,
WT,0.09,0.5649172532820956,0.0034381206106687628,1.0,
WT,0.095,0.5575959964119136,0.003249068825761769,1.0,
WT,0.1,0.5528202207711009,0.003056552235093433,1.0,
WT,0.105,0.5512983999404332,0.002818835396413894,1.0,
WT,0.11,0.5529590246376112,0.0029193812046375287,1.0,
WT,0.115,0.5587226247495406,0.0033420506596333094,1.0,
WT,0.12,0.5675704137849585,0.0037633201708642174,1.0,
WT,0.125,0.577058069933318,0.004055281344560404,1.0,
WT,0.13,0.5872156374968831,0.004096674806440713,1.0,
WT,0.135,0.5953997875877045,0.0038722100739943172,1.0,
WT,0.14,0.6003523182699193,0.003389787009680178,1.0,
WT,0.145,0.6020521909044282,0.002619028946947168,1.0,
WT,0.15,0.6008227420827104,0.002186528314443474,1.0,
WT,0.155,0.5958500984285142,0.002266008517637745,1.0,
WT,0.16,0.5889403277830486,0.002657077653858591,1.0,
WT,0.165,0.5814446606147222,0.003031105708313092,1.0,
WT,0.17,0.5733852273974194,0.0031845803723826132,1.0,
WT,0.175,0.5663315324707843,0.003118657976956938,1.0,
WT,0.18,0.5609578784761624,0.002975251411484965,1.0,
WT,0.185,0.5603861194625126,0.0028513088178904675,1.0,
WT,0.19,0.5620531097448312,0.0030134270458063374,1.0,
WT,0.195,0.5655346948050191,0.003198797617098243,1.0,
WT,0.2,0.5713003877201963,0.003470602603627811,1.0,
WT,0.205,0.578931130795257,0.003699522299557924,1.0,
WT,0.21,0.58563456702992,0.003782636426101933,1.0,
WT,0.215,0.5920791942707015,0.0037283152277886294,1.0,
WT,0.22,0.5967053594339725,0.003337845117583368,1.0,
WT,0.225,0.5982514371538671,0.0029803236445529496,1.0,
WT,0.23,0.5970312532961825,0.002683437390540101,1.0,
WT,0.235,0.5929101676882852,0.0026213733651355765,1.0,
WT,0.24,0.5879529919425938,0.002633822064973591,1.0,
WT,0.245,0.5810359307859877,0.0027606662640732083,1.0,
WT,0.25,0.5749429576348866,0.0030830483571224086,1.0,
WT,0.255,0.5702826561484947,0.003197024305251802,1.0,
WT,0.26,0.5672111906631441,0.003158176251912899,1.0,
WT,0.265,0.5661410043798175,0.0029869812679819297,1.0,
WT,0.27,0.5670939674612204,0.002987687681665606,1.0,
WT,0.275,0.570337566299971,0.0031065723580484977,1.0,
WT,0.28,0.5744503051847307,0.0033187122399546717,1.0,
WT,0.285,0.5797209139659144,0.003594530225910809,1.0,
WT,0.29,0.584647077952808,0.0035872456701511153,1.0,
WT,0.295,0.5884130052263176,0.0037168112732440554,1.0,
WT,0.3,0.5915082484454975,0.0035746318715779665,1.0,
WT,0.305,0.5928342568379749,0.00333434333446362,1.0,
WT,0.31,0.5919055715544859,0.003099979504096159,1.0,
WT,0.315,0.5891341835690013,0.00280945942649855,1.0,
WT,0.32,0.5855342076583129,0.0026782205542212408,1.0,
WT,0.325,0.5812835667722502,0.0025877962431978896,1.0,
WT,0.33,0.5761522535141657,0.0025285085749681383,1.0,
WT,0.335,0.5715011909128215,0.0025423864632555387,1.0,
WT,0.34,0.5677131769714079,0.0026434494987013215,1.0,
WT,0.345,0.5666078732946783,0.002742894925214348,1.0,
WT,0.35,0.5677869973228379,0.0026330430345988414,1.0,
WT,0.355,0.5698385337245607,0.002696459210251229,1.0,
WT,0.36,0.5736018845230009,0.002806232369146652,1.0,
WT,0.365,0.5782422034665122,0.003075619571298294,1.0,
WT,0.37,0.5824457494565328,0.0032157517085165508,1.0,
WT,0.375,0.5856813451575397,0.0031681868101304635,1.0,
WT,0.38,0.5875337324987643,0.0031249053521716606,1.0,
WT,0.385,0.5870652413941903,0.003175792734258589,1.0,
WT,0.39,0.5856481096794507,0.00319846069562916,1.0,
WT,0.395,0.5826341121829666,0.0031360013530521763,1.0,
WT,0.4,0.5789066778554911,0.003142949848409708,1.0,
WT,0.405,0.574561155597858,0.0031451545073480766,1.0,
WT,0.41,0.5709955263320599,0.003056859774086896,1.0,
WT,0.415,0.5675575738057547,0.0030135643347579265,1.0,
WT,0.42,0.5653591994903043,0.002887418902120983,1.0,
WT,0.425,0.5661655315700215,0.002833419303976348,1.0,
WT,0.43,0.5679954057408854,0.002958387504451319,1.0,
WT,0.435,0.5720387189994875,0.003005247074104551,1.0,
WT,0.44,0.5756336953794221,0.00292902099505637,1.0,
WT,0.445,0.5795942427680942,0.003049761135123244,1.0,
WT,0.45,0.5840702582408662,0.00296456226614126,1.0,
WT,0.455,0.5874221910947321,0.002732001604695235,1.0,
WT,0.46,0.5883359028671776,0.00273680586368922,1.0,
WT,0.465,0.5891578585763306,0.0027011788793450888,1.0,
WT,0.47,0.5881273617498711,0.002904367029977778,1.0,
WT,0.475,0.5845106250937415,0.003000524382762081,1.0,
WT,0.48,0.5812470116714663,0.0031760242696593534,1.0,
WT,0.485,0.5778109200287823,0.0032398828143140553,1.0,
WT,0.49,0.5727716829548237,0.003172723959724521,1.0,
WT,0.495,0.5688292014186488,0.002943666832367786,1.0,
WT,0.5,0.5663783803574849,0.00275253680460128,1.0,
WT,0.505,0.5650580903541832,0.0026301458400644893,1.0,
WT,0.51,0.5667812241602913,0.0028092085040611883,1.0,
WT,0.515,0.5700494371513517,0.002926320803337512,1.0,
WT,0.52,0.5741017929687973,0.0031517219406582736,1.0,
WT,0.525,0.5789977808333127,0.0032326971177634974,1.0,
WT,0.53,0.5833680011758147,0.003201771965599953,1.0,
WT,0.535,0.5851109014664801,0.0028785017439913116,1.0,
WT,0.54,0.5872354962796681,0.0024160079739776142,1.0,
WT,0.545,0.5870273634650696,0.0021285120784370276,1.0,
WT,0.55,0.5852980648873484,0.0020526450845766444,1.0,
WT,0.555,0.5827980591039367,0.0021401709560591483,1.0,
WT,0.56,0.5795869516668203,0.002476205917927498,1.0,
WT,0.565,0.5766695562979544,0.0028294415902244156,1.0,
WT,0.57,0.5746237292432336,0.0031914375944824824,1.0,
WT,0.575,0.571918831523016,0.0031537506075004925,1.0,
WT,0.58,0.5715430339707077,0.003207961962605709,1.0,
WT,0.585,0.5692823437600351,0.0031385837388034445,1.0,
WT,0.59,0.5700727714635715,0.0030261947265497052,1.0,
WT,0.595,0.5723305771390265,0.0027479049389107007,1.0,
WT,0.6,0.5756214277392481,0.0025995577561604825,1.0,
WT,0.605,0.5778072939825306,0.002593141952483323,1.0,
WT,0.61,0.5792432091182058,0.0027019643852345485,1.0,
WT,0.615,0.5814248315353437,0.002748739764170901,1.0,
WT,0.62,0.5815017917563818,0.00264801944506751,1.0,
WT,0.625,0.5806927315568594,0.002502282217841138,1.0,
WT,0.63,0.579537054215923,0.002350801984288574,1.0,
WT,0.635,0.5773149298039045,0.0021875830320652297,1.0,
WT,0.64,0.5729993822540437,0.002485733163962764,1.0,
