condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.0,0,1168784116,0.40282157186754647,0.8366961022500511,0.43331072865944903
WT,20.0,1.0,120.0,0.0,1,921289450,0.46383423488182696,0.7294025169115558,0.5176035851142716
WT,20.0,1.0,120.0,0.0,2,1293255992,0.4115995117263283,0.8659268800956127,0.6081041217151683
WT,20.0,1.0,120.0,0.0,3,1702858716,0.5463474944886404,0.9075606631766617,0.48581060486572575
WT,20.0,1.0,120.0,0.0,4,1895310323,0.5902966109750388,1.0876111340974046,0.5614213219306016
WT,20.0,1.0,120.0,0.0,5,211694680,0.35094811170218454,0.9015680958330704,0.4534313601518524
WT,20.0,1.0,120.0,0.0,6,280584697,0.3404155625598149,0.5500962624270519,0.4256566965860251
WT,20.0,1.0,120.0,0.0,7,617447500,0.4714291959149381,0.8440468420814323,0.46688319024023844
WT,20.0,1.0,120.0,0.0,8,1249765968,0.3536899634062446,0.7163115450308554,0.4258606119811566
WT,20.0,1.0,120.0,0.0,9,1504658074,0.6623206883068005,0.9738924979251677,0.6361844144459873
WT,20.0,1.0,120.0,0.0,10,1008898872,0.4537253766308695,0.8441251882263733,0.44602316050966
WT,20.0,1.0,120.0,0.0,11,794319243,0.35585809850060035,0.884559526597486,0.45434595359518154
WT,20.0,1.0,120.0,0.0,12,204008863,0.4238399321851583,0.7080011487248564,0.42538761190595853
WT,20.0,1.0,120.0,0.0,13,1880439445,0.24700995079509733,0.7370084807792925,0.37957513324032494
WT,20.0,1.0,120.0,0.0,14,1306372712,0.3201150686170054,0.8758737395096301,0.4367092959045383
WT,20.0,1.0,120.0,0.0,15,2122084012,0.2256844854654772,0.6816351549828926,0.48049931729426515
WT,20.0,1.0,120.0,0.0,16,1976297044,0.3089879378958326,0.6710694067596097,0.40925876668907696
WT,20.0,1.0,120.0,0.0,17,784548992,0.2692250777973436,0.7803074507520255,0.44496265982498356
WT,20.0,1.0,120.0,0.0,18,2121403537,0.3720007125419121,0.6891026188054205,0.4142585594238319
WT,20.0,1.0,120.0,0.0,19,347016859,0.2914291657480695,0.7098216152246761,0.4583823624872721
WT,20.0,1.0,120.0,0.0,20,527842052,0.4139927170275443,0.7342172871068405,0.5997550936962498
WT,20.0,1.0,120.0,0.0,21,215409799,0.4588567128296725,0.8082212167022148,0.2893500109832041
WT,20.0,1.0,120.0,0.0,22,350632298,0.3488195318992696,0.7364898838993553,0.5262487121036746
WT,20.0,1.0,120.0,0.0,23,2071774379,0.3129986452127374,0.7398722218711924,0.5041762559533891
WT,20.0,1.0,120.0,0.0,24,1492822048,0.5030033690201693,0.8087008051374561,0.5003806277780085
WT,20.0,1.0,120.0,0.0,25,199233221,0.5478331052027939,0.9840427138770245,0.46121684470237967
WT,20.0,1.0,120.0,0.0,26,1395966768,0.47947581171140835,0.9649844448477058,0.4432628776691692
WT,20.0,1.0,120.0,0.0,27,786556690,0.43495642107329496,0.8552727880462531,0.5472048659387222
WT,20.0,1.0,120.0,0.0,28,649984770,0.6386183634468213,1.1014777224974983,0.5568667425465778
WT,20.0,1.0,120.0,0.0,29,337723248,0.36786137566095706,0.8877473644404654,0.40517653177062557
WT,20.0,1.0,120.0,0.0,30,1094264184,0.2977309637309436,0.8209661870272827,0.4453069156787021
WT,20.0,1.0,120.0,0.0,31,2089154132,0.5185192708061355,0.8611532684388163,0.5264506185819091
WT,20.0,1.0,120.0,0.0,32,1584690825,0.4749071280998095,0.877847002071114,0.6407474301865604
WT,20.0,1.0,120.0,0.0,33,795962858,0.39223015824531104,0.6179934882761432,0.5096494402326904
WT,20.0,1.0,120.0,0.0,34,827737825,0.6484784358538538,0.9734783252345557,0.596070567913836
WT,20.0,1.0,120.0,0.0,35,234713593,0.5138906829759093,0.9376653514863166,0.5807293062182409
WT,20.0,1.0,120.0,0.0,36,885327366,0.42106471803538914,0.8006369126376693,0.5297660861544707
WT,20.0,1.0,120.0,0.0,37,928832081,0.5183743214050204,0.7718527333118103,0.4724540665002701
WT,20.0,1.0,120.0,0.0,38,1947615286,0.45688489914912084,0.7326449416784158,0.6517046854598402
WT,20.0,1.0,120.0,0.0,39,20360091,0.6360732733566952,0.9884480306883515,0.5340403347240407
WT,20.0,1.0,120.0,0.0,40,1806363173,0.4786497645779969,0.794199725755994,0.5174795363803375
