amplitude,metric,cond_a,cond_b,n_a,n_b,u_stat,p_value,q_value
10.0,power_median,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
10.0,power_sample,WT,WT_APP,479,500,0.0,1.843743119534933e-161,3.3714159900067342e-161
10.0,power_var,WT,WT_APP,500,500,7.0,6.107520065387671e-165,2.057269916762163e-164
10.0,power_dvar,WT,WT_APP,500,500,63.0,8.546627449777691e-165,2.3781919860250966e-164
10.0,power_autocorr,WT,WT_APP,500,500,27169.0,8.177363612332799e-102,1.0680638187536716e-101
10.0,spec_concentration,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
10.0,spec_entropy,WT,WT_APP,500,500,250000.0,5.856242913498941e-165,2.057269916762163e-164
10.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
15.0,power_median,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
15.0,power_sample,WT,WT_APP,496,500,0.0,2.6457656681311607e-164,6.138344026632746e-164
15.0,power_var,WT,WT_APP,500,500,164338.0,7.048793797316495e-18,7.518713383804262e-18
15.0,power_dvar,WT,WT_APP,500,500,40163.0,4.891184059070742e-77,6.26071559561055e-77
15.0,power_autocorr,WT,WT_APP,500,500,247891.0,1.6547226351610913e-159,2.941729129175273e-159
15.0,spec_concentration,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
15.0,spec_entropy,WT,WT_APP,500,500,250000.0,5.856242913498941e-165,2.057269916762163e-164
15.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
20.0,power_median,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
20.0,power_sample,WT,WT_APP,500,500,5481.0,5.522188312835329e-151,9.062052615934899e-151
20.0,power_var,WT,WT_APP,500,500,13650.0,2.574069352513066e-131,3.831172989786889e-131
20.0,power_dvar,WT,WT_APP,500,500,8471.0,1.2651166800757364e-143,2.0241866881211784e-143
20.0,power_autocorr,WT,WT_APP,500,500,167311.0,1.9483125629909455e-20,2.1134237971427207e-20
20.0,spec_concentration,WT,WT_APP,500,500,76690.0,3.737413669585959e-26,4.124042669887955e-26
20.0,spec_entropy,WT,WT_APP,500,500,179983.0,2.1883971956355352e-33,2.5010253664406114e-33
20.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
25.0,power_median,WT,WT_APP,500,500,47160.0,3.7905799181265596e-65,4.66532913000192e-65
25.0,power_sample,WT,WT_APP,500,500,114495.0,0.02143288322970193,0.021773087725411484
25.0,power_var,WT,WT_APP,500,500,134.0,1.308335832749996e-164,3.488895553999989e-164
25.0,power_dvar,WT,WT_APP,500,500,551.0,1.587481841629346e-163,3.174963683258692e-163
25.0,power_autocorr,WT,WT_APP,500,500,89344.0,5.818296164491884e-15,6.104441877499682e-15
25.0,spec_concentration,WT,WT_APP,500,500,238104.0,2.016001279303899e-135,3.1469288262304766e-135
25.0,spec_entropy,WT,WT_APP,500,500,14989.0,3.178179203667793e-128,4.5200770896608614e-128
25.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
30.0,power_median,WT,WT_APP,500,500,227307.0,3.676805645971001e-111,4.902407527961335e-111
30.0,power_sample,WT,WT_APP,500,500,180573.0,4.532741888496265e-34,5.274463288432017e-34
30.0,power_var,WT,WT_APP,500,500,738.0,4.848862439893794e-163,9.1272704750942e-163
30.0,power_dvar,WT,WT_APP,500,500,545.0,1.5315720705976797e-163,3.1619552425242416e-163
30.0,power_autocorr,WT,WT_APP,500,500,132165.0,0.11667612156246811,0.11667612156246811
30.0,spec_concentration,WT,WT_APP,500,500,249838.0,1.5474562077998253e-164,3.961487891967553e-164
30.0,spec_entropy,WT,WT_APP,500,500,702.0,3.9114760170458196e-163,7.585892881543408e-163
30.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
35.0,power_median,WT,WT_APP,500,500,245622.0,9.551842466235821e-154,1.6087313627344538e-153
35.0,power_sample,WT,WT_APP,500,500,201849.0,1.5151251496233268e-63,1.829585086337602e-63
35.0,power_var,WT,WT_APP,500,500,232.0,2.3539371358961534e-164,5.7943067960520706e-164
35.0,power_dvar,WT,WT_APP,500,500,254.0,2.6855255116518266e-164,6.138344026632746e-164
35.0,power_autocorr,WT,WT_APP,500,500,174039.0,6.717762503799422e-27,7.542750881459e-27
35.0,spec_concentration,WT,WT_APP,500,500,249996.0,5.998537665854307e-165,2.057269916762163e-164
35.0,spec_entropy,WT,WT_APP,500,500,34.0,7.181779874911301e-165,2.188732914258682e-164
35.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
40.0,power_median,WT,WT_APP,500,500,246208.0,3.179745320401599e-155,5.500100013667631e-155
40.0,power_sample,WT,WT_APP,500,500,200822.0,6.589801903923167e-62,7.810135589834865e-62
40.0,power_var,WT,WT_APP,500,500,373.0,5.4757169736943564e-164,1.1681529543881294e-163
40.0,power_dvar,WT,WT_APP,500,500,331.0,4.258635687613813e-164,9.398368414044278e-164
40.0,power_autocorr,WT,WT_APP,500,500,205844.0,3.9703120585463105e-70,4.98235238719537e-70
40.0,spec_concentration,WT,WT_APP,500,500,249998.0,5.92696384552083e-165,2.057269916762163e-164
40.0,spec_entropy,WT,WT_APP,500,500,2.0,5.92696384552083e-165,2.057269916762163e-164
40.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
45.0,power_median,WT,WT_APP,500,500,232973.0,1.3680006706215854e-123,1.8628094238251375e-123
45.0,power_sample,WT,WT_APP,500,500,157605.0,9.35218492010251e-13,9.653868304621947e-13
45.0,power_var,WT,WT_APP,500,500,13413.0,7.236667981057414e-132,1.1027303590182726e-131
45.0,power_dvar,WT,WT_APP,500,500,14392.0,1.3439902833153362e-129,1.95489495754958e-129
45.0,power_autocorr,WT,WT_APP,500,500,233764.0,2.227413705793958e-125,3.0990103732785506e-125
45.0,spec_concentration,WT,WT_APP,500,500,249946.0,8.097410511245425e-165,2.355610330544124e-164
45.0,spec_entropy,WT,WT_APP,500,500,26.0,6.845168345268026e-165,2.188732914258682e-164
45.0,mean_cue_rate_hz,WT,WT_APP,500,500,0.0,5.856242913498941e-165,2.057269916762163e-164
