Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1    30.4062     0.0002    26.0716     1.0821     0.0000     6.41    42.97    35.01     0.00    68.02    BISTABLE
   2    30.4062     0.0002    26.0716     1.0821     0.0000     6.41    42.97    35.01     0.00    68.02    BISTABLE
   3    30.4063     0.0000    26.0768     1.0819     0.0000     6.38    42.97    35.09     0.00    68.73    BISTABLE
   4    30.4063     0.0002    26.0716     1.0821     0.0000     6.41    42.97    34.91     0.00    68.02    BISTABLE
   5    30.4064     0.0002    26.0716     1.0821     0.0000     6.41    42.97    34.90     0.00    68.02    BISTABLE
   6    30.4064     0.0002    26.0717     1.0821     0.0000     6.41    42.97    35.01     0.00    68.00    BISTABLE
   7    30.4068     0.0002    26.0723     1.0821     0.0000     6.43    42.97    35.01     0.00    67.98    BISTABLE
   8    30.4069     0.0002    26.0719     1.0822     0.0000     6.40    42.97    35.12     0.00    67.83    BISTABLE
   9    30.4072     0.0002    26.0722     1.0821     0.0000     6.38    42.97    35.04     0.00    68.00    BISTABLE
  10    30.4078     0.0002    26.0732     1.0821     0.0000     6.41    42.97    35.01     0.00    68.02    BISTABLE
