Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     4.6555     0.0000     0.5139     1.0240     0.0000     0.81    51.12     0.00    34.07    68.09    BISTABLE
   2     4.6555     0.0000     0.5139     1.0240     0.0000     0.81    51.12     0.00    34.07    68.09    BISTABLE
   3     4.6555     0.0000     0.5139     1.0240     0.0000     0.81    51.12     0.00    34.07    68.09    BISTABLE
   4     4.6555     0.0000     0.5139     1.0240     0.0000     0.81    51.12     0.00    34.07    68.09    BISTABLE
   5     4.6555     0.0000     0.5139     1.0240     0.0000     0.81    51.12     0.00    34.07    68.09    BISTABLE
   6     4.6578     0.0000     0.5592     1.0216     0.0000     0.75    51.80     0.00    33.80    67.22    BISTABLE
   7     4.6598     0.0000     0.5384     1.0195     0.0000     0.80    52.15     0.00    34.13    67.10    BISTABLE
   8     4.6602     0.0000     0.4866     1.0231     0.0000     0.85    51.12     0.00    34.69    68.09    BISTABLE
   9     4.6611     0.0000     0.5317     1.0194     0.0000     0.81    52.15     0.00    34.17    67.10    BISTABLE
  10     4.6640     0.0000     0.5569     1.0233     0.0000     0.75    51.85     0.00    33.14    67.27    BISTABLE
