Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     5.0054     0.0000     0.7668     4.2386     0.0000     0.37    50.12     0.00    29.42    73.07    BISTABLE
   2     5.0487     0.0000     0.7965     4.2521     0.0000     0.38    50.23     0.00    29.03    73.16    BISTABLE
   3     5.1099     0.0000     0.8367     4.2732     0.0000     0.30    49.29     0.00    28.96    72.67    BISTABLE
   4     5.1113     0.0000     1.0984     4.0129     0.0000     0.27    57.52     0.00    36.48    68.03    BISTABLE
   5     5.1283     0.0000     0.7610     4.3674     0.0000     0.61    48.69     0.00    27.19    65.39    BISTABLE
   6     5.1352     0.0000     0.6372     4.4206     0.0000     0.48    48.76     0.00    27.33    78.05    BISTABLE
   7     5.1422     0.0000     1.0967     4.0153     0.0000     0.29    57.76     0.00    35.77    71.88    BISTABLE
   8     5.1498     0.0000     0.7191     4.4307     0.0000     0.40    48.51     0.00    27.19    77.83    BISTABLE
   9     5.1516     0.0000     0.7423     4.4093     0.0000     0.63    44.86     0.00    29.55    61.65    BISTABLE
  10     5.1561     0.0000     0.7942     4.3619     0.0000     0.58    48.22     0.00    29.03    59.23    BISTABLE
