Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     4.6475     0.0000     0.5997     4.0478     0.0000     0.45    54.13     0.00    33.83    69.16    BISTABLE
   2     4.6511     0.0000     0.6114     4.0397     0.0000     0.40    55.20     0.00    33.36    68.56    BISTABLE
   3     4.6511     0.0000     0.6114     4.0397     0.0000     0.40    55.20     0.00    33.36    68.56    BISTABLE
   4     4.6534     0.0000     0.6056     4.0479     0.0000     0.45    54.11     0.00    33.90    67.89    BISTABLE
   5     4.6545     0.0000     0.5999     4.0546     0.0000     0.45    53.76     0.00    33.64    68.86    BISTABLE
   6     4.6557     0.0000     0.6001     4.0557     0.0000     0.45    53.82     0.00    33.47    68.91    BISTABLE
   7     4.6665     0.0000     0.6259     4.0397     0.0000     0.41    55.20     0.00    33.36    68.56    BISTABLE
   8     4.6736     0.0000     0.6090     4.0645     0.0000     0.44    53.31     0.00    33.37    68.48    BISTABLE
   9     4.6772     0.0000     0.6265     4.0498     0.0000     0.41    55.49     0.00    32.50    68.79    BISTABLE
  10     4.6848     0.0000     0.6123     4.0724     0.0000     0.40    55.89     0.00    31.28    69.11    BISTABLE
