fixed_point_hz,stability,r_pyr_hz,r_som_hz,r_pv_hz,r_vip_hz,row_pop,col_pop,J_value
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PYR,PYR,0.285649
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PYR,SOM,-1.510924
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PYR,PV,-0.010336
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PYR,VIP,0.0
0.1185,stable,0.1185,1.2858,0.8806,0.0692,SOM,PYR,1.374258
0.1185,stable,0.1185,1.2858,0.8806,0.0692,SOM,SOM,0.0
0.1185,stable,0.1185,1.2858,0.8806,0.0692,SOM,PV,0.0
0.1185,stable,0.1185,1.2858,0.8806,0.0692,SOM,VIP,-5.508073
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PV,PYR,2.429621
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PV,SOM,-1.752043
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PV,PV,-3.424931
0.1185,stable,0.1185,1.2858,0.8806,0.0692,PV,VIP,-0.336848
0.1185,stable,0.1185,1.2858,0.8806,0.0692,VIP,PYR,0.151285
0.1185,stable,0.1185,1.2858,0.8806,0.0692,VIP,SOM,0.0
0.1185,stable,0.1185,1.2858,0.8806,0.0692,VIP,PV,0.0
0.1185,stable,0.1185,1.2858,0.8806,0.0692,VIP,VIP,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PYR,PYR,0.000164
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PYR,SOM,-94.157193
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PYR,PV,-0.239642
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PYR,VIP,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,SOM,PYR,0.163668
33.4112,unstable,33.4112,0.3684,21.8159,21.242,SOM,SOM,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,SOM,PV,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,SOM,VIP,-0.655989
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PV,PYR,30.036844
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PV,SOM,-21.660104
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PV,PV,-42.341637
33.4112,unstable,33.4112,0.3684,21.8159,21.242,PV,VIP,-4.164376
33.4112,unstable,33.4112,0.3684,21.8159,21.242,VIP,PYR,1.38804
33.4112,unstable,33.4112,0.3684,21.8159,21.242,VIP,SOM,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,VIP,PV,0.0
33.4112,unstable,33.4112,0.3684,21.8159,21.242,VIP,VIP,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,PYR,PYR,4.6e-05
57.115,stable,57.115,0.0,34.4185,63.2627,PYR,SOM,-96.129564
57.115,stable,57.115,0.0,34.4185,63.2627,PYR,PV,-0.154941
57.115,stable,57.115,0.0,34.4185,63.2627,PYR,VIP,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,SOM,PYR,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,SOM,SOM,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,SOM,PV,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,SOM,VIP,-0.0
57.115,stable,57.115,0.0,34.4185,63.2627,PV,PYR,36.085751
57.115,stable,57.115,0.0,34.4185,63.2627,PV,SOM,-26.022079
57.115,stable,57.115,0.0,34.4185,63.2627,PV,PV,-50.86852
57.115,stable,57.115,0.0,34.4185,63.2627,PV,VIP,-5.00301
57.115,stable,57.115,0.0,34.4185,63.2627,VIP,PYR,1.773279
57.115,stable,57.115,0.0,34.4185,63.2627,VIP,SOM,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,VIP,PV,0.0
57.115,stable,57.115,0.0,34.4185,63.2627,VIP,VIP,0.0
