Rank    L_total   L_bistab     L_rate  L_rate_hi   L_margin    r_low   r_high   SOM_hi    PV_hi   VIP_hi      regime
--------------------------------------------------------------------------------------------------------------------
   1     2.0822     0.0000     0.5505     1.0092     0.0000     0.46    57.12     0.00    34.40    63.52    BISTABLE
   2     2.0822     0.0000     0.5505     1.0092     0.0000     0.46    57.12     0.00    34.40    63.52    BISTABLE
   3     2.0822     0.0000     0.5505     1.0092     0.0000     0.46    57.12     0.00    34.40    63.52    BISTABLE
   4     2.0903     0.0000     0.5294     1.0092     0.0000     0.48    57.12     0.00    34.40    63.52    BISTABLE
   5     2.1090     0.0000     0.5950     1.0093     0.0000     0.41    56.12     0.00    36.84    65.17    BISTABLE
   6     2.1229     0.0000     0.6087     1.0055     0.0000     0.41    59.72     0.00    35.99    73.68    BISTABLE
   7     2.1282     0.0000     0.6064     1.0050     0.0000     0.47    56.10     0.00    35.55    67.56    BISTABLE
   8     2.1304     0.0000     0.6066     1.0066     0.0000     0.47    55.67     0.00    35.32    66.74    BISTABLE
   9     2.1304     0.0000     0.6066     1.0066     0.0000     0.47    55.67     0.00    35.32    66.74    BISTABLE
  10     2.1306     0.0000     0.5969     1.0175     0.0000     0.41    56.99     0.00    39.48    67.02    BISTABLE
